,Play,Expert,Odds,Units,Payout,Team,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,J.Baez u1.5 hits,Teddy Ricketson,-185,1.0,1.5405405405405406,Detroit Tigers,J.Baez,Colorado Rockies,0.0,0.5405405405405406,Y,0.7532467532467533,1,0.8,1,0.8,1
1,L.Arraez o1.5 total bases,Dan Servodidio,-110,1.0,1.9090909090909087,Miami Marlins,L.Arraez,Atlanta Braves,0.0,0.9090909090909092,N,0.2597402597402597,0,0.0,0,0.2,0
2,C.Carrasco u4.5 strikeouts,Dan Servodidio,-110,1.0,1.9090909090909087,New York Mets,C.Carrasco,San Francisco Giants,1.0,0.9090909090909092,N,0.8181818181818182,1,0.6,1,0.8,1
3,G.Henderson o0.5 HR,cowhitchurch,700,0.1,0.8,Baltimore Orioles,G.Henderson,Minnesota Twins,1.0,0.7000000000000001,N,0.12857142857142856,0,0.0,0,0.1,0
4,J.Fraley o0.5 RBI,Thespinzone,155,0.1,0.255,Cincinnati Reds,J.Fraley,San Diego Padres,1.0,0.155,Y,0.47692307692307695,0,0.6,1,0.7,1
5,M.McLain o0.5 Runs Scored,Thespinzone,-110,0.15,0.2863636363636364,Cincinnati Reds,M.McLain,San Diego Padres,1.0,0.1363636363636363,Y,0.5609756097560976,1,0.8,1,0.6,1
6,G.Ashcraft u4.5 Ks,SBK5065,-158,0.79,1.29,Cincinnati Reds,G.Ashcraft,San Diego Padres,1.0,0.5,N,0.6666666666666666,1,0.6,1,0.7,1
7,M.Machado o0.5 HR,cowhitchurch,360,0.1,0.4599999999999999,San Diego Padres,M.Machado,Cincinnati Reds,0.0,0.36,N,0.09090909090909091,0,0.0,0,0.0,0
8,M.Lorenzen u4.5 Ks,SBK5065,-121,0.61,1.1141322314049589,Detroit Tigers,M.Lorenzen,Colorado Rockies,0.0,0.5041322314049587,Y,0.5714285714285714,1,0.8,1,0.6,1
9,M.Lorenzen u4.5 Ks,The_Oddsmaker,-130,1.3,2.3,Detroit Tigers,M.Lorenzen,Colorado Rockies,0.0,0.9999999999999998,Y,0.5714285714285714,1,0.8,1,0.6,1
10,J.Rogers o0.5 HR,cowhitchurch,475,0.1,0.5750000000000001,Detroit Tigers,J.Rogers,Colorado Rockies,0.0,0.4750000000000001,N,0.16981132075471697,0,0.2,0,0.1,0
11,N.Jones o0.5 HR,cowhitchurch,500,0.1,0.6000000000000001,Colorado Rockies,N.Jones,Detroit Tigers,1.0,0.5000000000000001,N,0.15625,0,0.0,0,0.1,0
12,A.Gomber u3.5 Ks,OverUnder985,115,1.0,2.15,Colorado Rockies,A.Gomber,Detroit Tigers,1.0,1.15,N,0.5294117647058824,1,0.4,0,0.5,0
13,J.Gray o4.5 Ks,SBK5065,-120,0.6,1.1,Texas Rangers,J.Gray,Houston Astros,1.0,0.5000000000000001,N,0.4666666666666667,0,0.4,0,0.6,1
14,J.Gray o4.5 Ks,The_Oddsmaker,-116,1.16,2.16,Texas Rangers,J.Gray,Houston Astros,1.0,0.9999999999999998,N,0.4666666666666667,0,0.4,0,0.6,1
15,T.Turner o0.5 HR,cowhitchurch,440,0.1,0.54,Philadelphia Phillies,T.Turner,Washington Nationals,1.0,0.44,N,0.0875,0,0.2,0,0.1,0
16,R.Blanco o4.5 Ks,SBK5065,-135,0.68,1.1837037037037037,Houston Astros,R.Blanco,Texas Rangers,0.0,0.5037037037037037,N,0.2857142857142857,0,0.8,1,0.4,0
17,R.Blanco o4.5 Ks,The_Oddsmaker,-135,1.35,2.35,Houston Astros,R.Blanco,Texas Rangers,0.0,1.0,N,0.2857142857142857,0,0.8,1,0.4,0
18,S.McClanahan u6.5 Ks,jimsannes,106,1.0,2.06,Tampa Bay Rays,S.McClanahan,Seattle Mariners,0.0,1.06,Y,0.5882352941176471,1,1.0,1,0.6,1
19,B.Miller u5.5 Ks,jimsannes,-142,1.2,2.045070422535211,Seattle Mariners,B.Miller,Tampa Bay Rays,1.0,0.8450704225352113,N,0.5454545454545454,1,0.4,0,0.6,1
20,C.Carrasco u4.5 Ks,jimsannes,112,1.0,2.12,New York Mets,C.Carrasco,San Francisco Giants,1.0,1.12,N,0.8181818181818182,1,0.6,1,0.8,1
21,M.Tauchman o0.5 Runs Scored,Thespinzone,-118,0.13,0.2401694915254237,Chicago Cubs,M.Tauchman,Cleveland Guardians,1.0,0.1101694915254237,Y,0.4857142857142857,0,0.6,1,0.8,1
22,C.Quantrill o2.5 Earned Runs,Thespinzone,-120,0.13,0.2383333333333333,Cleveland Guardians,C.Quantrill,Chicago Cubs,0.0,0.1083333333333333,Y,0.75,1,1.0,1,0.7,1
23,C.Morel o0.5 RBI,Thespinzone,114,0.11,0.2353999999999999,Chicago Cubs,C.Morel,Cleveland Guardians,1.0,0.1253999999999999,Y,0.45,0,0.4,0,0.4,0
24,D.Fry o0.5 RBI,Thespinzone,210,0.08,0.248,Cleveland Guardians,D.Fry,Chicago Cubs,0.0,0.168,N,0.08695652173913043,0,0.2,0,0.2,0
25,J.Young o0.5 RBI,Thespinzone,200,0.15,0.4499999999999999,Chicago Cubs,J.Young,Cleveland Guardians,1.0,0.2999999999999999,Y,1.0,1,1.0,1,1.0,1
26,J.Young o0.5 HR,Thespinzone,650,0.04,0.3,Chicago Cubs,J.Young,Cleveland Guardians,1.0,0.26,N,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0
