,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
1,K.Bryant o1.5 Total Bases,charliedisturco,125,0.5,K.Bryant,1.125,0.625,Colorado Rockies,Pittsburgh Pirates,0.0,0.4117647058823529,0.0,0.6,1.0,0.5,0.0
7,G.Torres o1.5 Total Bases,charliedisturco,120,0.6,G.Torres,1.32,0.7200000000000001,New York Yankees,Oakland Athletics,1.0,0.3333333333333333,0.0,0.8,1.0,0.5,0.0
9,H.Bader o1.5 Total Bases,PropBetGuy,130,1.3,H.Bader,2.99,1.6900000000000002,New York Yankees,Oakland Athletics,1.0,0.5714285714285714,1.0,0.8,1.0,0.5714285714285714,1.0
11,M.Betts o1.5 Total Bases,PropBetGuy,105,1.0,M.Betts,2.05,1.0499999999999998,Los Angeles Dodgers,Milwaukee Brewers,0.0,0.4571428571428571,0.0,0.6,1.0,0.6,1.0
13,M.Betts o1.5 Total Bases,charliedisturco,105,0.5,M.Betts,1.025,0.5249999999999999,Los Angeles Dodgers,Milwaukee Brewers,0.0,0.4571428571428571,0.0,0.6,1.0,0.6,1.0
15,M.Betts o1.5 total bases,Chris Landers,100,1.0,M.Betts,2.0,1.0,Los Angeles Dodgers,Milwaukee Brewers,0.0,0.4571428571428571,0.0,0.6,1.0,0.6,1.0
3,K.Bryant o1.5 Total Bases,charliedisturco,125,0.5,K.Bryant,1.125,0.625,Colorado Rockies,Pittsburgh Pirates,0.0,,,,,,
19,G.Torres o1.5 Total Bases,charliedisturco,120,0.6,G.Torres,1.32,0.7200000000000001,New York Yankees,Oakland Athletics,1.0,,,,,,
21,A.Judge o1.5 Total Bases,charliedisturco,105,0.53,A.Judge,1.0865,0.5565,New York Yankees,Oakland Athletics,1.0,,,,,,
23,H.Bader o1.5 Total Bases,PropBetGuy,130,1.3,H.Bader,2.99,1.6900000000000002,New York Yankees,Oakland Athletics,1.0,,,,,,
25,M.Betts o1.5 Total Bases,PropBetGuy,105,1.0,M.Betts,2.05,1.0499999999999998,Los Angeles Dodgers,Milwaukee Brewers,0.0,,,,,,
27,M.Betts o1.5 Total Bases,charliedisturco,105,0.5,M.Betts,1.025,0.5249999999999999,Los Angeles Dodgers,Milwaukee Brewers,0.0,,,,,,
30,M.Betts o1.5 total bases,Chris Landers,100,1.0,M.Betts,2.0,1.0,Los Angeles Dodgers,Milwaukee Brewers,0.0,,,,,,
