,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,J.Kelenic o0.5 RBI,NicholaskMartin,145,0.5,J.Kelenic,1.225,0.7250000000000001,Seattle Mariners,Boston Red Sox,0.0,0.4615384615384615,0.0,0.8,1.0,0.5,0.0
1,R.Devers o0.5 RBI,Thespinzone,107,0.08,R.Devers,0.1656,0.0856,Boston Red Sox,Seattle Mariners,1.0,0.5365853658536586,1.0,0.8,1.0,0.7,1.0
4,C.Morel o0.5 RBI,Thespinzone,250,0.08,C.Morel,0.28,0.2,Chicago Cubs,Houston Astros,0.0,0.8333333333333334,1.0,0.8,1.0,0.8333333333333334,1.0
11,J.Soto o0.5 RBI,NicholaskMartin,175,0.5,J.Soto,1.375,0.875,San Diego Padres,Kansas City Royals,1.0,0.3333333333333333,0.0,0.4,0.0,0.3,0.0
13,J.Heim o0.5 RBI,Thespinzone,150,0.11,J.Heim,0.275,0.165,Texas Rangers,Atlanta Braves,1.0,0.4857142857142857,0.0,0.6,1.0,0.5,0.0
0,J.Kelenic o0.5 RBI,NicholaskMartin,145,0.5,J.Kelenic,1.225,0.7250000000000001,Seattle Mariners,Boston Red Sox,0.0,,,,,,
1,R.Devers o0.5 RBI,Thespinzone,107,0.08,R.Devers,0.1656,0.0856,Boston Red Sox,Seattle Mariners,1.0,,,,,,
8,Y.Alvarez o0.5 RBI,Thespinzone,138,0.1,Y.Alvarez,0.238,0.1379999999999999,Houston Astros,Chicago Cubs,1.0,,,,,,
9,C.Morel o0.5 RBI,Thespinzone,250,0.08,C.Morel,0.28,0.2,Chicago Cubs,Houston Astros,0.0,,,,,,
12,B.Rooker o0.5 RBI,Thespinzone,163,0.12,B.Rooker,0.3156,0.1956,Oakland Athletics,Arizona Diamondbacks,1.0,,,,,,
18,J.Lowe o0.5 RBI,Thespinzone,230,0.08,J.Lowe,0.264,0.184,Tampa Bay Rays,New York Mets,0.0,,,,,,
29,L.Nootbaar o0.5 RBI,Thespinzone,250,0.07,L.Nootbaar,0.245,0.175,St. Louis Cardinals,Milwaukee Brewers,1.0,,,,,,
30,J.Soto o0.5 RBI,NicholaskMartin,175,0.5,J.Soto,1.375,0.875,San Diego Padres,Kansas City Royals,1.0,,,,,,
