,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,W.Franco o0.5 Runs Scored,Thespinzone,-120,0.09,W.Franco,0.165,0.075,Tampa Bay Rays,Los Angeles Dodgers,1.0,0.4807692307692308,0.0,0.8,1.0,0.5,0.0
5,J.Mateo o0.5 Runs Scored,Thespinzone,160,0.08,J.Mateo,0.208,0.128,Baltimore Orioles,Texas Rangers,1.0,0.4888888888888889,0.0,0.2,0.0,0.4,0.0
6,N.Lowe o0.5 Runs Scored,Thespinzone,135,0.08,N.Lowe,0.188,0.108,Texas Rangers,Baltimore Orioles,0.0,0.5490196078431373,1.0,0.8,1.0,0.8,1.0
9,R.Grichuk o0.5 Runs Scored,Thespinzone,102,0.09,R.Grichuk,0.1818,0.0917999999999999,Colorado Rockies,New York Mets,1.0,0.5238095238095238,1.0,0.6,1.0,0.5,0.0
10,R.Greene o0.5 Runs Scored,Thespinzone,125,0.09,R.Greene,0.2024999999999999,0.1124999999999999,Detroit Tigers,Chicago White Sox,1.0,0.4693877551020408,0.0,0.6,1.0,0.6,1.0
12,B.Harper o0.5 Runs Scored,Thespinzone,125,0.08,B.Harper,0.18,0.0999999999999999,Philadelphia Phillies,Atlanta Braves,0.0,0.6363636363636364,1.0,0.6,1.0,0.5,0.0
16,M.Yoshida o0.5 Runs Scored,Thespinzone,120,0.08,M.Yoshida,0.176,0.0959999999999999,Boston Red Sox,Arizona Diamondbacks,0.0,0.4772727272727273,0.0,0.4,0.0,0.4,0.0
0,W.Franco o0.5 Runs Scored,Thespinzone,-120,0.09,W.Franco,0.165,0.075,Tampa Bay Rays,Los Angeles Dodgers,1.0,,,,,,
26,R.Greene o0.5 Runs Scored,Thespinzone,125,0.09,R.Greene,0.2024999999999999,0.1124999999999999,Detroit Tigers,Chicago White Sox,1.0,,,,,,
32,B.Harper o0.5 Runs Scored,Thespinzone,125,0.08,B.Harper,0.18,0.0999999999999999,Philadelphia Phillies,Atlanta Braves,0.0,,,,,,
