Unnamed: 0,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
11,C.Blackmon o0.5 Runs Scored,Thespinzone,100,0.1,C.Blackmon,0.2,0.1,Colorado Rockies,Kansas City Royals,0.0,,,,,,
1,J.India o0.5 Runs Scored,Thespinzone,145,0.15,J.India,0.3675,0.2175,Cincinnati Reds,Milwaukee Brewers,1.0,0.6428571428571429,1.0,0.8,1.0,0.7,1.0
3,C.Blackmon o0.5 Runs Scored,Thespinzone,100,0.1,C.Blackmon,0.2,0.1,Colorado Rockies,Kansas City Royals,0.0,0.4897959183673469,0.0,0.6,1.0,0.7,1.0
7,F.Freeman o1.5 total bases,Dan Servodidio,-110,1.0,F.Freeman,1.9090909090909087,0.9090909090909088,Los Angeles Dodgers,New York Yankees,1.0,0.5087719298245614,1.0,1.0,1.0,0.7,1.0
5,K.Schwarber o1.5 Total Bases,charliedisturco,100,0.5,K.Schwarber,1.0,0.5,Philadelphia Phillies,Washington Nationals,0.0,,,,,,
7,P.Goldschmidt o1.5 Total Bases,NicholaskMartin,100,1.0,P.Goldschmidt,2.0,1.0,St. Louis Cardinals,Pittsburgh Pirates,0.0,,,,,,
9,P.Goldschmidt o1.5 Total Bases,charliedisturco,-105,0.5,P.Goldschmidt,0.9761904761904762,0.4761904761904761,St. Louis Cardinals,Pittsburgh Pirates,0.0,,,,,,
15,J.Soler o1.5 Total Bases,charliedisturco,125,0.63,J.Soler,1.4175,0.7875,Miami Marlins,Oakland Athletics,1.0,,,,,,
23,F.Freeman o1.5 total bases,Dan Servodidio,-110,1.0,F.Freeman,1.9090909090909087,0.9090909090909088,Los Angeles Dodgers,New York Yankees,1.0,,,,,,
0,L.Webb o5.5 Ks,jimsannes,-106,0.94,L.Webb,1.8267924528301889,0.8867924528301889,San Francisco Giants,Baltimore Orioles,1.0,0.7272727272727273,1.0,0.6,1.0,0.7,1.0
2,B.Reynolds o0.5 RBI,Thespinzone,190,0.1,B.Reynolds,0.29,0.1899999999999999,Pittsburgh Pirates,St. Louis Cardinals,1.0,0.3846153846153846,0.0,0.6,1.0,0.4,0.0
5,R.Lewis o0.5 RBI,Thespinzone,210,0.1,R.Lewis,0.31,0.21,Minnesota Twins,Cleveland Guardians,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0
8,B.Reynolds o0.5 RBI,Thespinzone,190,0.1,B.Reynolds,0.29,0.1899999999999999,Pittsburgh Pirates,St. Louis Cardinals,1.0,,,,,,
13,C.Seager o0.5 RBI,Thespinzone,195,0.15,C.Seager,0.4425,0.2925,Texas Rangers,Seattle Mariners,1.0,,,,,,
19,R.Lewis o0.5 RBI,Thespinzone,210,0.1,R.Lewis,0.31,0.21,Minnesota Twins,Cleveland Guardians,1.0,,,,,,
20,R.Lewis o0.5 HR,Thespinzone,700,0.04,R.Lewis,0.32,0.28,Minnesota Twins,Cleveland Guardians,1.0,,,,,,
3,L.Webb o5.5 Ks,jimsannes,-106,0.94,L.Webb,1.8267924528301889,0.8867924528301889,San Francisco Giants,Baltimore Orioles,1.0,,,,,,
17,M.Kelly o5.5 Ks,jimsannes,114,1.14,M.Kelly,2.4395999999999995,1.2995999999999996,Arizona Diamondbacks,Atlanta Braves,1.0,,,,,,
24,M.Kelly o5.5 strikeouts,Dan Servodidio,-110,1.0,M.Kelly,1.9090909090909087,0.9090909090909088,Arizona Diamondbacks,Atlanta Braves,1.0,,,,,,
2,F.Valdez u6.5 Ks,The_Oddsmaker,-112,1.12,F.Valdez,2.12,1.0,Houston Astros,Los Angeles Angels,1.0,,,,,,
22,S.Ohtani u7.5 strikeouts,Teddy Ricketson,-130,1.0,S.Ohtani,1.7692307692307692,0.7692307692307692,Los Angeles Angels,Houston Astros,0.0,,,,,,
