,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv
1,L.Allen o4.5 strikeouts,Henry Palattella,-110,1.0,1.9090909090909092,0.9090909090909092,L.Allen,Cleveland Guardians,Kansas City Royals,0
9,L.Gilbert u5.5 Ks,charliedisturco,-110,1.1,2.1,1.0,L.Gilbert,Seattle Mariners,Washington Nationals,1
10,L.Gilbert u5.5 Ks,AnthonyDabbundo,100,1.1,2.2,1.1,L.Gilbert,Seattle Mariners,Washington Nationals,1
11,L.Gilbert u5.5 Ks,cowhitchurch,-110,1.1,2.1,1.0,L.Gilbert,Seattle Mariners,Washington Nationals,1
12,L.Gilbert u5.5 Ks,SBK5065,-110,0.55,1.05,0.5,L.Gilbert,Seattle Mariners,Washington Nationals,1
13,L.Gilbert u5.5 Ks,The_Oddsmaker,-110,1.1,2.1,1.0,L.Gilbert,Seattle Mariners,Washington Nationals,1
14,M.Keller o5.5 Ks,jimsannes,-122,1.0,1.819672131147541,0.819672131147541,M.Keller,Pittsburgh Pirates,San Diego Padres,1
17,A.Nola o5.5 Ks,cowhitchurch,-165,1.65,2.65,1.0,A.Nola,Philadelphia Phillies,Chicago Cubs,0
18,A.Nola o6.5 Ks,AnthonyDabbundo,125,1.0,2.25,1.25,A.Nola,Philadelphia Phillies,Chicago Cubs,0
24,B.Garrett o5.5 Ks,PropBetGuy,105,1.0,2.05,1.0499999999999998,B.Garrett,Miami Marlins,Boston Red Sox,0
