,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv
0,Y.Kikuchi o5.5 strikeouts,Teddy Ricketson,-160,1.0,1.625,0.625,Y.Kikuchi,Toronto Blue Jays,Seattle Mariners,0.0
1,K.Bradish o5.5 strikeouts,Dan Servodidio,-110,1.0,1.9090909090909092,0.9090909090909092,K.Bradish,Baltimore Orioles,Tampa Bay Rays,0.0
2,K.Bradish o5.5 Ks,cowhitchurch,-112,0.56,1.06,0.5,K.Bradish,Baltimore Orioles,Tampa Bay Rays,0.0
3,K.Bradish o5.5 Ks,AnthonyDabbundo,-108,1.08,2.08,1.0,K.Bradish,Baltimore Orioles,Tampa Bay Rays,0.0
4,J.Irvin u4.5 Ks,cowhitchurch,-158,0.79,1.29,0.5,J.Irvin,Washington Nationals,San Francisco Giants,1.0
5,J.Irvin u4.5 Ks,The_Oddsmaker,-140,1.4,2.4,1.0,J.Irvin,Washington Nationals,San Francisco Giants,1.0
6,J.Irvin u4.5 Ks,AnthonyDabbundo,-140,1.4,2.4,1.0,J.Irvin,Washington Nationals,San Francisco Giants,1.0
7,R.Olson o4.5 Ks,AnthonyDabbundo,108,1.0,2.08,1.08,R.Olson,Detroit Tigers,San Diego Padres,1.0
8,G.Williams o4.5 Ks,charliedisturco,-140,1.4,2.4,1.0,G.Williams,Cleveland Guardians,Philadelphia Phillies,1.0
9,J.Ryan u7.5 Ks,The_Oddsmaker,-144,1.44,2.44,1.0,J.Ryan,Minnesota Twins,Chicago White Sox,1.0
