,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
6,G.Stanton o0.5 Runs Scored,Thespinzone,100,0.1,0.2,0.1,G.Stanton,New York Yankees,New York Mets,1.0,,,,,,
13,P.Goldschmidt o0.5 Runs Scored,Thespinzone,100,0.13,0.26,0.13,P.Goldschmidt,St. Louis Cardinals,Arizona Diamondbacks,0.0,,,,,,
18,L.Thomas o0.5 Runs Scored,Thespinzone,-105,0.1,0.1952380952380952,0.0952380952380952,L.Thomas,Washington Nationals,Colorado Rockies,1.0,,,,,,
19,N.Jones o0.5 Runs Scored,Thespinzone,110,0.11,0.231,0.121,N.Jones,Colorado Rockies,Washington Nationals,0.0,,,,,,
29,M.McLain o0.5 Runs Scored,Thespinzone,128,0.1,0.228,0.128,M.McLain,Cincinnati Reds,Milwaukee Brewers,0.0,,,,,,
2,G.Stanton o0.5 Runs Scored,Thespinzone,100,0.1,0.2,0.1,G.Stanton,New York Yankees,New York Mets,1.0,0.3725490196078431,0.0,0.6,1.0,0.5,0.0
4,E.Rivera o0.5 Runs Scored,Thespinzone,145,0.1,0.245,0.145,E.Rivera,Arizona Diamondbacks,St. Louis Cardinals,1.0,0.4363636363636363,0.0,0.4,0.0,0.4,0.0
5,P.Goldschmidt o0.5 Runs Scored,Thespinzone,100,0.13,0.26,0.13,P.Goldschmidt,St. Louis Cardinals,Arizona Diamondbacks,0.0,0.4845360824742268,0.0,0.8,1.0,0.8,1.0
8,L.Thomas o0.5 Runs Scored,Thespinzone,-105,0.1,0.1952380952380952,0.0952380952380952,L.Thomas,Washington Nationals,Colorado Rockies,1.0,0.5612244897959183,1.0,0.8,1.0,0.7,1.0
10,M.McLain o0.5 Runs Scored,Thespinzone,128,0.1,0.228,0.128,M.McLain,Cincinnati Reds,Milwaukee Brewers,0.0,0.5409836065573771,1.0,0.8,1.0,0.7,1.0
11,S.Frelick o0.5 Runs Scored,Thespinzone,127,0.13,0.2951,0.1651,S.Frelick,Milwaukee Brewers,Cincinnati Reds,1.0,1.0,1.0,1.0,1.0,1.0,1.0
