,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
1,J.Rodriguez o0.5 RBI,Thespinzone,195,0.1,0.295,0.195,J.Rodriguez,Seattle Mariners,Houston Astros,0.0,0.3583333333333333,0.0,0.6,1.0,0.3,0.0
2,T.Hernandez o0.5 RBI,Thespinzone,163,0.1,0.263,0.163,T.Hernandez,Seattle Mariners,Houston Astros,0.0,0.4016393442622951,0.0,0.6,1.0,0.8,1.0
3,A.Bregman o0.5 RBI,Thespinzone,200,0.1,0.3,0.2,A.Bregman,Houston Astros,Seattle Mariners,1.0,0.4262295081967213,0.0,0.8,1.0,0.8,1.0
4,Y.Diaz o0.5 RBI,Thespinzone,145,0.1,0.245,0.145,Y.Diaz,Houston Astros,Seattle Mariners,1.0,0.4230769230769231,0.0,0.8,1.0,0.8,1.0
7,S.Garrett o0.5 RBI,Thespinzone,148,0.1,0.248,0.148,S.Garrett,Washington Nationals,Philadelphia Phillies,1.0,0.3023255813953488,0.0,0.8,1.0,0.9,1.0
9,J.Soler o0.5 RBI,Thespinzone,165,0.1,0.265,0.165,J.Soler,Miami Marlins,Los Angeles Dodgers,0.0,0.3781512605042016,0.0,0.8,1.0,0.9,1.0
11,T.Pham o0.5 RBI,Thespinzone,180,0.18,0.504,0.324,T.Pham,Arizona Diamondbacks,San Diego Padres,0.0,0.7333333333333333,1.0,0.8,1.0,0.9,1.0
12,R.Devers o0.5 RBI,Thespinzone,165,0.17,0.4505,0.2804999999999999,R.Devers,Boston Red Sox,New York Yankees,0.0,0.4224137931034483,0.0,0.4,0.0,0.2,0.0
4,J.Rodriguez o0.5 RBI,Thespinzone,195,0.1,0.295,0.195,J.Rodriguez,Seattle Mariners,Houston Astros,0.0,,,,,,
5,T.Hernandez o0.5 RBI,Thespinzone,163,0.1,0.263,0.163,T.Hernandez,Seattle Mariners,Houston Astros,0.0,,,,,,
16,C.Seager o0.5 RBI,Thespinzone,145,0.1,0.245,0.145,C.Seager,Texas Rangers,Milwaukee Brewers,1.0,,,,,,
17,M.Garver o0.5 RBI,Thespinzone,195,0.1,0.295,0.195,M.Garver,Texas Rangers,Milwaukee Brewers,1.0,,,,,,
21,S.Garrett o0.5 RBI,Thespinzone,148,0.1,0.248,0.148,S.Garrett,Washington Nationals,Philadelphia Phillies,1.0,,,,,,
26,C.Morel o0.5 RBI,Thespinzone,185,0.1,0.285,0.185,C.Morel,Chicago Cubs,Kansas City Royals,1.0,,,,,,
31,J.Soler o0.5 RBI,Thespinzone,165,0.1,0.265,0.165,J.Soler,Miami Marlins,Los Angeles Dodgers,0.0,,,,,,
42,R.Devers o0.5 RBI,Thespinzone,165,0.17,0.4505,0.2804999999999999,R.Devers,Boston Red Sox,New York Yankees,0.0,,,,,,
