Unnamed: 0,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,J.Luzardo o2.5 earned runs,Chris Landers,-110,1.0,1.9090909090909092,0.9090909090909092,J.Luzardo,Miami Marlins,San Diego Padres,0,,,,,,
0,C.Rodon u5.5 strikeouts,Chris Landers,-125,1.0,1.8,0.8,C.Rodon,New York Yankees,Washington Nationals,1,,,,,,
1,J.Verlander u6.5 Strikeouts,Dan Servodidio,-110,1.0,1.9090909090909092,0.9090909090909092,J.Verlander,Houston Astros,Boston Red Sox,1,,,,,,
2,J.Verlander u5.5 Ks,jimsannes,124,1.0,2.24,1.2400000000000002,J.Verlander,Houston Astros,Boston Red Sox,1,,,,,,
3,J.Verlander u5.5 Ks,PropBetGuy,120,1.0,2.2,1.2000000000000002,J.Verlander,Houston Astros,Boston Red Sox,1,,,,,,
4,C.Rodon u5.5 Ks,PropBetGuy,100,1.0,2.0,1.0,C.Rodon,New York Yankees,Washington Nationals,1,,,,,,
5,L.Giolito u6.5 Ks,jimsannes,120,1.0,2.2,1.2000000000000002,L.Giolito,Los Angeles Angels,Cincinnati Reds,1,,,,,,
6,B.Woo u5.5 Ks,SBK5065,-120,1.0,1.8333333333333337,0.8333333333333335,B.Woo,Seattle Mariners,Chicago White Sox,0,,,,,,
0,P.Alonso o0.5 HR,JoeDellera,340,0.25,1.1,0.8500000000000001,P.Alonso,New York Mets,Atlanta Braves,0,0.2222222222222222,0.0,0.6,1.0,0.4,0.0
0,C.Blackmon o0.5 Runs Scored,Thespinzone,128,0.1,0.228,0.128,C.Blackmon,Colorado Rockies,Tampa Bay Rays,0,0.5522388059701493,1.0,0.8,1.0,0.9,1.0
0,K.Tucker o0.5 RBI,Thespinzone,155,0.1,0.255,0.155,K.Tucker,Houston Astros,Boston Red Sox,1,0.4508196721311475,0.0,0.6,1.0,0.8,1.0
1,R.McMahon o0.5 RBI,Thespinzone,225,0.1,0.325,0.225,R.McMahon,Colorado Rockies,Tampa Bay Rays,0,0.3833333333333333,0.0,0.6,1.0,0.8,1.0
2,Y.Diaz o0.5 RBI,Thespinzone,165,0.1,0.265,0.165,Y.Diaz,Houston Astros,Boston Red Sox,1,0.4444444444444444,0.0,0.8,1.0,0.9,1.0
0,A.Rutschman o1.5 Total Bases,NicholaskMartin,145,0.75,1.8375,1.0875,A.Rutschman,Baltimore Orioles,Toronto Blue Jays,1,0.3865546218487395,0.0,0.6,1.0,0.3,0.0
