Unnamed: 0,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv
6,J.Altuve o0.5 Runs Scored,Thespinzone,-105,0.12,0.2342857142857142,0.1142857142857142,J.Altuve,Houston Astros,Baltimore Orioles,0.0
19,L.Thomas o0.5 Runs Scored,Thespinzone,118,0.11,0.2397999999999999,0.1297999999999999,L.Thomas,Washington Nationals,Philadelphia Phillies,0.0
26,C.Bellinger o0.5 Runs Scored,Thespinzone,112,0.13,0.2756,0.1456,C.Bellinger,Chicago Cubs,New York Mets,0.0
41,M.Semien o0.5 Runs Scored,Thespinzone,-110,0.13,0.2481818181818182,0.1181818181818182,M.Semien,Texas Rangers,Oakland Athletics,0.0
43,G.Torres o0.5 Runs Scored,Thespinzone,100,0.1,0.2,0.1,G.Torres,New York Yankees,Chicago White Sox,0.0
4,A.Bohm o1.5 Total Bases,Dan Servodidio,-110,1.0,1.9090909090909092,0.9090909090909092,A.Bohm,Philadelphia Phillies,Washington Nationals,1.0
23,A.Bohm o1.5 Total Bases,charliedisturco,-110,0.55,1.05,0.5,A.Bohm,Philadelphia Phillies,Washington Nationals,1.0
24,A.Bohm o1.5 Total Bases,AnthonyDabbundo,-107,0.54,1.0446728971962618,0.5046728971962617,A.Bohm,Philadelphia Phillies,Washington Nationals,1.0
1,A.Bregman o0.5 RBI,Thespinzone,210,0.26,0.806,0.546,A.Bregman,Houston Astros,Baltimore Orioles,0.0
2,G.Henderson o0.5 RBI,Thespinzone,150,0.1,0.25,0.15,G.Henderson,Baltimore Orioles,Houston Astros,1.0
8,Y.Alvarez o0.5 RBI,Thespinzone,130,0.15,0.345,0.1949999999999999,Y.Alvarez,Houston Astros,Baltimore Orioles,0.0
11,M.Chapman o0.5 RBI,Thespinzone,123,0.1,0.223,0.123,M.Chapman,Toronto Blue Jays,Cleveland Guardians,0.0
12,D.Schneider o0.5 RBI,Thespinzone,170,0.15,0.405,0.255,D.Schneider,Toronto Blue Jays,Cleveland Guardians,0.0
15,T.Friedl o0.5 RBI,Thespinzone,175,0.1,0.275,0.175,T.Friedl,Cincinnati Reds,Miami Marlins,1.0
18,J.Meneses o0.5 RBI,Thespinzone,195,0.15,0.4425,0.2925,J.Meneses,Washington Nationals,Philadelphia Phillies,0.0
22,B.Harper o0.5 RBI,Thespinzone,180,0.18,0.504,0.324,B.Harper,Philadelphia Phillies,Washington Nationals,1.0
3,J.Flaherty o5.5 Strikeouts,Dan Servodidio,-110,1.0,1.9090909090909092,0.9090909090909092,J.Flaherty,Baltimore Orioles,Houston Astros,1.0
5,N.Pivetta u5.5 Strikeouts,Dan Servodidio,-110,1.0,1.9090909090909092,0.9090909090909092,N.Pivetta,Boston Red Sox,Kansas City Royals,1.0
28,K.Hendricks u16.5 Outs,AnthonyDabbundo,105,0.53,1.0865,0.5565,K.Hendricks,Chicago Cubs,New York Mets,0.0
32,N.Pivetta u5.5 Ks,SBK5065,105,0.5,1.025,0.5249999999999999,N.Pivetta,Boston Red Sox,Kansas City Royals,1.0
45,I.Hamilton o1.5 Ks,PropBetGuy,115,1.0,2.15,1.15,I.Hamilton,New York Yankees,Chicago White Sox,0.0
46,M.Clevinger u5.5 Ks,PropBetGuy,-121,1.21,2.21,1.0,M.Clevinger,Chicago White Sox,New York Yankees,1.0
