,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,0,1.0,1,R.Greene o0.5 Runs Scored,Thespinzone,125,0.08,R.Greene,0.18,0.0999999999999999,Detroit Tigers,Chicago White Sox,1.0,0.4680851063829787,0,0.6,1,0.6,1,N
1,3,3,4.0,4,C.Dickerson o0.5 RBI,Thespinzone,185,0.14,C.Dickerson,0.3990000000000001,0.259,Washington Nationals,Kansas City Royals,0.0,0.375,0,0.4,0,0.375,0,Y
2,4,4,5.0,5,C.Dickerson o0.5 Runs Scored,Thespinzone,145,0.11,C.Dickerson,0.2695,0.1595,Washington Nationals,Kansas City Royals,0.0,0.375,0,0.4,0,0.375,0,Y
3,6,6,9.0,9,J.Lowe o0.5 RBI,Thespinzone,155,0.12,J.Lowe,0.306,0.186,Tampa Bay Rays,Los Angeles Dodgers,1.0,0.4878048780487805,0,0.4,0,0.4,0,Y
4,13,13,23.0,23,N.Lowe o0.5 Runs Scored,Thespinzone,130,0.1,N.Lowe,0.2299999999999999,0.1299999999999999,Texas Rangers,Baltimore Orioles,0.0,0.5510204081632653,1,1.0,1,0.8,1,Y
5,16,16,27.0,27,G.Torres o0.5 Runs Scored,Thespinzone,-105,0.07,G.Torres,0.1366666666666667,0.0666666666666666,New York Yankees,San Diego Padres,1.0,0.5098039215686274,1,0.8,1,0.7,1,Y
6,18,18,31.0,31,L.Varland o5.5 Ks,jimsannes,140,0.8,L.Varland,1.92,1.12,Minnesota Twins,Toronto Blue Jays,1.0,0.8,1,0.8,1,0.8,1,N
7,19,19,33.0,33,C.Sale o5.5 Ks,JoeDellera,-145,0.4,C.Sale,0.6758620689655173,0.2758620689655172,Boston Red Sox,Arizona Diamondbacks,0.0,0.7777777777777778,1,0.6,1,0.7777777777777778,1,N
8,21,21,35.0,35,C.Sale o6.5 Ks,jimsannes,112,1.0,C.Sale,2.12,1.12,Boston Red Sox,Arizona Diamondbacks,0.0,0.5555555555555556,1,0.6,1,0.5555555555555556,1,N
9,22,22,36.0,36,S.Bieber u5.5 Ks,PropBetGuy,-122,1.0,S.Bieber,1.819672131147541,0.819672131147541,Cleveland Guardians,St. Louis Cardinals,1.0,0.8,1,0.8,1,0.8,1,Y
10,23,23,37.0,37,H.Brown o5.5 Ks,GreenDotDaily,-140,0.71,H.Brown,1.217142857142857,0.5071428571428571,Houston Astros,Oakland Athletics,0.0,0.5555555555555556,1,0.6,1,0.5555555555555556,1,Y
11,24,24,38.0,38,H.Brown o5.5 Ks,The_Oddsmaker,-140,1.0,H.Brown,1.7142857142857144,0.7142857142857144,Houston Astros,Oakland Athletics,0.0,0.5555555555555556,1,0.6,1,0.5555555555555556,1,Y
12,26,26,40.0,40,Y.Alvarez o1.5 Total Bases,charliedisturco,105,0.5,Y.Alvarez,1.025,0.5249999999999999,Houston Astros,Oakland Athletics,0.0,0.5581395348837209,1,0.6,1,0.6,1,N
13,27,27,41.0,41,A.Wood u5.5 Ks,Thespinzone,-105,0.1,A.Wood,0.1952380952380952,0.0952380952380952,San Francisco Giants,Milwaukee Brewers,0.0,1.0,1,1.0,1,1.0,1,Y
14,29,29,1.0,2,H.Renfroe o1.5 total bases,Teddy Ricketson,125,1.0,H.Renfroe,2.25,1.25,Los Angeles Angels,Miami Marlins,1.0,0.3877551020408163,0,0.4,0,0.4,0,N
15,30,30,,1,G.Kirby o5.5 strikeouts,Dan Servodidio,-110,1.0,G.Kirby,1.9090909090909087,0.9090909090909088,Seattle Mariners,Pittsburgh Pirates,1.0,0.4444444444444444,0,0.8,1,0.4444444444444444,0,N
16,31,31,,2,J.Soler o1.5 hits+runs+rbi,Dan Servodidio,-110,1.0,J.Soler,1.9090909090909087,0.9090909090909088,Miami Marlins,Los Angeles Angels,0.0,0.4285714285714285,0,0.8,1,0.6,1,Y
