,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,4,4,4,4.0,F.Lindor o1.5 Total Bases,charliedisturco,135,0.5,F.Lindor,1.175,0.675,New York Mets,New York Yankees,1.0,0.4090909090909091,0,0.6,1,0.4,0,N
1,11,11,12,12.0,E.Rivera o0.5 Runs Scored,Thespinzone,175,0.1,E.Rivera,0.275,0.175,Arizona Diamondbacks,Philadelphia Phillies,1.0,0.5151515151515151,1,0.8,1,0.7,1,N
2,12,12,13,13.0,C.Carroll o0.5 Runs Scored,Thespinzone,120,0.13,C.Carroll,0.286,0.156,Arizona Diamondbacks,Philadelphia Phillies,1.0,0.5396825396825397,1,0.8,1,0.7,1,Y
3,18,18,22,22.0,J.Musgrove u5.5 Ks,GreenDotDaily,-148,0.68,J.Musgrove,1.1394594594594596,0.4594594594594595,San Diego Padres,Cleveland Guardians,1.0,0.5,0,0.4,0,0.5,0,Y
4,19,19,23,23.0,J.Musgrove u5.5 Ks,The_Oddsmaker,-145,1.0,J.Musgrove,1.6896551724137931,0.6896551724137931,San Diego Padres,Cleveland Guardians,1.0,0.5,0,0.4,0,0.5,0,Y
5,20,20,24,24.0,M.Betts o1.5 Total Bases,MikeRandle,121,1.21,M.Betts,2.6741,1.4640999999999995,Los Angeles Dodgers,Chicago White Sox,1.0,0.492063492063492,0,0.6,1,0.5,0,Y
6,21,21,25,25.0,W.Smith o0.5 RBI,Thespinzone,170,0.17,W.Smith,0.4590000000000001,0.289,Los Angeles Dodgers,Chicago White Sox,1.0,0.425531914893617,0,0.4,0,0.3,0,Y
7,22,22,26,26.0,T.Gonsolin u5.5 Hits Allowed,PropBetGuy,-175,1.0,T.Gonsolin,1.5714285714285714,0.5714285714285714,Los Angeles Dodgers,Chicago White Sox,1.0,1.0,1,1.0,1,1.0,1,Y
8,24,24,28,28.0,F.Freeman o0.5 Runs Scored,Thespinzone,-105,0.14,F.Freeman,0.2733333333333334,0.1333333333333333,Los Angeles Dodgers,Chicago White Sox,1.0,0.6666666666666666,1,1.0,1,0.7,1,Y
9,37,37,0,1.0,W.Franco u1.5 total bases,Teddy Ricketson,-145,1.0,W.Franco,1.6896551724137931,,Tampa Bay Rays,Oakland Athletics,0.0,0.609375,1,0.8,1,0.6,1,Y
10,38,38,1,2.0,J.Altuve u1.5 hits,Teddy Ricketson,-255,1.0,J.Altuve,1.392156862745098,,Houston Astros,Washington Nationals,1.0,0.6666666666666666,1,0.6,1,0.6,1,Y
