,Unnamed: 0,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,F.Freeman o2.5 hits+runs+rbi,Chris Landers,115,1.0,2.15,1.15,F.Freeman,Los Angeles Dodgers,Colorado Rockies,1.0,0.5,0,0.6,1,0.6,1,X
1,1,A.Civale u4.5 strikeouts,Chris Landers,105,1.0,2.05,1.0499999999999998,A.Civale,Tampa Bay Rays,Cleveland Guardians,1.0,1.0,1,1.0,1,1.0,1,X
2,3,T.Turner o1.5 Total Bases,Dan Servodidio,-110,1.0,1.9090909090909087,0.9090909090909092,T.Turner,Philadelphia Phillies,Minnesota Twins,1.0,0.4298245614035088,0,0.6,1,0.4,0,N
3,4,J.Oviedo u5.5 Hits Allowed,Dan Servodidio,-110,1.0,1.9090909090909087,0.9090909090909092,J.Oviedo,Pittsburgh Pirates,Cincinnati Reds,1.0,0.5217391304347826,1,0.8,1,0.5,0,X
4,6,K.Tucker o0.5 RBI,Thespinzone,145,0.08,0.196,0.116,K.Tucker,Houston Astros,Los Angeles Angels,1.0,0.4298245614035088,0,0.6,1,0.7,1,Y
5,16,M.Tauchman o0.5 Runs Scored,Thespinzone,115,0.1,0.215,0.1149999999999999,M.Tauchman,Chicago Cubs,Toronto Blue Jays,0.0,0.5373134328358209,1,0.8,1,0.7,1,Y
6,17,M.Betts o0.5 RBI,Thespinzone,125,0.13,0.2925,0.1624999999999999,M.Betts,Los Angeles Dodgers,Colorado Rockies,1.0,0.4311926605504587,0,1.0,1,0.7,1,Y
7,19,R.McMahon o0.5 RBI,Thespinzone,230,0.1,0.33,0.23,R.McMahon,Colorado Rockies,Los Angeles Dodgers,0.0,0.3513513513513513,0,0.6,1,0.7,1,Y
8,20,L.Lynn u8.5 Ks,PropBetGuy,-152,1.52,2.52,1.0,L.Lynn,Los Angeles Dodgers,Colorado Rockies,1.0,1.0,1,1.0,1,1.0,1,X
9,29,M.Kopech u5.5 Ks,PropBetGuy,-150,1.0,1.6666666666666663,0.6666666666666665,M.Kopech,Chicago White Sox,Milwaukee Brewers,1.0,0.6666666666666666,1,1.0,1,0.8,1,X
