,Unnamed: 0,Name,Team,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Opponent,Hmcrt_adv
0,0,Zach Neto,Los Angeles Angels,4,0,0,0,0,0,4,0.0,0.0,0.0,-0.295,1.87,-0.17,1.79,-2.2,0,0,0,0,0,0,Boston Red Sox,0.0
1,1,Mike Trout,Los Angeles Angels,4,0,0,0,0,2,4,0.435,0.537,0.972,-0.101,0.98,-0.06,0.94,-0.6,0,0,0,0,0,0,Boston Red Sox,0.0
2,2,Shohei Ohtani,Los Angeles Angels,4,0,0,0,0,0,4,0.383,0.5,0.883,-0.124,1.18,-0.07,1.13,-0.7,0,0,0,0,0,0,Boston Red Sox,0.0
3,3,Anthony Rendon,Los Angeles Angels,3,1,1,0,0,0,3,0.421,0.321,0.742,0.008,1.01,0.01,0.96,0.3,2,0,1,0,0,2,Boston Red Sox,0.0
4,4,Hunter Renfroe,Los Angeles Angels,3,0,0,0,0,2,3,0.369,0.5,0.869,-0.052,0.86,-0.03,0.82,-0.4,0,0,0,0,0,0,Boston Red Sox,0.0
5,5,Gio Urshela,Los Angeles Angels,3,0,1,0,0,1,3,0.37,0.442,0.813,-0.006,1.6,-0.0,1.53,-0.5,1,1,0,0,0,1,Boston Red Sox,0.0
6,6,Luis Rengifo,Los Angeles Angels,1,0,0,0,1,1,2,0.315,0.244,0.559,-0.01,1.14,-0.01,1.09,-0.0,0,0,0,0,0,0,Boston Red Sox,0.0
7,7,Taylor Ward,Los Angeles Angels,1,0,0,0,0,0,1,0.343,0.373,0.716,-0.081,3.42,-0.05,3.27,-0.4,0,0,0,0,0,0,Boston Red Sox,0.0
8,8,Brandon Drury,Los Angeles Angels,2,0,1,1,1,0,3,0.24,0.326,0.566,0.121,1.73,0.07,1.66,0.8,2,1,0,0,0,1,Boston Red Sox,0.0
9,9,Logan O'Hoppe,Los Angeles Angels,2,0,1,0,1,0,3,0.304,0.561,0.865,-0.015,2.3,-0.01,2.2,0.3,1,1,0,0,0,1,Boston Red Sox,0.0
10,10,Alex Verdugo,Boston Red Sox,4,1,2,0,0,1,4,0.386,0.429,0.814,0.029,0.79,0.01,0.66,0.3,3,2,0,0,0,2,Los Angeles Angels,1.0
11,11,Justin Turner,Boston Red Sox,4,1,2,2,0,0,4,0.389,0.39,0.779,0.181,0.92,0.09,0.78,1.5,5,1,0,0,1,5,Los Angeles Angels,1.0
12,12,Rob Refsnyder,Boston Red Sox,3,0,1,0,1,1,4,0.366,0.333,0.699,0.027,0.72,0.01,0.61,0.3,1,1,0,0,0,1,Los Angeles Angels,1.0
13,13,Rafael Devers,Boston Red Sox,3,0,0,0,0,0,3,0.308,0.656,0.963,-0.123,0.9,-0.06,0.76,-1.5,0,0,0,0,0,0,Los Angeles Angels,1.0
14,14,Enrique Hernández,Boston Red Sox,3,0,1,0,0,1,3,0.274,0.333,0.608,-0.023,1.09,-0.01,0.92,-0.2,1,1,0,0,0,1,Los Angeles Angels,1.0
15,15,Masataka Yoshida,Boston Red Sox,2,0,0,0,0,1,3,0.354,0.308,0.662,0.024,1.01,0.01,0.85,0.2,0,0,0,0,0,0,Los Angeles Angels,1.0
16,16,Christian Arroyo,Boston Red Sox,3,0,1,0,0,1,3,0.204,0.213,0.417,-0.106,1.03,-0.05,0.87,-1.0,1,1,0,0,0,1,Los Angeles Angels,1.0
17,17,Connor Wong,Boston Red Sox,3,0,0,0,0,1,3,0.25,0.25,0.5,-0.111,1.11,-0.06,0.93,-1.2,0,0,0,0,0,0,Los Angeles Angels,1.0
18,18,Yu Chang,Boston Red Sox,3,0,0,0,0,1,3,0.16,0.217,0.377,-0.059,0.76,-0.03,0.64,-0.7,0,0,0,0,0,0,Los Angeles Angels,1.0
19,19,Edouard Julien,Minnesota Twins,3,0,0,0,0,2,4,0.167,0.294,0.461,-0.108,1.23,-0.08,1.44,-0.9,0,0,0,0,0,0,New York Yankees,0.0
20,20,Carlos Correa,Minnesota Twins,4,0,0,0,0,1,4,0.269,0.396,0.665,-0.102,0.94,-0.07,1.09,-0.8,0,0,0,0,0,0,New York Yankees,0.0
21,21,Byron Buxton,Minnesota Twins,3,0,0,0,0,3,3,0.3,0.4,0.7,-0.059,0.76,-0.04,0.89,-0.5,0,0,0,0,0,0,New York Yankees,0.0
22,22,Trevor Larnach,Minnesota Twins,2,0,0,0,1,1,3,0.343,0.351,0.694,-0.019,1.04,-0.01,1.22,-0.0,0,0,0,0,0,0,New York Yankees,0.0
23,23,Jose Miranda,Minnesota Twins,3,0,0,0,0,0,3,0.284,0.258,0.542,-0.115,0.99,-0.08,1.15,-1.1,0,0,0,0,0,0,New York Yankees,0.0
