,Unnamed: 0,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,R.Acuna o0.5 HR,charliedisturco,430,0.25,R.Acuna,1.325,1.075,Atlanta Braves,Houston Astros,0.0,0.0,0,0.0,0,0.0,0,N
1,1,R.Lopez o15.5 Outs,MrTuttle05,110,1.0,R.Lopez,2.1,1.1,Atlanta Braves,Houston Astros,0.0,1.0,1,1.0,1,1.0,1,Y
2,2,R.Lopez u4.5 Ks,GreenDotDaily,110,1.0,R.Lopez,2.1,1.1,Atlanta Braves,Houston Astros,0.0,0.0,0,0.0,0,0.0,0,N
3,3,R.Lopez u4.5 Ks,GDAWG5000,112,0.5,R.Lopez,1.06,0.56,Atlanta Braves,Houston Astros,0.0,0.0,0,0.0,0,0.0,0,N
4,4,R.Lopez u4.5 Ks,The_Oddsmaker,112,1.0,R.Lopez,2.12,1.12,Atlanta Braves,Houston Astros,0.0,0.0,0,0.0,0,0.0,0,N
5,5,R.Lopez u4.5 Ks,cowhitchurch,112,1.0,R.Lopez,2.12,1.12,Atlanta Braves,Houston Astros,0.0,0.0,0,0.0,0,0.0,0,N
6,6,R.Lopez u4.5 Ks,AnthonyDabbundo,112,1.0,R.Lopez,2.12,1.12,Atlanta Braves,Houston Astros,0.0,0.0,0,0.0,0,0.0,0,N
7,7,M.Chapman o0.5 Runs Scored,Thespinzone,115,0.15,M.Chapman,0.3224999999999999,0.1724999999999999,San Francisco Giants,Miami Marlins,0.0,0.3529411764705882,0,0.4,0,0.3,0,Y
8,8,J.Hicks o15.5 Outs,MrTuttle05,100,1.0,J.Hicks,2.0,1.0,San Francisco Giants,Miami Marlins,0.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,N
9,9,R.Weathers o4.5 Ks,GreenDotDaily,105,1.0,R.Weathers,2.05,1.0499999999999998,Miami Marlins,San Francisco Giants,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,Y
10,10,R.Weathers o4.5 Ks,cowhitchurch,105,1.0,R.Weathers,2.05,1.0499999999999998,Miami Marlins,San Francisco Giants,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,Y
11,11,R.Weathers o4.5 Ks,GDAWG5000,105,0.5,R.Weathers,1.025,0.5249999999999999,Miami Marlins,San Francisco Giants,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,Y
12,12,R.Weathers o4.5 Ks,The_Oddsmaker,105,1.0,R.Weathers,2.05,1.0499999999999998,Miami Marlins,San Francisco Giants,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,Y
13,13,R.Weathers o4.5 Ks,AnthonyDabbundo,108,1.0,R.Weathers,2.08,1.08,Miami Marlins,San Francisco Giants,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,Y
14,14,C.Cowser o1.5 Hits + Runs + RBIs,Thespinzone,120,0.15,C.Cowser,0.33,0.18,Baltimore Orioles,Minnesota Twins,1.0,0.5714285714285714,1,0.8,1,0.7,1,Y
15,15,C.Cowser o0.5 HR,Thespinzone,850,0.1,C.Cowser,0.95,0.8500000000000001,Baltimore Orioles,Minnesota Twins,1.0,0.2142857142857142,0,0.6,1,0.3,0,N
16,16,C.Paddack u15.5 Outs,cowhitchurch,-155,0.78,C.Paddack,1.2832258064516129,0.5032258064516129,Minnesota Twins,Baltimore Orioles,0.0,1.0,1,1.0,1,1.0,1,N
17,17,C.Paddack o1.5 BB,cowhitchurch,-111,0.56,C.Paddack,1.0645045045045047,0.5045045045045047,Minnesota Twins,Baltimore Orioles,0.0,1.0,1,1.0,1,1.0,1,N
18,18,G.Rodriguez o6.5 Ks,cowhitchurch,-121,0.61,G.Rodriguez,1.1141322314049589,0.5041322314049587,Baltimore Orioles,Minnesota Twins,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,N
19,19,E.Tovar o1.5 Hits + Runs + RBIs,Thespinzone,100,0.15,E.Tovar,0.3,0.15,Colorado Rockies,Philadelphia Phillies,0.0,0.4705882352941176,0,0.4,0,0.6,1,N
20,20,A.Gomber o4.5 Ks,Thespinzone,100,0.2,A.Gomber,0.4,0.2,Colorado Rockies,Philadelphia Phillies,0.0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,N
21,21,A.Gomber o15.5 Outs,MrTuttle05,105,1.0,A.Gomber,2.05,1.0499999999999998,Colorado Rockies,Philadelphia Phillies,0.0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,Y
22,22,R.Suarez o17.5 Outs,PropBetGuy,-140,1.4,R.Suarez,2.4,1.0,Philadelphia Phillies,Colorado Rockies,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,Y
23,23,C.Rodon u4.5 Ks,gneiffer07,112,1.0,C.Rodon,2.12,1.12,New York Yankees,Toronto Blue Jays,0.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,N
24,24,Y.Kikuchi u5.5 Ks,MrTuttle05,-110,1.1,Y.Kikuchi,2.1,1.0,Toronto Blue Jays,New York Yankees,1.0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,N
25,25,C.Rodon u4.5 Ks,_Collin1,-105,0.53,C.Rodon,1.0347619047619048,0.5047619047619047,New York Yankees,Toronto Blue Jays,0.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,N
26,26,Y.Kikuchi u5.5 Ks,_Collin1,-105,0.53,Y.Kikuchi,1.0347619047619048,0.5047619047619047,Toronto Blue Jays,New York Yankees,1.0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,N
27,27,T.Bibee o5.5 Ks,Thespinzone,-105,0.15,T.Bibee,0.2928571428571428,0.1428571428571428,Cleveland Guardians,Boston Red Sox,0.0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,N
28,28,T.Casas o0.5 HR,GreenDotDaily,560,0.5,T.Casas,3.3,2.8,Boston Red Sox,Cleveland Guardians,1.0,0.2352941176470588,0,0.4,0,0.4,0,Y
29,29,T.Bibee o15.5 Outs,MrTuttle05,-115,1.15,T.Bibee,2.1499999999999995,0.9999999999999996,Cleveland Guardians,Boston Red Sox,0.0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,N
30,30,D.Cease u7.5 Ks,PropBetGuy,-111,1.11,D.Cease,2.1100000000000003,1.0000000000000002,San Diego Padres,Milwaukee Brewers,0.0,1.0,1,1.0,1,1.0,1,Y
31,31,A.Civale o5.5 Ks,gneiffer07,-106,1.06,A.Civale,2.06,1.0,Tampa Bay Rays,Los Angeles Angels,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,Y
32,32,A.Civale u5.5 Ks,AnthonyDabbundo,100,1.0,A.Civale,2.0,1.0,Tampa Bay Rays,Los Angeles Angels,1.0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,N
