,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,0,S.Perez o1.5 Total Bases,theprophunter0_,-115,1.15,S.Perez,2.15,1.0,Kansas City Royals,Cincinnati Reds,0,0.423728813559322,0,0.4,0,0.3,0,Y
1,1,1,P.Skenes o7.5 Ks,CroweRadio,-145,0.25,P.Skenes,0.422414,0.172414,Pittsburgh Pirates,Seattle Mariners,1,0.6875,1,0.6,1,0.7,1,N
2,2,2,P.Skenes o8.5 Ks,Pga_queen,102,1.0,P.Skenes,2.02,1.02,Pittsburgh Pirates,Seattle Mariners,1,0.25,0,0.0,0,0.2,0,N
3,3,3,B.Harper o1.5 Total Bases,theprophunter0_,-110,1.1,B.Harper,2.1,1.0,Philadelphia Phillies,Washington Nationals,1,0.4245283018867924,0,0.6,1,0.7,1,N
4,4,4,K.Schwarber o1.5 Total Bases,Proptology,110,2.0,K.Schwarber,4.2,2.2,Philadelphia Phillies,Washington Nationals,1,0.3727272727272727,0,0.2,0,0.4,0,N
5,5,5,B.Harper o1.5 Total Bases,charliedisturco,-105,0.53,B.Harper,1.034762,0.504762,Philadelphia Phillies,Washington Nationals,1,0.4245283018867924,0,0.6,1,0.7,1,N
6,6,6,A.Nola u2.5 Earned Runs,JBBets1,-135,1.0,A.Nola,1.740741,0.740741,Philadelphia Phillies,Washington Nationals,1,0.5652173913043478,1,0.4,0,0.3,0,Y
7,7,7,F.Freeman o3.5 Total Bases,theprophunter0_,300,0.33,F.Freeman,1.32,0.99,Los Angeles Dodgers,St Louis Cardinals,0,0.2142857142857142,0,0.0,0,0.1,0,N
8,8,8,F.Freeman o1.5 Total Bases,therocketplays,100,1.0,F.Freeman,2.0,1.0,Los Angeles Dodgers,St Louis Cardinals,0,0.4732142857142857,0,0.6,1,0.6,1,Y
9,9,9,F.Freeman o1.5 Total Bases,theprophunter0_,-115,1.73,F.Freeman,3.234348,1.504348,Los Angeles Dodgers,St Louis Cardinals,0,0.4732142857142857,0,0.6,1,0.6,1,Y
10,10,10,S.Schwellenbach o18.5 Outs,sirlockselot_,130,2.0,S.Schwellenbach,4.6,2.6,Atlanta Braves,Los Angeles Angels,0,0.25,0,0.6,1,0.3,0,N
11,11,11,J.Soriano o15.5 Outs,Jort,-130,1.3,J.Soriano,2.3,1.0,Los Angeles Angels,Atlanta Braves,1,0.65,1,0.8,1,0.7,1,N
12,12,12,S.Schwellenbach u18.5 Outs,JoeDellera,-163,1.0,S.Schwellenbach,1.613497,0.613497,Atlanta Braves,Los Angeles Angels,0,0.75,1,0.4,0,0.7,1,Y
13,13,13,S.Schwellenbach u18.5 Outs,SBK5065,-163,1.0,S.Schwellenbach,1.613497,0.613497,Atlanta Braves,Los Angeles Angels,0,0.75,1,0.4,0,0.7,1,Y
14,14,14,S.Schwellenbach o6.5 Ks,PropBetGuy,-150,1.8,S.Schwellenbach,3.0,1.2,Atlanta Braves,Los Angeles Angels,0,0.5,0,0.8,1,0.6,1,Y
15,15,15,J.Burger o1.5 Total Bases,theprophunter0_,110,1.05,J.Burger,2.205,1.155,Miami Marlins,New York Mets,0,0.4329896907216495,0,1.0,1,0.7,1,Y
16,16,16,S.Manaea o1.5 BB,SBK5065,110,1.0,S.Manaea,2.1,1.1,New York Mets,Miami Marlins,1,0.5454545454545454,1,0.2,0,0.5,0,N
17,17,17,J.Burger o1.5 Hits + Runs + RBIs,MJCLocks,-115,1.15,J.Burger,2.15,1.0,Miami Marlins,New York Mets,0,0.4536082474226804,0,1.0,1,0.6,1,Y
18,18,18,S.Arrighetti u6.5 Ks,charliedisturco,-105,0.53,S.Arrighetti,1.034762,0.504762,Houston Astros,Chicago White Sox,1,0.6190476190476191,1,0.2,0,0.5,0,Y
19,19,19,R.Lewis o1.5 Hits + Runs + RBIs,theprophunter0_,-120,1.2,R.Lewis,2.2,1.0,Minnesota Twins,Texas Rangers,0,0.5348837209302325,1,0.6,1,0.4,0,N
20,20,20,J.Pederson o1.5 Total Bases,theprophunter0_,150,1.0,J.Pederson,2.5,1.5,Arizona Diamondbacks,Tampa Bay Rays,0,0.37,0,0.4,0,0.5,0,N
