Unnamed: 0,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,J.Smith o0.5 Runs Scored,Thespinzone,160,0.4,J.Smith,1.04,0.64,Texas Rangers,Miami Marlins,0.0,0.425,0,0.8,1,0.5,0
1,S.Kwan o0.5 Runs Scored,Thespinzone,102,0.25,S.Kwan,0.505,0.255,Cleveland Guardians,Washington Nationals,1.0,0.6060606060606061,1,0.4,0,0.6,1
0,J.Irvin o3.5 Ks,PropBetGuy,-125,1.0,J.Irvin,1.8,0.8,Washington Nationals,Cleveland Guardians,0.0,0.7272727272727273,1,0.8,1,0.7,1
1,L.Lynn u5.5 ks,Jason Radowitz,-140,1.0,L.Lynn,1.7142857142857144,0.7142857142857144,St Louis Cardinals,Philadelphia Phillies,0.0,0.7272727272727273,1,1.0,1,0.7,1
2,T.Megill o4.5 strikeouts,Rotowire,100,0.75,T.Megill,1.5,0.75,New York Mets,Arizona Diamondbacks,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
3,M.Gore u6.5 strikeouts,Rotowire,100,0.75,M.Gore,1.5,0.75,Washington Nationals,Cleveland Guardians,0.0,0.5454545454545454,1,0.4,0,0.5,0
0,T.Nido u1.5 total bases,Rotowire,100,0.75,T.Nido,1.5,0.75,New York Mets,Arizona Diamondbacks,1.0,0.75,1,0.6,1,0.6,1
0,B.Pfaadt u1.5 BB,SBK5065,-120,1.2,B.Pfaadt,2.2,1.0000000000000002,Arizona Diamondbacks,New York Mets,0.0,0.6363636363636364,1,0.6,1,0.6,1
0,C.Bassitt u2.5 Earned Runs,SportsBookBreakers,-163,1.0,C.Bassitt,1.6134969325153374,0.6134969325153374,Toronto Blue Jays,Pittsburgh Pirates,1.0,0.5454545454545454,1,0.6,1,0.6,1
1,N.Nastrini o2.5 Earned Runs,cowhitchurch,-145,0.5,N.Nastrini,0.8448275862068966,0.3448275862068966,Chicago White Sox,Milwaukee Brewers,0.0,0.75,1,0.75,1,0.75,1
0,J.Ramirez o0.5 RBI,Thespinzone,132,0.25,J.Ramirez,0.5800000000000001,0.33,Cleveland Guardians,Washington Nationals,1.0,0.5789473684210527,1,0.6,1,0.8,1
1,M.Andujar o0.5 RBI,Thespinzone,210,0.25,M.Andujar,0.775,0.525,Oakland Athletics,Atlanta Braves,0.0,0.7142857142857143,1,0.8,1,0.7142857142857143,1
2,M.Ozuna o0.5 RBI,Thespinzone,115,0.25,M.Ozuna,0.5375,0.2875,Atlanta Braves,Oakland Athletics,1.0,0.5,0,0.6,1,0.4,0
