Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
D.Dunning u5.5 Ks,SBK5065,-155.0,1.0,D.Dunning,1.6451612903225803,0.6451612903225805,Texas Rangers,Pittsburgh Pirates,1.0,0.5384615384615384,1.0,0.6,1.0,0.6,1.0
C.Fulmer u3.5 ks,Jason Radowitz,-184.0,1.0,C.Fulmer,1.5434782608695652,0.5434782608695652,Los Angeles Angels,Kansas City Royals,0.0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666666,1.0
T.Houck u4.5 ks,Jason Radowitz,100.0,1.0,T.Houck,2.0,1.0,Boston Red Sox,Houston Astros,0.0,0.375,0.0,0.8,1.0,0.6,1.0
C.Fulmer o2.5 strikeouts,Rotowire,100.0,0.75,C.Fulmer,1.5,0.75,Los Angeles Angels,Kansas City Royals,0.0,0.8333333333333334,1.0,0.8,1.0,0.8333333333333334,1.0
K.Harrison u5.5 strikeouts,Rotowire,100.0,0.75,K.Harrison,1.5,0.75,San Francisco Giants,Chicago White Sox,1.0,0.6666666666666666,1.0,0.4,0.0,0.7,1.0
G.Stone u5.5 strikeouts,Rotowire,100.0,0.75,G.Stone,1.5,0.75,Los Angeles Dodgers,Seattle Mariners,1.0,0.6818181818181818,1.0,0.8,1.0,0.7,1.0
S.Lugo u5.5 strikeouts,Rotowire Prizepicks,100.0,1.5,S.Lugo,3.0,1.5,Kansas City Royals,Los Angeles Angels,1.0,0.64,1.0,0.8,1.0,0.5,0.0
B.Pfaadt u6.5 strikeouts,Rotowire,100.0,0.75,B.Pfaadt,1.5,0.75,Arizona Diamondbacks,Miami Marlins,0.0,0.625,1.0,0.6,1.0,0.7,1.0
Z.Matthews u3.5 strikeouts,Rotowire Prizepicks,100.0,1.5,Z.Matthews,3.0,1.5,Minnesota Twins,San Diego Padres,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T.Rogers u3.5 strikeouts,Rotowire,100.0,0.75,T.Rogers,1.5,0.75,Baltimore Orioles,New York Mets,0.0,1.0,1.0,1.0,1.0,1.0,1.0
T.Rogers u3.5 strikeouts,Rotowire Prizepicks,100.0,1.5,T.Rogers,3.0,1.5,Baltimore Orioles,New York Mets,0.0,1.0,1.0,1.0,1.0,1.0,1.0
M.King o6.5 strikeouts,Rotowire,100.0,0.75,M.King,1.5,0.75,San Diego Padres,Minnesota Twins,1.0,0.4347826086956521,0.0,0.8,1.0,0.6,1.0
