Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
F.Lindor o1.5 Total Bases,charliedisturco,-105,0.53,F.Lindor,1.0347619047619048,0.5047619047619047,New York Mets,Baltimore Orioles,1.0,0.4444444444444444,0.0,0.6,1.0,0.7,1.0
J.Holliday o1.5 Total Bases,theprophunter0_,220,0.5,J.Holliday,1.6,1.1,Baltimore Orioles,New York Mets,0.0,0.2758620689655172,0.0,0.2,0.0,0.2,0.0
C.Seager o1.5 Total Bases,charliedisturco,100,0.5,C.Seager,1.0,0.5,Texas Rangers,Pittsburgh Pirates,1.0,0.415929203539823,0.0,0.4,0.0,0.5,0.0
F.Lindor o1.5 Total Bases,charliedisturco,-105,0.5,F.Lindor,0.9761904761904762,0.4761904761904761,New York Mets,Baltimore Orioles,1.0,0.4444444444444444,0.0,0.6,1.0,0.7,1.0
N.Castellanos o1.5 Total Bases,therocketplays,115,1.0,N.Castellanos,2.15,1.15,Philadelphia Phillies,Atlanta Braves,0.0,0.36,0.0,0.4,0.0,0.4,0.0
A.Judge o1.5 Total Bases,Proptology,-115,2.3,A.Judge,4.299999999999999,1.9999999999999991,New York Yankees,Cleveland Guardians,1.0,0.5241935483870968,1.0,0.8,1.0,0.8,1.0
S.Ohtani o1.5 Total Bases,theprophunter0_,-120,1.2,S.Ohtani,2.2,1.0000000000000002,Los Angeles Dodgers,Seattle Mariners,1.0,0.5573770491803278,1.0,0.6,1.0,0.6,1.0
A.Judge o1.5 Total Bases,theprophunter0_,-120,1.2,A.Judge,2.2,1.0000000000000002,New York Yankees,Cleveland Guardians,1.0,0.5241935483870968,1.0,0.8,1.0,0.8,1.0
J.Burger o1.5 Total Bases,theprophunter0_,-115,1.15,J.Burger,2.1499999999999995,0.9999999999999996,Miami Marlins,Arizona Diamondbacks,1.0,0.4411764705882353,0.0,0.6,1.0,0.8,1.0
J.Burger o3.5 Total Bases,theprophunter0_,230,0.43,J.Burger,1.4189999999999998,0.989,Miami Marlins,Arizona Diamondbacks,1.0,0.2352941176470588,0.0,0.2,0.0,0.5,0.0
J.Pederson o1.5 Total Bases,theprophunter0_,110,1.0,J.Pederson,2.1,1.1,Arizona Diamondbacks,Miami Marlins,0.0,0.3653846153846153,0.0,0.4,0.0,0.3,0.0
