Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
D.Festa u15.5 Outs,SBK5065,-167,1.67,D.Festa,2.6699999999999995,0.9999999999999996,Minnesota Twins,Atlanta Braves,1.0,1.0,1.0,1.0,1.0,1.0,1.0
K.Harrison u15.5 Outs,SBK5065,-143,1.0,K.Harrison,1.6993006993006992,0.6993006993006992,San Francisco Giants,Milwaukee Brewers,0.0,0.5454545454545454,1.0,0.6,1.0,0.5,0.0
V.Caratini o0.5 Hits,JBBets1,190,1.0,V.Caratini,2.9,1.9,Houston Astros,Philadelphia Phillies,0.0,0.5901639344262295,1.0,0.6,1.0,0.6,1.0
K.Freeland u4.5 Ks,PropBetGuy,-135,1.35,K.Freeland,2.35,1.0,Colorado Rockies,Miami Marlins,1.0,0.6666666666666666,1.0,0.6,1.0,0.5,0.0
C.Rodon o5.5 strikeouts,Rotowire,100,0.75,C.Rodon,1.5,0.75,New York Yankees,Washington Nationals,0.0,0.5769230769230769,1.0,0.6,1.0,0.7,1.0
A.Pallante u2.5 BB,SBK5065,-180,1.0,A.Pallante,1.5555555555555556,0.5555555555555556,St Louis Cardinals,San Diego Padres,1.0,0.6428571428571429,1.0,0.8,1.0,0.7,1.0
J.Martinez o1.5 Hits + Runs + RBIs,MJCLocks,-105,1.05,J.Martinez,2.05,0.9999999999999998,New York Mets,Arizona Diamondbacks,0.0,0.48,0.0,0.4,0.0,0.5,0.0
P.Pages o0.5 hits+runs+rbi,Rotowire,100,0.75,P.Pages,1.5,0.75,St Louis Cardinals,San Diego Padres,1.0,0.6739130434782609,1.0,0.8,1.0,0.6,1.0
M.Machado o1.5 hits+runs+rbi,Rotowire,100,0.75,M.Machado,1.5,0.75,San Diego Padres,St Louis Cardinals,0.0,0.5203252032520326,1.0,0.8,1.0,0.6,1.0
P.Meadows o1.5 hits+runs+rbi,Rotowire Prizepicks,100,1.5,P.Meadows,3.0,1.5,Detroit Tigers,Los Angeles Angels,1.0,0.4680851063829787,0.0,1.0,1.0,0.8,1.0
C.Bellinger o1.5 Hits + Runs + RBIs,theprophunter0_,-105,1.05,C.Bellinger,2.05,0.9999999999999998,Chicago Cubs,Pittsburgh Pirates,0.0,0.5533980582524272,1.0,0.4,0.0,0.4,0.0
G.Springer o1.5 hits+runs+rbi,Rotowire,100,0.75,G.Springer,1.5,0.75,Toronto Blue Jays,Boston Red Sox,0.0,0.4227642276422764,0.0,0.4,0.0,0.6,1.0
F.Peralta u2.5 BB,Markus_Markets,-175,1.0,F.Peralta,1.5714285714285714,0.5714285714285714,Milwaukee Brewers,San Francisco Giants,1.0,0.8076923076923077,1.0,1.0,1.0,0.8,1.0
B.Marsh o0.5 total bases,Rotowire Prizepicks,100,1.5,B.Marsh,3.0,1.5,Philadelphia Phillies,Houston Astros,1.0,0.5462962962962963,1.0,1.0,1.0,0.7,1.0
S.Arrighetti o5.5 strikeouts,Rotowire,100,0.75,S.Arrighetti,1.5,0.75,Houston Astros,Philadelphia Phillies,0.0,0.5652173913043478,1.0,0.8,1.0,0.7,1.0
S.Steer o1.5 hits+runs+rbi,Rotowire Prizepicks,100,1.5,S.Steer,3.0,1.5,Cincinnati Reds,Oakland Athletics,1.0,0.5116279069767442,1.0,0.8,1.0,0.7,1.0
M.Ozuna o1.5 hits+runs+rbi,Rotowire Prizepicks,100,1.5,M.Ozuna,3.0,1.5,Atlanta Braves,Minnesota Twins,0.0,0.6136363636363636,1.0,0.4,0.0,0.5,0.0
L.Severino u17.5 Outs,KyleJustBets,-120,1.0,L.Severino,1.8333333333333333,0.8333333333333335,New York Mets,Arizona Diamondbacks,0.0,0.44,0.0,0.8,1.0,0.5,0.0
