Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
J.Martinez o1.5 Hits + Runs + RBIs,MJCLocks,-105,1.05,J.Martinez,2.05,0.9999999999999998,New York Mets,Arizona Diamondbacks,0.0,0.48,0,0.4,0,0.5,0
P.Pages o0.5 hits+runs+rbi,Rotowire,100,0.75,P.Pages,1.5,0.75,St Louis Cardinals,San Diego Padres,1.0,0.6739130434782609,1,0.8,1,0.6,1
M.Machado o1.5 hits+runs+rbi,Rotowire,100,0.75,M.Machado,1.5,0.75,San Diego Padres,St Louis Cardinals,0.0,0.5203252032520326,1,0.8,1,0.6,1
P.Meadows o1.5 hits+runs+rbi,Rotowire Prizepicks,100,1.5,P.Meadows,3.0,1.5,Detroit Tigers,Los Angeles Angels,1.0,0.4680851063829787,0,1.0,1,0.8,1
C.Bellinger o1.5 Hits + Runs + RBIs,theprophunter0_,-105,1.05,C.Bellinger,2.05,0.9999999999999998,Chicago Cubs,Pittsburgh Pirates,0.0,0.5533980582524272,1,0.4,0,0.4,0
G.Springer o1.5 hits+runs+rbi,Rotowire,100,0.75,G.Springer,1.5,0.75,Toronto Blue Jays,Boston Red Sox,0.0,0.4227642276422764,0,0.4,0,0.6,1
S.Steer o1.5 hits+runs+rbi,Rotowire Prizepicks,100,1.5,S.Steer,3.0,1.5,Cincinnati Reds,Oakland Athletics,1.0,0.5116279069767442,1,0.8,1,0.7,1
M.Ozuna o1.5 hits+runs+rbi,Rotowire Prizepicks,100,1.5,M.Ozuna,3.0,1.5,Atlanta Braves,Minnesota Twins,0.0,0.6136363636363636,1,0.4,0,0.5,0
R.Greene o1.5 Hits + Runs + RBIs,ThePropfessor_,-125,1.25,R.Greene,2.25,1.0,Detroit Tigers,Los Angeles Angels,1.0,0.5277777777777778,1,1.0,1,0.5,0
M.Toglia o1.5 hits+runs+rbi,Rotowire,100,0.75,M.Toglia,1.5,0.75,Colorado Rockies,Miami Marlins,1.0,0.5,0,0.4,0,0.5,0
J.Chourio o1.5 hits+runs+rbi,Rotowire,100,0.75,J.Chourio,1.5,0.75,Milwaukee Brewers,San Francisco Giants,1.0,0.5350877192982456,1,0.6,1,0.4,0
C.Carroll o1.5 hits+runs+rbi,Rotowire,100,0.75,C.Carroll,1.5,0.75,Arizona Diamondbacks,New York Mets,1.0,0.552,1,0.8,1,0.7,1
L.Gurriel o1.5 hits+runs+rbi,Rotowire Prizepicks,100,1.5,L.Gurriel,3.0,1.5,Arizona Diamondbacks,New York Mets,1.0,0.6,1,0.6,1,0.7,1
C.Cowser o1.5 hits+runs+rbi,Rotowire Prizepicks,100,1.5,C.Cowser,3.0,1.5,Baltimore Orioles,Los Angeles Dodgers,0.0,0.4918032786885246,0,0.4,0,0.4,0
