Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Over?,Under?,Prop Bets
M.King o5.5 Ks,charliedisturco,104.0,1.0,M.King,2.04,1.04,San Diego Padres,St Louis Cardinals,0.0,0.72,1.0,1.0,1.0,0.9,1.0,,,
D.Peterson u4.5 Ks,PlayerPropSavant,-135.0,2.03,D.Peterson,3.533703703703704,1.5037037037037035,New York Mets,Arizona Diamondbacks,0.0,0.5333333333333333,1.0,0.6,1.0,0.5,0.0,,,
H.Brown u5.5 Ks,PropBetGuy,-117.0,1.17,H.Brown,2.17,1.0,Houston Astros,Kansas City Royals,1.0,0.44,0.0,0.2,0.0,0.4,0.0,,,
H.Birdsong o5.5 strikeouts,Rotowire Prizepicks,100.0,1.5,H.Birdsong,3.0,1.5,San Francisco Giants,Milwaukee Brewers,0.0,0.2,0.0,0.2,0.0,0.2,0.0,1.0,0.0,strikeouts
R.Greene o1.5 Total Bases,charliedisturco,125.0,0.5,R.Greene,1.125,0.625,Detroit Tigers,Los Angeles Angels,1.0,0.4128440366972477,0.0,0.6,1.0,0.4,0.0,1.0,0.0,total bases
L.Butler o1.5 Total Bases,MJCLocks,105.0,1.0,L.Butler,2.05,1.0499999999999998,Oakland Athletics,Cincinnati Reds,0.0,0.3440860215053763,0.0,0.6,1.0,0.5,0.0,,,
K.Stowers o1.5 hits+runs+rbi,Rotowire,100.0,0.75,K.Stowers,1.5,0.75,Miami Marlins,Colorado Rockies,0.0,0.1666666666666666,0.0,0.6,1.0,0.4,0.0,,,
N.Nastrini o2.5 walks allowed,Rotowire,100.0,0.75,N.Nastrini,1.5,0.75,Chicago White Sox,Texas Rangers,1.0,0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,1.0,,,
S.Ohtani o1.5 Total Bases,theprophunter0_,-105.0,1.05,S.Ohtani,2.05,0.9999999999999998,Los Angeles Dodgers,Baltimore Orioles,1.0,0.5546875,1.0,0.8,1.0,0.7,1.0,1.0,0.0,total bases
B.Harper o1.5 Total Bases,charliedisturco,150.0,0.5,B.Harper,1.25,0.75,Philadelphia Phillies,Atlanta Braves,1.0,0.4188034188034188,0.0,0.8,1.0,0.5,0.0,,,
L.Butler o1.5 Total Bases,theprophunter0_,100.0,1.0,L.Butler,2.0,1.0,Oakland Athletics,Cincinnati Reds,0.0,0.3440860215053763,0.0,0.6,1.0,0.5,0.0,,,
C.Keith o1.5 Total Bases,theprophunter0_,120.0,1.0,C.Keith,2.2,1.2000000000000002,Detroit Tigers,Los Angeles Angels,1.0,0.319672131147541,0.0,0.6,1.0,0.6,1.0,,,
C.Morton u17.5 Outs,PropBetGuy,-104.0,1.04,C.Morton,2.04,1.0,Atlanta Braves,Philadelphia Phillies,0.0,0.5416666666666666,1.0,0.6,1.0,0.5,0.0,,,
C.Morton o5.5 strikeouts,Rotowire Prizepicks,100.0,1.5,C.Morton,3.0,1.5,Atlanta Braves,Philadelphia Phillies,0.0,0.5416666666666666,1.0,0.8,1.0,0.5,0.0,1.0,0.0,strikeouts
M.Chapman o1.5 Total Bases,theprophunter0_,125.0,1.0,M.Chapman,2.25,1.25,San Francisco Giants,Milwaukee Brewers,0.0,0.3740458015267175,0.0,0.4,0.0,0.3,0.0,,,
J.Aguiar o4.5 strikeouts,Rotowire Prizepicks,100.0,1.5,J.Aguiar,3.0,1.5,Cincinnati Reds,Oakland Athletics,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,strikeouts
J.Burger o1.5 Total Bases,theprophunter0_,-145.0,1.45,J.Burger,2.45,1.0000000000000002,Miami Marlins,Colorado Rockies,0.0,0.4403669724770642,0.0,0.4,0.0,0.4,0.0,1.0,0.0,total bases
C.Morton o5.5 strikeouts,Rotowire,100.0,0.75,C.Morton,1.5,0.75,Atlanta Braves,Philadelphia Phillies,0.0,0.5416666666666666,1.0,0.8,1.0,0.5,0.0,1.0,0.0,strikeouts
K.Isbel o0.5 hits+runs+rbi,Rotowire,100.0,0.75,K.Isbel,1.5,0.75,Kansas City Royals,Houston Astros,0.0,0.638095238095238,1.0,0.4,0.0,0.6,1.0,,,
V.Guerrero o1.5 Total Bases,charliedisturco,-109.0,0.27,V.Guerrero,0.5177064220183487,0.2477064220183487,Toronto Blue Jays,Boston Red Sox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
V.Guerrero o0.5 HR,charliedisturco,525.0,0.05,V.Guerrero,0.3125,0.2625,Toronto Blue Jays,Boston Red Sox,0.0,0.2045454545454545,0.0,0.2,0.0,0.2,0.0,,,
V.Guerrero o0.5 RBI,charliedisturco,175.0,0.2,V.Guerrero,0.55,0.35,Toronto Blue Jays,Boston Red Sox,0.0,0.3636363636363636,0.0,0.4,0.0,0.3,0.0,,,
B.Singer o4.5 strikeouts,Rotowire,100.0,0.75,B.Singer,1.5,0.75,Kansas City Royals,Houston Astros,0.0,0.6153846153846154,1.0,0.8,1.0,0.7,1.0,,,
S.Perez o1.5 Total Bases,theprophunter0_,140.0,1.0,S.Perez,2.4,1.4,Kansas City Royals,Houston Astros,0.0,0.4351145038167939,0.0,0.8,1.0,0.6,1.0,,,
M.Ozuna o1.5 Total Bases,theprophunter0_,115.0,1.0,M.Ozuna,2.15,1.15,Atlanta Braves,Philadelphia Phillies,0.0,0.4887218045112781,0.0,0.4,0.0,0.4,0.0,,,
C.Povich o2.5 earned runs,Rotowire Prizepicks,100.0,1.5,C.Povich,3.0,1.5,Baltimore Orioles,Los Angeles Dodgers,0.0,0.6,1.0,0.8,1.0,0.6,1.0,,,
