Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Over?,Under?,Prop Bets
R.Greene o1.5 Total Bases,charliedisturco,125.0,0.5,R.Greene,1.125,0.625,Detroit Tigers,Los Angeles Angels,1.0,0.4128440366972477,0.0,0.6,1.0,0.4,0.0,1.0,0.0,total bases
M.King o5.5 Ks,charliedisturco,104.0,1.0,M.King,2.04,1.04,San Diego Padres,St Louis Cardinals,0.0,0.72,1.0,1.0,1.0,0.9,1.0,,,
D.Peterson u4.5 Ks,PlayerPropSavant,-135.0,2.03,D.Peterson,3.533703703703704,1.5037037037037035,New York Mets,Arizona Diamondbacks,0.0,0.5333333333333333,1.0,0.6,1.0,0.5,0.0,0.0,1.0,ks
H.Brown u5.5 Ks,PropBetGuy,-117.0,1.17,H.Brown,2.17,1.0,Houston Astros,Kansas City Royals,1.0,0.44,0.0,0.2,0.0,0.4,0.0,0.0,1.0,ks
K.Stowers o1.5 hits+runs+rbi,Rotowire,100.0,0.75,K.Stowers,1.5,0.75,Miami Marlins,Colorado Rockies,0.0,0.1666666666666666,0.0,0.6,1.0,0.4,0.0,,,
N.Nastrini o2.5 walks allowed,Rotowire,100.0,0.75,N.Nastrini,1.5,0.75,Chicago White Sox,Texas Rangers,1.0,0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,1.0,,,
S.Ohtani o1.5 Total Bases,theprophunter0_,-105.0,1.05,S.Ohtani,2.05,0.9999999999999998,Los Angeles Dodgers,Baltimore Orioles,1.0,0.5546875,1.0,0.8,1.0,0.7,1.0,1.0,0.0,total bases
C.Morton u17.5 Outs,PropBetGuy,-104.0,1.04,C.Morton,2.04,1.0,Atlanta Braves,Philadelphia Phillies,0.0,0.5416666666666666,1.0,0.6,1.0,0.5,0.0,,,
B.Singer o4.5 strikeouts,Rotowire,100.0,0.75,B.Singer,1.5,0.75,Kansas City Royals,Houston Astros,0.0,0.6153846153846154,1.0,0.8,1.0,0.7,1.0,1.0,0.0,strikeouts
C.Povich o2.5 earned runs,Rotowire Prizepicks,100.0,1.5,C.Povich,3.0,1.5,Baltimore Orioles,Los Angeles Dodgers,0.0,0.6,1.0,0.8,1.0,0.6,1.0,,,
