,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
4,J.Taillon u4.5 Ks,MrTuttle05,-135,1.35,J.Taillon,2.35,1.0,Chicago Cubs,St Louis Cardinals,1.0,0.631578947368421,1,0.8,1,0.5,0
6,M.Spence u4.5 Ks,MrTuttle05,105,1.0,M.Spence,2.05,1.0499999999999998,Oakland Athletics,Los Angeles Dodgers,1.0,0.6153846153846154,1,0.4,0,0.5,0
12,M.Perez u5.5 strikeouts,Rotowire,100,0.75,M.Perez,1.5,0.75,Pittsburgh Pirates,Arizona Diamondbacks,1.0,0.8,1,1.0,1,1.0,1
14,O.Kerkering o0.5 strikeouts,Rotowire,100,0.75,O.Kerkering,1.5,0.75,Philadelphia Phillies,Seattle Mariners,0.0,0.0,0,0.0,0,0.0,0
17,M.Keller u5.5 strikeouts,Rotowire,100,0.75,M.Keller,1.5,0.75,Pittsburgh Pirates,Arizona Diamondbacks,1.0,0.5238095238095238,1,0.6,1,0.4,0
18,M.Spence u4.5 strikeouts,Rotowire,100,0.75,M.Spence,1.5,0.75,Oakland Athletics,Los Angeles Dodgers,1.0,0.6153846153846154,1,0.4,0,0.5,0
20,J.Berrios u4.5 strikeouts,Rotowire Prizepicks,100,1.5,J.Berrios,3.0,1.5,Toronto Blue Jays,New York Yankees,0.0,0.4347826086956521,0,0.2,0,0.5,0
24,M.Perez u4.5 strikeouts,Rotowire Prizepicks,100,1.5,M.Perez,3.0,1.5,Pittsburgh Pirates,Arizona Diamondbacks,1.0,0.6666666666666666,1,0.8,1,0.8,1
3,H.Greene u7.5 Ks,PropBetGuy,-113,1.13,H.Greene,2.13,1.0,Cincinnati Reds,San Francisco Giants,1.0,0.7142857142857143,1,0.8,1,0.7,1
5,M.Lorenzen o3.5 Ks,charliedisturco,-110,1.1,M.Lorenzen,2.1,1.0,Texas Rangers,Boston Red Sox,1.0,0.5555555555555556,1,0.4,0,0.4,0
8,G.Crochet o5.5 Ks,charliedisturco,-118,1.18,G.Crochet,2.18,0.9999999999999998,Chicago White Sox,Minnesota Twins,0.0,0.7391304347826086,1,0.4,0,0.7,1
12,D.Herz o4.5 strikeouts,Rotowire,100,0.75,D.Herz,1.5,0.75,Washington Nationals,Milwaukee Brewers,1.0,0.5,0,0.4,0,0.5,0
13,G.Crochet o5.5 strikeouts,Rotowire,100,0.75,G.Crochet,1.5,0.75,Chicago White Sox,Minnesota Twins,0.0,0.7391304347826086,1,0.4,0,0.7,1
16,G.Crochet o5.5 strikeouts,Rotowire Prizepicks,100,1.5,G.Crochet,3.0,1.5,Chicago White Sox,Minnesota Twins,0.0,0.7391304347826086,1,0.4,0,0.7,1
17,J.Cantillo o4.5 strikeouts,Rotowire Prizepicks,100,1.5,J.Cantillo,3.0,1.5,Cleveland Guardians,Baltimore Orioles,1.0,0.0,0,0.0,0,0.0,0
