Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit
Y.Kikuchi u6.5 Ks,PropBetGuy,Houston Astros,Y.Kikuchi,Kansas City Royals,1.0,0.4,0,0.4,0,0.4,0,110,1.0,2.1,1.1
W.Warren o4.5 strikeouts,Rotowire,New York Yankees,W.Warren,St Louis Cardinals,1.0,1.0,1,1.0,1,1.0,1,100,0.75,1.5,0.75
D.Herz o5.5 strikeouts,Rotowire,Washington Nationals,D.Herz,Chicago Cubs,1.0,0.4285714285714285,0,0.6,1,0.5,0,100,0.75,1.5,0.75
K.Gibson o4.5 strikeouts,Rotowire Prizepicks,St Louis Cardinals,K.Gibson,New York Yankees,0.0,0.6,1,0.8,1,0.7,1,100,1.5,3.0,1.5
J.Estes o3.5 strikeouts,Rotowire,Oakland Athletics,J.Estes,Texas Rangers,0.0,0.7222222222222222,1,0.8,1,0.8,1,100,0.75,1.5,0.75
D.Herz o5.5 strikeouts,Rotowire Prizepicks,Washington Nationals,D.Herz,Chicago Cubs,1.0,0.4285714285714285,0,0.6,1,0.5,0,100,1.5,3.0,1.5
C.Ragans o5.5 strikeouts,Rotowire,Kansas City Royals,C.Ragans,Houston Astros,0.0,0.7407407407407407,1,0.8,1,0.8,1,100,0.75,1.5,0.75
N.Pivetta o5.5 strikeouts,Rotowire,Boston Red Sox,N.Pivetta,Detroit Tigers,0.0,0.55,1,0.6,1,0.6,1,100,0.75,1.5,0.75
Y.Kikuchi u6.5 Ks,Markus_Markets,Houston Astros,Y.Kikuchi,Kansas City Royals,1.0,0.4,0,0.4,0,0.4,0,-105,1.0,1.9523809523809523,0.9523809523809524
J.Estes o3.5 strikeouts,Rotowire Prizepicks,Oakland Athletics,J.Estes,Texas Rangers,0.0,0.7222222222222222,1,0.8,1,0.8,1,100,1.5,3.0,1.5
G.Stone o4.5 strikeouts,Rotowire Prizepicks,Los Angeles Dodgers,G.Stone,Arizona Diamondbacks,0.0,0.5416666666666666,1,0.8,1,0.5,0,100,1.5,3.0,1.5
J.Assad o3.5 strikeouts,Rotowire,Chicago Cubs,J.Assad,Washington Nationals,0.0,0.625,1,0.2,0,0.3,0,100,0.75,1.5,0.75
Y.Kikuchi o5.5 strikeouts,Rotowire,Houston Astros,Y.Kikuchi,Kansas City Royals,1.0,0.6,1,0.6,1,0.6,1,100,0.75,1.5,0.75
T.Anderson u5.5 strikeouts,Rotowire Prizepicks,Los Angeles Angels,T.Anderson,Seattle Mariners,1.0,0.7307692307692307,1,0.6,1,0.5,0,100,1.5,3.0,1.5
M.Black u3.5 strikeouts,Rotowire,San Francisco Giants,M.Black,Miami Marlins,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,100,0.75,1.5,0.75
B.Woo u5.5 strikeouts,Rotowire Prizepicks,Seattle Mariners,B.Woo,Los Angeles Angels,0.0,0.625,1,0.2,0,0.6,1,100,1.5,3.0,1.5
T.Anderson o5.5 strikeouts,Rotowire Prizepicks,Los Angeles Angels,T.Anderson,Seattle Mariners,1.0,0.2692307692307692,0,0.4,0,0.5,0,100,1.5,3.0,1.5
