,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,C.Burnes u5.5 Ks,kylemurray03,-160,1.6,C.Burnes,2.6,1.0,Baltimore Orioles,Cleveland Guardians,0.0,0.4545454545454545,0,0.4,0,0.5,0
1,R.Nelson u4.5 Ks,kylemurray03,-105,1.05,R.Nelson,2.05,0.9999999999999998,Arizona Diamondbacks,Pittsburgh Pirates,0.0,0.6470588235294118,1,0.2,0,0.5,0
2,M.Fried o4.5 Ks,kylemurray03,-140,1.4,M.Fried,2.4,1.0,Atlanta Braves,Miami Marlins,1.0,0.5555555555555556,1,0.4,0,0.5,0
3,J.Steele u5.5 Ks,MrTuttle05,-130,1.3,J.Steele,2.3,0.9999999999999998,Chicago Cubs,St Louis Cardinals,1.0,0.4375,0,0.4,0,0.4,0
4,T.Myers o3.5 Ks,PropBetGuy,-141,1.41,T.Myers,2.41,1.0000000000000002,Milwaukee Brewers,Washington Nationals,0.0,0.8666666666666667,1,1.0,1,0.9,1
5,N.Pivetta o5.5 strikeouts,Rotowire,100,0.75,N.Pivetta,1.5,0.75,Boston Red Sox,Texas Rangers,0.0,0.5625,1,0.8,1,0.6,1
6,E.Cabrera u5.5 strikeouts,Rotowire,100,0.75,E.Cabrera,1.5,0.75,Miami Marlins,Atlanta Braves,0.0,0.4444444444444444,0,0.6,1,0.4444444444444444,0
7,G.Cole u6.5 strikeouts,Rotowire,100,0.75,G.Cole,1.5,0.75,New York Yankees,Toronto Blue Jays,1.0,0.5,0,0.4,0,0.5,0
8,N.Eovaldi u5.5 strikeouts,Rotowire Prizepicks,100,1.5,N.Eovaldi,3.0,1.5,Texas Rangers,Boston Red Sox,1.0,0.4444444444444444,0,0.6,1,0.5,0
9,Z.Wheeler u7.5 strikeouts,Rotowire Prizepicks,100,1.5,Z.Wheeler,3.0,1.5,Philadelphia Phillies,Seattle Mariners,0.0,0.6818181818181818,1,1.0,1,0.9,1
