Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit
J.Steele o5.5 Ks,rsura_,Chicago Cubs,J.Steele,Oakland Athletics,1.0,0.5909090909090909,1,0.8,1,0.7,1,-110,1.1,2.1,1.0
J.Steele o5.5 Ks,LinesAtLunch,Chicago Cubs,J.Steele,Oakland Athletics,1.0,0.5909090909090909,1,0.8,1,0.7,1,-110,1.1,2.1,1.0
T.Skubal o6.5 strikeouts,Rotowire Prizepicks,Detroit Tigers,T.Skubal,Kansas City Royals,0.0,0.6206896551724138,1,0.6,1,0.7,1,100,1.5,3.0,1.5
A.Gomber o3.5 strikeouts,Rotowire Prizepicks,Colorado Rockies,A.Gomber,Arizona Diamondbacks,1.0,0.6428571428571429,1,1.0,1,0.9,1,100,1.5,3.0,1.5
A.Gomber u3.5 Ks,rsura_,Colorado Rockies,A.Gomber,Arizona Diamondbacks,1.0,0.3571428571428571,0,0.0,0,0.1,0,-140,1.4,2.4,1.0
A.Gomber u3.5 Ks,LinesAtLunch,Colorado Rockies,A.Gomber,Arizona Diamondbacks,1.0,0.3571428571428571,0,0.0,0,0.1,0,-140,1.4,2.4,1.0
E.Rodriguez u2.5 BB,SBK5065,Arizona Diamondbacks,E.Rodriguez,Colorado Rockies,0.0,0.7142857142857143,1,0.6,1,0.7142857142857143,1,-190,1.5,2.289473684210526,0.7894736842105261
B.Miller u2.5 BB,SBK5065,Los Angeles Dodgers,B.Miller,Miami Marlins,0.0,0.3846153846153846,0,0.4,0,0.3,0,-190,1.5,2.289473684210526,0.7894736842105261
N.Cortes u2.5 BB,SBK5065,New York Yankees,N.Cortes,Seattle Mariners,0.0,0.896551724137931,1,0.8,1,0.9,1,-200,1.5,2.25,0.75
H.Birdsong u3.5 BB,SBK5065,San Francisco Giants,H.Birdsong,Baltimore Orioles,0.0,0.7692307692307693,1,0.4,0,0.7,1,-175,1.0,1.5714285714285714,0.5714285714285714
M.Betts o1.5 hits+runs+rbi,Rotowire,Los Angeles Dodgers,M.Betts,Miami Marlins,0.0,0.5728155339805825,1,0.6,1,0.6,1,100,0.75,1.5,0.75
L.Wade o0.5 hits+runs+rbi,Rotowire,San Francisco Giants,L.Wade,Baltimore Orioles,0.0,0.6728971962616822,1,0.8,1,0.7,1,100,0.75,1.5,0.75
J.Junis u15.5 Outs,SBK5065,Cincinnati Reds,J.Junis,Atlanta Braves,1.0,1.0,1,1.0,1,1.0,1,-165,1.65,2.65,1.0
E.Rodriguez o15.5 Outs,rsura_,Arizona Diamondbacks,E.Rodriguez,Colorado Rockies,0.0,0.4285714285714285,0,0.4,0,0.4285714285714285,0,-113,1.1,2.0734513274336286,0.9734513274336284
S.Schwellenbach o5.5 Ks,PlayerPropSavant,Atlanta Braves,S.Schwellenbach,Cincinnati Reds,0.0,0.6666666666666666,1,0.6,1,0.8,1,-113,1.13,2.13,1.0
S.Schwellenbach o5.5 Ks,PropBetGuy,Atlanta Braves,S.Schwellenbach,Cincinnati Reds,0.0,0.6666666666666666,1,0.6,1,0.8,1,-110,1.1,2.1,1.0
J.Junis u4.5 Ks,MoneylineHacks,Cincinnati Reds,J.Junis,Atlanta Braves,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,-140,1.0,1.7142857142857144,0.7142857142857144
J.Kochanowicz u3.5 Ks,MoneylineHacks,Los Angeles Angels,J.Kochanowicz,Chicago White Sox,1.0,0.75,1,0.8,1,0.75,1,-130,1.0,1.7692307692307692,0.7692307692307692
F.Freeman o0.5 RBI,MoneylineHacks,Los Angeles Dodgers,F.Freeman,Miami Marlins,0.0,0.3722627737226277,0,0.6,1,0.3,0,165,0.5,1.325,0.825
J.Steele o5.5 Ks,sandyplashkes,Chicago Cubs,J.Steele,Oakland Athletics,1.0,0.5909090909090909,1,0.8,1,0.7,1,-106,1.06,2.06,1.0
N.Hoerner o0.5 total bases,Rotowire,Chicago Cubs,N.Hoerner,Oakland Athletics,1.0,0.6618705035971223,1,1.0,1,0.7,1,100,0.75,1.5,0.75
C.Walker o1.5 Total Bases,theprophunter0_,Arizona Diamondbacks,C.Walker,Colorado Rockies,0.0,0.4067796610169492,0,0.6,1,0.6,1,-140,1.4,2.4,1.0
B.Rooker o1.5 Total Bases,theprophunter0_,Oakland Athletics,B.Rooker,Chicago Cubs,0.0,0.4962962962962963,0,0.6,1,0.5,0,120,1.0,2.2,1.2000000000000002
S.Schwellenbach o5.5 Ks,FirefighterBets,Atlanta Braves,S.Schwellenbach,Cincinnati Reds,0.0,0.6666666666666666,1,0.6,1,0.8,1,-110,1.0,1.9090909090909087,0.9090909090909092
N.Lopez o0.5 total bases,Rotowire,Chicago White Sox,N.Lopez,Los Angeles Angels,0.0,0.603448275862069,1,1.0,1,0.8,1,100,0.75,1.5,0.75
D.Swanson o1.5 Hits + Runs + RBIs,FirefighterBets,Chicago Cubs,D.Swanson,Oakland Athletics,1.0,0.4748201438848921,0,0.6,1,0.6,1,-110,1.0,1.9090909090909087,0.9090909090909092
C.Norby o1.5 Hits + Runs + RBIs,FirefighterBets,Miami Marlins,C.Norby,Los Angeles Dodgers,1.0,0.64,1,0.4,0,0.5,0,-115,1.0,1.869565217391304,0.8695652173913042
T.Edman o1.5 Hits + Runs + RBIs,FirefighterBets,Los Angeles Dodgers,T.Edman,Miami Marlins,0.0,0.5769230769230769,1,0.6,1,0.7,1,-120,1.0,1.8333333333333333,0.8333333333333335
P.Meadows o1.5 Hits + Runs + RBIs,FirefighterBets,Detroit Tigers,P.Meadows,Kansas City Royals,0.0,0.4769230769230769,0,0.8,1,0.6,1,-120,1.0,1.8333333333333333,0.8333333333333335
W.Contreras o1.5 Hits + Runs + RBIs,FirefighterBets,Milwaukee Brewers,W.Contreras,Philadelphia Phillies,1.0,0.589041095890411,1,0.6,1,0.7,1,-115,1.0,1.869565217391304,0.8695652173913042
J.Steele o5.5 Ks,FirefighterBets,Chicago Cubs,J.Steele,Oakland Athletics,1.0,0.5909090909090909,1,0.8,1,0.7,1,-115,1.0,1.869565217391304,0.8695652173913042
B.Miller o4.5 strikeouts,Rotowire,Los Angeles Dodgers,B.Miller,Miami Marlins,0.0,0.2307692307692307,0,0.4,0,0.2,0,100,0.75,1.5,0.75
J.Adams o0.5 hits+runs+rbi,Rotowire,Los Angeles Angels,J.Adams,Chicago White Sox,1.0,0.75,1,0.8,1,0.75,1,100,0.75,1.5,0.75
D.Cease u18.5 Outs,SBK5065,San Diego Padres,D.Cease,Houston Astros,1.0,0.7096774193548387,1,0.8,1,0.8,1,-165,1.5,2.409090909090909,0.9090909090909092
D.Herz o4.5 strikeouts,Rotowire,Washington Nationals,D.Herz,New York Mets,0.0,0.7058823529411765,1,1.0,1,0.8,1,100,0.75,1.5,0.75
D.Herz o5.5 strikeouts,Rotowire Prizepicks,Washington Nationals,D.Herz,New York Mets,0.0,0.3529411764705882,0,0.4,0,0.4,0,100,1.5,3.0,1.5
H.Birdsong o4.5 strikeouts,Rotowire Prizepicks,San Francisco Giants,H.Birdsong,Baltimore Orioles,0.0,0.6923076923076923,1,0.6,1,0.6,1,100,1.5,3.0,1.5
D.Millas o0.5 hits+runs+rbi,Rotowire,Washington Nationals,D.Millas,New York Mets,0.0,0.5714285714285714,1,0.8,1,0.7,1,100,0.75,1.5,0.75
F.Alvarez o0.5 hits+runs+rbi,Rotowire,New York Mets,F.Alvarez,Washington Nationals,1.0,0.6707317073170732,1,0.6,1,0.6,1,100,0.75,1.5,0.75
J.Iglesias o1.5 hits+runs+rbi,Rotowire Prizepicks,New York Mets,J.Iglesias,Washington Nationals,1.0,0.5625,1,0.8,1,0.7,1,100,1.5,3.0,1.5
C.Bradford o15.5 outs,Rotowire,Texas Rangers,C.Bradford,Toronto Blue Jays,1.0,0.6363636363636364,1,0.8,1,0.7,1,100,0.75,1.5,0.75
T.Casas o0.5 total bases,Rotowire Prizepicks,Boston Red Sox,T.Casas,Tampa Bay Rays,0.0,0.6,1,0.6,1,0.6,1,100,1.5,3.0,1.5
B.Marsh o0.5 hits+runs+rbi,Rotowire,Philadelphia Phillies,B.Marsh,Milwaukee Brewers,0.0,0.656,1,0.8,1,0.8,1,100,0.75,1.5,0.75
N.Yorke o0.5 hits+runs+rbi,Rotowire,Pittsburgh Pirates,N.Yorke,St Louis Cardinals,0.0,0.5,0,0.5,0,0.5,0,100,0.75,1.5,0.75
D.Schneider o0.5 total bases,Rotowire Prizepicks,Toronto Blue Jays,D.Schneider,Texas Rangers,0.0,0.4661016949152542,0,0.8,1,0.5,0,100,1.5,3.0,1.5
G.Torres o1.5 hits+runs+rbi,Rotowire Prizepicks,New York Yankees,G.Torres,Seattle Mariners,0.0,0.5277777777777778,1,1.0,1,0.8,1,100,1.5,3.0,1.5
J.Crawford o0.5 hits+runs+rbi,Rotowire,Seattle Mariners,J.Crawford,New York Yankees,1.0,0.7096774193548387,1,0.4,0,0.6,1,100,0.75,1.5,0.75
M.Garver o0.5 total bases,Rotowire Prizepicks,Seattle Mariners,M.Garver,New York Yankees,1.0,0.4018691588785046,0,0.6,1,0.4,0,100,1.5,3.0,1.5
A.Judge o0.5 HR,sirlockselot_,New York Yankees,A.Judge,Seattle Mariners,0.0,0.3221476510067114,0,0.4,0,0.2,0,285,1.0,3.85,2.85
G.Torres o0.5 hits,Rotowire,New York Yankees,G.Torres,Seattle Mariners,0.0,0.7152777777777778,1,1.0,1,0.9,1,100,0.75,1.5,0.75
J.Aguiar u3.5 strikeouts,Rotowire,Cincinnati Reds,J.Aguiar,Atlanta Braves,1.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1,100,0.75,1.5,0.75
C.Sale o6.5 strikeouts,Rotowire,Atlanta Braves,C.Sale,Cincinnati Reds,0.0,0.7142857142857143,1,0.4,0,0.6,1,100,0.75,1.5,0.75
K.Farmer o0.5 hits+runs+rbi,Rotowire,Minnesota Twins,K.Farmer,Cleveland Guardians,0.0,0.4767441860465116,0,0.8,1,0.9,1,100,0.75,1.5,0.75
