,Unnamed: 0,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,Y.Alvarez o0.5 RBI,Zerillo,-133,0.13,Y.Alvarez,0.2277443609022556,0.0977443609022556,Houston Astros,Colorado Rockies,0,0.2962962962962963,0,0.4,0,0.3,0,Y
1,1,K.Tucker o0.5 RBI,Zerillo,-139,0.14,K.Tucker,0.2407194244604316,0.1007194244604316,Houston Astros,Colorado Rockies,0,0.3333333333333333,0,0.2,0,0.4,0,Y
2,2,A.Gomber o1.5 BB,cowhitchurch,-142,0.71,A.Gomber,1.21,0.5,Colorado Rockies,Houston Astros,1,0.8,1,0.8,1,0.8,1,N
3,3,A.Gomber u3.5 Ks,SBK5065,-165,1.0,A.Gomber,1.606060606060606,0.606060606060606,Colorado Rockies,Houston Astros,1,0.4,0,0.4,0,0.4,0,Y
4,6,L.Gilbert u1.5 BB,cowhitchurch,-139,0.7,L.Gilbert,1.2035971223021582,0.5035971223021583,Seattle Mariners,Arizona Diamondbacks,1,0.8,1,0.8,1,0.8,1,Y
5,7,A.Suarez o4.5 Ks,_Collin1,-134,0.67,A.Suarez,1.17,0.4999999999999999,Baltimore Orioles,Oakland Athletics,1,0.5,0,0.5,0,0.5,0,Y
6,9,E.Fedde o4.5 Ks,cowhitchurch,-142,0.71,E.Fedde,1.21,0.5,Chicago White Sox,Tampa Bay Rays,1,0.6,1,0.6,1,0.6,1,Y
7,10,E.Fedde o4.5 Ks,Zerillo,-125,0.31,E.Fedde,0.558,0.248,Chicago White Sox,Tampa Bay Rays,1,0.6,1,0.6,1,0.6,1,Y
8,13,M.King u17.5 Outs,PropBetGuy,-125,1.25,M.King,2.25,1.0,San Diego Padres,Philadelphia Phillies,1,0.6,1,0.6,1,0.6,1,Y
9,14,K.Gausman u17.5 Outs,cowhitchurch,-118,0.59,K.Gausman,1.09,0.4999999999999999,Toronto Blue Jays,Los Angeles Dodgers,1,0.8,1,0.8,1,0.8,1,N
10,15,T.Myers u4.5 Ks,cowhitchurch,-139,0.7,T.Myers,1.2035971223021582,0.5035971223021583,Milwaukee Brewers,New York Yankees,1,1.0,1,1.0,1,1.0,1,N
11,16,J.Jones o6.5 Ks,PropBetGuy,102,1.0,J.Jones,2.02,1.02,Pittsburgh Pirates,San Francisco Giants,0,1.0,1,1.0,1,1.0,1,N
12,18,J.Quintana u4.5 ks,Jason Radowitz,-148,1.0,J.Quintana,1.6756756756756757,0.6756756756756757,New York Mets,St Louis Cardinals,1,1.0,1,1.0,1,1.0,1,Y
13,19,P.Lopez o6.5 ks,Jason Radowitz,-156,1.0,P.Lopez,1.641025641025641,0.641025641025641,Minnesota Twins,Los Angeles Angels,0,0.6,1,0.6,1,0.6,1,Y
14,24,A.Gomber o1.5 walks allowed,Teddy Ricketson,-140,1.0,A.Gomber,1.7142857142857144,0.7142857142857144,Colorado Rockies,Houston Astros,1,0.8,1,0.8,1,0.8,1,N
15,25,B.Dalbec u1.5 total bases,Rotowire,100,0.75,B.Dalbec,1.5,0.75,Boston Red Sox,Chicago Cubs,1,0.8823529411764706,1,0.8,1,0.8,1,Y
