,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,2,2,2,2,2,T.Glasnow u7.5 Ks,gneiffer07,115,1.0,T.Glasnow,2.15,1.15,Los Angeles Dodgers,San Francisco Giants,1,1.0,1,1.0,1,1.0,1,Y
1,12,12,12,12,12,C.Burnes o6.5 Ks,OldManWhoBets,105,0.5,C.Burnes,1.025,0.5249999999999999,Baltimore Orioles,Kansas City Royals,1,1.0,1,1.0,1,1.0,1,N
2,13,13,13,13,13,F.Montas u5.5 Ks,cowhitchurch,-132,0.66,F.Montas,1.16,0.5000000000000001,Cincinnati Reds,Philadelphia Phillies,0,1.0,1,1.0,1,1.0,1,Y
3,14,14,14,14,14,M.Keller u5.5 Ks,kylemurray03,-111,1.11,M.Keller,2.1100000000000003,1.0000000000000002,Pittsburgh Pirates,Washington Nationals,0,1.0,1,1.0,1,1.0,1,Y
4,16,16,16,16,16,M.Keller u5.5 Ks,cowhitchurch,-122,0.61,M.Keller,1.11,0.5000000000000001,Pittsburgh Pirates,Washington Nationals,0,1.0,1,1.0,1,1.0,1,Y
5,17,17,17,17,17,C.Quantrill u3.5 Ks,AnthonyDabbundo,-120,1.2,C.Quantrill,2.2,1.0000000000000002,Colorado Rockies,Chicago Cubs,0,1.0,1,1.0,1,1.0,1,Y
6,18,18,18,18,18,P.Sandoval u5.5 Ks,SBK5065,-145,1.25,P.Sandoval,2.112068965517241,0.8620689655172415,Los Angeles Angels,Miami Marlins,0,1.0,1,1.0,1,1.0,1,N
7,26,26,26,26,26,N.Eovaldi o17.5 Outs,PropBetGuy,-115,1.0,N.Eovaldi,1.869565217391304,0.8695652173913042,Texas Rangers,Tampa Bay Rays,0,1.0,1,1.0,1,1.0,1,Y
8,28,28,28,28,28,J.Walsh o0.5 Hits,AnthonyDabbundo,-109,1.0,J.Walsh,1.9174311926605505,0.9174311926605504,Texas Rangers,Tampa Bay Rays,0,1.0,1,1.0,1,1.0,1,Y
9,29,29,29,29,29,N.Eovaldi u5.5 Ks,cowhitchurch,118,0.5,N.Eovaldi,1.09,0.5899999999999999,Texas Rangers,Tampa Bay Rays,0,1.0,1,1.0,1,1.0,1,N
10,30,30,30,30,30,N.Eovaldi u5.5 Ks,GDAWG5000,-105,0.52,N.Eovaldi,1.0152380952380953,0.4952380952380952,Texas Rangers,Tampa Bay Rays,0,1.0,1,1.0,1,1.0,1,N
11,31,31,31,31,31,N.Eovaldi u5.5 Ks,AnthonyDabbundo,-105,1.05,N.Eovaldi,2.05,0.9999999999999998,Texas Rangers,Tampa Bay Rays,0,1.0,1,1.0,1,1.0,1,N
12,32,32,32,32,32,J.Musgrove u6.5 Ks,charliedisturco,-146,0.5,J.Musgrove,0.8424657534246576,0.3424657534246575,San Diego Padres,St Louis Cardinals,1,1.0,1,1.0,1,1.0,1,N
13,33,33,33,33,33,J.Musgrove u6.5 Ks,AnthonyDabbundo,-146,1.46,J.Musgrove,2.46,1.0,San Diego Padres,St Louis Cardinals,1,1.0,1,1.0,1,1.0,1,N
14,34,34,34,34,34,J.Musgrove u6.5 Ks,The_Oddsmaker,-146,1.46,J.Musgrove,2.46,1.0,San Diego Padres,St Louis Cardinals,1,1.0,1,1.0,1,1.0,1,N
15,35,35,35,35,35,J.Musgrove u5.5 Ks,OldManWhoBets,128,0.5,J.Musgrove,1.14,0.6400000000000001,San Diego Padres,St Louis Cardinals,1,1.0,1,1.0,1,1.0,1,N
16,36,36,36,36,36,J.Musgrove u6.5 Ks,SBK5065,-140,1.0,J.Musgrove,1.7142857142857144,0.7142857142857144,San Diego Padres,St Louis Cardinals,1,1.0,1,1.0,1,1.0,1,N
17,39,39,39,39,45,M.Kelly o5.5 Ks,GarageGuyChase,100,1.5,M.Kelly,3.0,1.5,Arizona Diamondbacks,New York Yankees,1,1.0,1,1.0,1,1.0,1,N
18,40,40,40,40,46,M.Kelly o5.5 Ks,jimsannes,-110,1.0,M.Kelly,1.9090909090909087,0.9090909090909092,Arizona Diamondbacks,New York Yankees,1,1.0,1,1.0,1,1.0,1,N
19,41,41,41,41,47,N.Pivetta o8.5 Ks,OldManWhoBets,102,0.5,N.Pivetta,1.01,0.51,Boston Red Sox,Oakland Athletics,0,1.0,1,1.0,1,1.0,1,N
20,52,52,52,52,59,L.Thomas u1.5 total bases,Teddy Ricketson,-170,1.0,L.Thomas,1.5882352941176472,0.5882352941176472,Washington Nationals,Pittsburgh Pirates,1,1.0,1,1.0,1,1.0,1,Y
21,53,53,53,53,60,T.Glasnow u7.5 strikeouts,Teddy Ricketson,105,1.0,T.Glasnow,2.05,1.0499999999999998,Los Angeles Dodgers,San Francisco Giants,1,1.0,1,1.0,1,1.0,1,Y
