,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,0,F.Peralta u8.5 Ks,cowhitchurch,-135,1.35,F.Peralta,2.35,1.0,Milwaukee Brewers,Seattle Mariners,1,1.0,1,1.0,1,1.0,1,Y
1,2,2,F.Peralta u8.5 Ks,NicholaskMartin,-135,1.0,F.Peralta,1.7407407407407407,0.7407407407407407,Milwaukee Brewers,Seattle Mariners,1,1.0,1,1.0,1,1.0,1,Y
2,3,3,F.Peralta u8.5 Ks,The_Oddsmaker,-135,1.35,F.Peralta,2.35,1.0,Milwaukee Brewers,Seattle Mariners,1,1.0,1,1.0,1,1.0,1,Y
3,4,4,F.Peralta u8.5 Ks,AnthonyDabbundo,-135,1.35,F.Peralta,2.35,1.0,Milwaukee Brewers,Seattle Mariners,1,1.0,1,1.0,1,1.0,1,Y
4,5,5,G.Canning u6.5 Ks,AnthonyDabbundo,-140,1.4,G.Canning,2.4,1.0,Los Angeles Angels,Boston Red Sox,1,1.0,1,1.0,1,1.0,1,Y
5,6,6,G.Canning u6.5 Ks,The_Oddsmaker,-140,1.4,G.Canning,2.4,1.0,Los Angeles Angels,Boston Red Sox,1,1.0,1,1.0,1,1.0,1,Y
6,7,7,K.Crawford o5.5 Ks,AnthonyDabbundo,-132,1.32,K.Crawford,2.3200000000000003,1.0000000000000002,Boston Red Sox,Los Angeles Angels,0,1.0,1,1.0,1,1.0,1,N
7,8,8,K.Crawford o5.5 Ks,charliedisturco,-110,0.55,K.Crawford,1.05,0.5,Boston Red Sox,Los Angeles Angels,0,1.0,1,1.0,1,1.0,1,N
8,9,9,T.Henry u4.5 Ks,kylemurray03,-145,1.55,T.Henry,2.61896551724138,1.0689655172413792,Arizona Diamondbacks,Atlanta Braves,0,1.0,1,1.0,1,1.0,1,N
9,10,10,T.Henry u4.5 Ks,gneiffer07,-135,1.35,T.Henry,2.35,1.0,Arizona Diamondbacks,Atlanta Braves,0,1.0,1,1.0,1,1.0,1,N
10,13,13,P.Corbin u4.5 Ks,kylemurray03,-120,1.2,P.Corbin,2.2,1.0000000000000002,Washington Nationals,Philadelphia Phillies,1,1.0,1,1.0,1,1.0,1,N
11,14,14,P.Corbin o5.5 Hits Allowed,meanstreetsftn_,-102,1.0,P.Corbin,1.9803921568627447,0.9803921568627452,Washington Nationals,Philadelphia Phillies,1,1.0,1,1.0,1,1.0,1,Y
12,16,16,J.Quintana u5.5 Ks,cowhitchurch,-125,0.5,J.Quintana,0.9,0.4,New York Mets,Cincinnati Reds,0,1.0,1,1.0,1,1.0,1,Y
13,18,18,J.Jones o5.5 Ks,charliedisturco,104,1.04,J.Jones,2.1216,1.0816,Pittsburgh Pirates,Baltimore Orioles,1,1.0,1,1.0,1,1.0,1,Y
14,19,19,J.Jones o5.5 Ks,cowhitchurch,115,1.15,J.Jones,2.4725,1.3224999999999998,Pittsburgh Pirates,Baltimore Orioles,1,1.0,1,1.0,1,1.0,1,Y
15,20,20,J.Jones o7.5 Ks,AnthonyDabbundo,420,0.2,J.Jones,1.04,0.8400000000000001,Pittsburgh Pirates,Baltimore Orioles,1,1.0,1,1.0,1,1.0,1,N
16,21,21,J.Jones o5.5 Ks,GDAWG5000,110,0.55,J.Jones,1.1550000000000002,0.6050000000000002,Pittsburgh Pirates,Baltimore Orioles,1,1.0,1,1.0,1,1.0,1,Y
17,22,22,J.Jones o5.5 Ks,The_Oddsmaker,110,1.1,J.Jones,2.3100000000000005,1.2100000000000004,Pittsburgh Pirates,Baltimore Orioles,1,1.0,1,1.0,1,1.0,1,Y
18,23,23,J.Jones o5.5 Ks,AnthonyDabbundo,112,1.12,J.Jones,2.3744000000000005,1.2544000000000004,Pittsburgh Pirates,Baltimore Orioles,1,1.0,1,1.0,1,1.0,1,Y
19,24,24,E.Fedde o3.5 Ks,charliedisturco,-145,1.0,E.Fedde,1.6896551724137931,0.6896551724137931,Chicago White Sox,Kansas City Royals,0,1.0,1,1.0,1,1.0,1,Y
20,25,25,E.Fedde o3.5 Ks,cowhitchurch,-142,1.0,E.Fedde,1.704225352112676,0.704225352112676,Chicago White Sox,Kansas City Royals,0,1.0,1,1.0,1,1.0,1,Y
21,26,26,E.Fedde o3.5 Ks,The_Oddsmaker,-142,1.0,E.Fedde,1.704225352112676,0.704225352112676,Chicago White Sox,Kansas City Royals,0,1.0,1,1.0,1,1.0,1,Y
22,27,27,E.Fedde o3.5 Ks,gneiffer07,-140,1.0,E.Fedde,1.7142857142857144,0.7142857142857144,Chicago White Sox,Kansas City Royals,0,1.0,1,1.0,1,1.0,1,Y
23,28,28,E.Fedde o3.5 Ks,AnthonyDabbundo,-135,1.0,E.Fedde,1.7407407407407407,0.7407407407407407,Chicago White Sox,Kansas City Royals,0,1.0,1,1.0,1,1.0,1,Y
24,29,29,E.Fedde o3.5 Ks,kylemurray03,115,1.1,E.Fedde,2.365,1.265,Chicago White Sox,Kansas City Royals,0,1.0,1,1.0,1,1.0,1,Y
25,34,34,Y.Kikuchi o2.5 BB,AnthonyDabbundo,145,0.5,Y.Kikuchi,1.225,0.7250000000000001,Toronto Blue Jays,New York Yankees,0,1.0,1,1.0,1,1.0,1,X
26,35,35,J.Hicks o4.5 Ks,gneiffer07,115,1.0,J.Hicks,2.15,1.15,San Francisco Giants,San Diego Padres,1,1.0,1,1.0,1,1.0,1,Y
27,36,36,D.Cease u6.5 Ks,BJCunningham,-104,1.04,D.Cease,2.04,1.0,San Diego Padres,San Francisco Giants,0,1.0,1,1.0,1,1.0,1,N
28,37,37,D.Cease u6.5 Ks,AnthonyDabbundo,105,1.0,D.Cease,2.05,1.0499999999999998,San Diego Padres,San Francisco Giants,0,1.0,1,1.0,1,1.0,1,N
29,38,38,J.Hicks o4.5 Ks,kylemurray03,120,1.0,J.Hicks,2.2,1.2000000000000002,San Francisco Giants,San Diego Padres,1,1.0,1,1.0,1,1.0,1,Y
30,40,40,A.Gomber u15.5 Outs,PropBetGuy,-140,1.0,A.Gomber,1.7142857142857144,0.7142857142857144,Colorado Rockies,Tampa Bay Rays,1,1.0,1,1.0,1,1.0,1,Y
31,41,41,A.Gomber u3.5 Ks,gneiffer07,-142,1.42,A.Gomber,2.42,1.0,Colorado Rockies,Tampa Bay Rays,1,1.0,1,1.0,1,1.0,1,N
32,43,43,T.Skubal u8.5 Ks,BJCunningham,-130,1.3,T.Skubal,2.3,0.9999999999999998,Detroit Tigers,Oakland Athletics,1,1.0,1,1.0,1,1.0,1,N
33,44,44,G.Rodriguez o6.5 ks,Jason Radowitz,100,1.0,G.Rodriguez,2.0,1.0,Baltimore Orioles,Pittsburgh Pirates,0,1.0,1,1.0,1,1.0,1,Y
34,46,46,B.Singer o5.5 ks,Jason Radowitz,114,1.0,B.Singer,2.14,1.1399999999999997,Kansas City Royals,Chicago White Sox,1,1.0,1,1.0,1,1.0,1,N
35,50,50,F.Freeman o1.5 total bases,Teddy Ricketson,115,1.0,F.Freeman,2.15,1.15,Los Angeles Dodgers,Chicago Cubs,0,0.5714285714285714,1,0.6,1,0.5714285714285714,1,N
36,51,51,B.Reynolds o0.5 hits,Teddy Ricketson,-185,1.0,B.Reynolds,1.5405405405405406,0.5405405405405406,Pittsburgh Pirates,Baltimore Orioles,1,0.8571428571428571,1,0.8,1,0.8571428571428571,1,N
