,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,C.Kershaw o15.5 Outs,PropBetGuy,135,1.0,C.Kershaw,2.35,1.35,Los Angeles Dodgers,Tampa Bay Rays,1.0,0.4,0,0.4,0,0.4,0,N
1,P.Lopez u18.5 Outs,SBK5065,-145,0.27,P.Lopez,0.4562068965517242,0.1862068965517241,Minnesota Twins,St Louis Cardinals,1.0,0.72,1,0.8,1,0.7,1,N
2,P.Lopez u18.5 Outs,Markus_Markets,-135,1.0,P.Lopez,1.7407407407407407,0.7407407407407407,Minnesota Twins,St Louis Cardinals,1.0,0.72,1,0.8,1,0.7,1,N
3,R.Devers o1.5 Total Bases,sandyplashkes,104,1.0,R.Devers,2.04,1.04,Boston Red Sox,Arizona Diamondbacks,1.0,0.4912280701754385,0,0.2,0,0.4,0,N
4,J.Duran o2.5 Hits + Runs + RBIs,PlayerPropSavant,125,1.0,J.Duran,2.25,1.25,Boston Red Sox,Arizona Diamondbacks,1.0,0.44,0,0.4,0,0.4,0,N
5,Z.Gallen u16.5 Outs,PlayerPropSavant,-110,1.1,Z.Gallen,2.1,1.0,Arizona Diamondbacks,Boston Red Sox,0.0,0.5238095238095238,1,0.4,0,0.6,1,N
6,F.Valdez o5.5 Ks,PlayerPropSavant,-125,0.63,F.Valdez,1.134,0.5040000000000001,Houston Astros,Baltimore Orioles,0.0,0.4545454545454545,0,0.8,1,0.7,1,Y
7,T.Skubal u4.5 Hits Allowed,PropBetGuy,100,1.0,T.Skubal,2.0,1.0,Detroit Tigers,Chicago White Sox,0.0,0.56,1,0.6,1,0.7,1,N
8,D.Peterson u4.5 Ks,PlayerPropSavant,-115,1.15,D.Peterson,2.1499999999999995,0.9999999999999996,New York Mets,San Diego Padres,0.0,0.5,0,0.4,0,0.4,0,Y
9,Y.Diaz o1.5 hits+runs+rbi,Rotowire,100,0.75,Y.Diaz,1.5,0.75,Houston Astros,Baltimore Orioles,0.0,0.5641025641025641,1,1.0,1,0.8,1,N
10,N.Castellanos o1.5 hits+runs+rbi,Rotowire,100,0.75,N.Castellanos,1.5,0.75,Philadelphia Phillies,Kansas City Royals,0.0,0.5,0,0.4,0,0.5,0,Y
11,S.Imanaga o5.5 strikeouts,Rotowire,100,0.75,S.Imanaga,1.5,0.75,Chicago Cubs,Miami Marlins,0.0,0.6521739130434783,1,0.6,1,0.6,1,N
12,W.Warren o5.5 strikeouts,Rotowire,100,0.75,W.Warren,1.5,0.75,New York Yankees,Colorado Rockies,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,Y
13,R.Suarez o3.5 strikeouts,Rotowire Prizepicks,100,1.5,R.Suarez,3.0,1.5,Philadelphia Phillies,Kansas City Royals,0.0,0.85,1,0.8,1,0.8,1,Y
14,S.Ohtani o1.5 Total Bases,theprophunter0_,-120,1.2,S.Ohtani,2.2,1.0000000000000002,Los Angeles Dodgers,Tampa Bay Rays,1.0,0.5564516129032258,1,0.6,1,0.5,0,Y
