,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Over?,Under?,Prop Bets,Correct
0,M.King o5.5 Ks,charliedisturco,104.0,1.0,M.King,2.04,1.04,San Diego Padres,St Louis Cardinals,0.0,0.72,1.0,1.0,1.0,0.9,1.0,,,,N
1,R.Greene o1.5 Total Bases,charliedisturco,125.0,0.5,R.Greene,1.125,0.625,Detroit Tigers,Los Angeles Angels,1.0,0.4128440366972477,0.0,0.6,1.0,0.4,0.0,1.0,0.0,total bases,N
2,D.Peterson u4.5 Ks,PlayerPropSavant,-135.0,2.03,D.Peterson,3.533703703703704,1.5037037037037035,New York Mets,Arizona Diamondbacks,0.0,0.5333333333333333,1.0,0.6,1.0,0.5,0.0,0.0,1.0,ks,Y
3,A.Garcia o1.5 Hits + Runs + RBIs,MJCLocks,-125.0,1.25,A.Garcia,2.25,1.0,Texas Rangers,Chicago White Sox,0.0,0.4682539682539682,0.0,0.2,0.0,0.3,0.0,1.0,0.0,hits + runs + rbis,N
4,H.Brown u5.5 Ks,PropBetGuy,-117.0,1.17,H.Brown,2.17,1.0,Houston Astros,Kansas City Royals,1.0,0.44,0.0,0.2,0.0,0.4,0.0,0.0,1.0,ks,Y
5,K.Stowers o1.5 hits+runs+rbi,Rotowire,100.0,0.75,K.Stowers,1.5,0.75,Miami Marlins,Colorado Rockies,0.0,0.1666666666666666,0.0,0.6,1.0,0.4,0.0,1.0,0.0,hits+runs+rbi,Y
6,H.Birdsong o5.5 strikeouts,Rotowire Prizepicks,100.0,1.5,H.Birdsong,3.0,1.5,San Francisco Giants,Milwaukee Brewers,0.0,0.2,0.0,0.2,0.0,0.2,0.0,1.0,0.0,strikeouts,Y
7,S.Ohtani o1.5 Total Bases,theprophunter0_,-105.0,1.05,S.Ohtani,2.05,0.9999999999999998,Los Angeles Dodgers,Baltimore Orioles,1.0,0.5546875,1.0,0.8,1.0,0.7,1.0,1.0,0.0,total bases,N
8,N.Nastrini o2.5 walks allowed,Rotowire,100.0,0.75,N.Nastrini,1.5,0.75,Chicago White Sox,Texas Rangers,1.0,0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,0.0,walks allowed,N
9,J.Beck o1.5 hits+runs+rbi,Rotowire,100.0,0.75,J.Beck,1.5,0.75,Colorado Rockies,Miami Marlins,1.0,0.3333333333333333,0.0,0.4,0.0,0.4,0.0,1.0,0.0,hits+runs+rbi,N
10,C.Morton o5.5 strikeouts,Rotowire Prizepicks,100.0,1.5,C.Morton,3.0,1.5,Atlanta Braves,Philadelphia Phillies,0.0,0.5416666666666666,1.0,0.8,1.0,0.5,0.0,1.0,0.0,strikeouts,Y
11,J.Burger o1.5 Total Bases,theprophunter0_,-145.0,1.45,J.Burger,2.45,1.0000000000000002,Miami Marlins,Colorado Rockies,0.0,0.4403669724770642,0.0,0.4,0.0,0.4,0.0,1.0,0.0,total bases,N
12,J.Aguiar o4.5 strikeouts,Rotowire Prizepicks,100.0,1.5,J.Aguiar,3.0,1.5,Cincinnati Reds,Oakland Athletics,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,strikeouts,N
13,C.Morton o5.5 strikeouts,Rotowire,100.0,0.75,C.Morton,1.5,0.75,Atlanta Braves,Philadelphia Phillies,0.0,0.5416666666666666,1.0,0.8,1.0,0.5,0.0,1.0,0.0,strikeouts,Y
14,K.Isbel o0.5 hits+runs+rbi,Rotowire,100.0,0.75,K.Isbel,1.5,0.75,Kansas City Royals,Houston Astros,0.0,0.638095238095238,1.0,0.4,0.0,0.6,1.0,1.0,0.0,hits+runs+rbi,Y
15,B.Singer o4.5 strikeouts,Rotowire,100.0,0.75,B.Singer,1.5,0.75,Kansas City Royals,Houston Astros,0.0,0.6153846153846154,1.0,0.8,1.0,0.7,1.0,1.0,0.0,strikeouts,Y
