Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB
Edouard Julien,Minnesota Twins,Milwaukee Brewers,0,3,0,0,0,0,1,3,0.214,0.231,0.445,-0.047,0.6,-0.03,0.57,-0.5,0,0,0,0,0,0
Kyle Farmer,Minnesota Twins,Milwaukee Brewers,0,1,0,0,0,0,1,1,0.25,0.0,0.25,-0.084,3.23,-0.05,3.05,-0.4,0,0,0,0,0,0
Alex Kirilloff,Minnesota Twins,Milwaukee Brewers,0,4,1,1,0,0,1,4,0.267,0.357,0.624,-0.066,1.23,-0.04,1.16,-0.3,2,1,0,0,0,1
Byron Buxton,Minnesota Twins,Milwaukee Brewers,0,4,0,1,0,0,1,4,0.375,0.429,0.804,-0.011,1.09,-0.01,1.02,0.2,1,1,0,0,0,1
Max Kepler,Minnesota Twins,Milwaukee Brewers,0,4,0,1,0,0,0,4,0.125,0.125,0.25,-0.039,1.16,-0.02,1.09,-0.1,1,1,0,0,0,1
Carlos Correa,Minnesota Twins,Milwaukee Brewers,0,1,1,0,0,3,1,4,0.438,0.333,0.771,0.183,1.9,0.1,1.79,0.8,1,0,0,0,0,0
Matt Wallner,Minnesota Twins,Milwaukee Brewers,0,1,0,0,1,0,1,2,0.3,0.286,0.586,-0.04,2.1,-0.02,1.98,-0.3,1,0,0,0,0,0
Manuel Margot,Minnesota Twins,Milwaukee Brewers,0,1,0,0,0,1,0,2,0.429,0.333,0.762,-0.15,3.46,-0.08,3.27,-0.2,0,0,0,0,0,0
Carlos Santana,Minnesota Twins,Milwaukee Brewers,0,4,0,0,0,0,1,4,0.294,0.267,0.561,-0.15,1.98,-0.08,1.86,-1.1,0,0,0,0,0,0
Willi Castro,Minnesota Twins,Milwaukee Brewers,0,3,0,0,0,0,1,3,0.333,0.091,0.424,-0.027,1.63,-0.01,1.54,-0.3,0,0,0,0,0,0
Christian Vázquez,Minnesota Twins,Milwaukee Brewers,0,2,0,0,1,0,0,3,0.143,0.167,0.31,-0.091,2.03,-0.05,1.91,-0.5,1,0,0,0,0,0
