Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Date
M.Vierling,Detroit Tigers,Pittsburgh Pirates,0,5,1,2,0,0,2,5,0.296,0.423,0.719,-0.013,0.84,-0.01,0.82,-0.4,3,2,0,0,0,2,409
M.Canha,Detroit Tigers,Pittsburgh Pirates,0,5,0,1,0,0,1,5,0.372,0.441,0.813,-0.031,0.95,-0.02,0.93,-0.7,1,-1,2,0,0,2,409
R.Greene,Detroit Tigers,Pittsburgh Pirates,0,3,1,1,0,1,0,4,0.34,0.462,0.802,0.058,1.46,0.03,1.42,0.5,2,1,0,0,0,1,409
S.Torkelson,Detroit Tigers,Pittsburgh Pirates,0,3,0,1,1,0,0,4,0.265,0.267,0.532,0.107,1.9,0.06,1.85,0.8,2,1,0,0,0,1,409
G.Urshela,Detroit Tigers,Pittsburgh Pirates,0,4,0,2,1,0,1,4,0.387,0.452,0.839,0.298,2.0,0.17,1.95,0.6,3,2,0,0,0,2,409
C.Keith,Detroit Tigers,Pittsburgh Pirates,0,4,0,0,0,0,0,4,0.3,0.25,0.55,-0.076,1.35,-0.04,1.31,-0.8,0,0,0,0,0,0,409
C.Kelly,Detroit Tigers,Pittsburgh Pirates,0,3,0,0,0,0,1,3,0.28,0.417,0.697,-0.062,0.8,-0.04,0.78,-0.5,0,0,0,0,0,0,409
K.Carpenter,Detroit Tigers,Pittsburgh Pirates,0,1,1,1,1,0,0,1,0.286,0.423,0.709,0.164,4.36,0.1,4.24,0.6,3,1,0,0,0,1,409
J.Baez,Detroit Tigers,Pittsburgh Pirates,0,3,0,0,0,0,1,4,0.171,0.152,0.323,-0.047,0.92,-0.03,0.9,-0.1,0,0,0,0,0,0,409
J.Rogers,Detroit Tigers,Pittsburgh Pirates,0,4,0,1,1,0,2,4,0.167,0.261,0.428,0.011,0.98,0.01,0.95,0.5,2,1,0,0,0,1,409
J.Triolo,Pittsburgh Pirates,Detroit Tigers,1,4,0,0,0,0,0,4,0.327,0.341,0.667,-0.095,0.95,-0.06,1.07,-1.2,0,0,0,0,0,0,409
B.Reynolds,Pittsburgh Pirates,Detroit Tigers,1,4,1,1,0,0,0,4,0.35,0.462,0.812,-0.011,0.73,-0.01,0.82,-0.3,2,-4,5,0,0,2,409
K.Hayes,Pittsburgh Pirates,Detroit Tigers,1,4,0,2,1,0,0,4,0.404,0.375,0.779,0.077,0.71,0.05,0.8,0.5,3,2,0,0,0,2,409
