,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Date
0,A.McCutchen,Pittsburgh Pirates,Chicago Cubs,0,4,1,1,1,1,1,5,.320,.378,.698,-0.051,0.41,-0.02,0.30,0.4,3,-5,0,0,6,4,517
1,B.Reynolds,Pittsburgh Pirates,Chicago Cubs,0,5,1,2,0,0,1,5,.341,.414,.756,-0.017,0.29,-0.01,0.21,0.0,3,2,0,0,0,2,517
2,O.Cruz,Pittsburgh Pirates,Chicago Cubs,0,5,0,0,0,0,2,5,.298,.425,.723,-0.030,0.23,-0.01,0.16,-1.1,0,0,0,0,0,0,517
3,C.Joe,Pittsburgh Pirates,Chicago Cubs,0,5,1,3,0,0,1,5,.364,.504,.868,0.030,0.40,0.01,0.29,0.8,4,3,0,0,0,3,517
4,N.Gonzales,Pittsburgh Pirates,Chicago Cubs,0,4,1,2,1,0,0,5,.286,.538,.824,0.021,0.50,0.01,0.37,0.1,4,1,1,0,0,3,517
5,J.Suwinski,Pittsburgh Pirates,Chicago Cubs,0,5,1,1,0,0,2,5,.252,.275,.527,-0.061,0.45,-0.03,0.32,-1.0,2,1,0,0,0,1,517
6,Y.Grandal,Pittsburgh Pirates,Chicago Cubs,0,5,1,2,3,0,0,5,.229,.412,.640,0.071,0.50,0.03,0.36,1.7,6,2,0,0,0,2,517
7,R.Tellez,Pittsburgh Pirates,Chicago Cubs,0,4,2,2,0,0,0,4,.258,.241,.499,0.049,0.39,0.02,0.28,0.1,4,2,0,0,0,2,517
8,J.Triolo,Pittsburgh Pirates,Chicago Cubs,0,4,1,2,3,0,2,4,.291,.257,.548,0.275,0.66,0.12,0.48,3.1,6,0,0,0,2,5,517
9,M.Tauchman,Chicago Cubs,Pittsburgh Pirates,1,4,1,1,0,0,3,4,.382,.416,.798,-0.039,0.38,-0.03,0.46,-0.5,2,1,0,0,0,1,517
10,I.Happ,Chicago Cubs,Pittsburgh Pirates,1,3,1,0,0,1,2,4,.330,.314,.643,-0.028,0.29,-0.02,0.35,-0.4,1,0,0,0,0,0,517
11,C.Bellinger,Chicago Cubs,Pittsburgh Pirates,1,3,0,0,0,1,1,4,.338,.480,.818,-0.016,0.18,-0.01,0.22,-0.1,0,0,0,0,0,0,517
12,C.Morel,Chicago Cubs,Pittsburgh Pirates,1,4,0,2,2,0,1,4,.296,.417,.713,-0.020,0.30,-0.01,0.36,1.5,4,-2,4,0,0,3,517
13,M.Busch,Chicago Cubs,Pittsburgh Pirates,1,2,0,0,0,2,2,4,.327,.465,.793,-0.019,0.28,-0.01,0.35,-0.3,0,0,0,0,0,0,517
14,M.Mastrobuoni,Chicago Cubs,Pittsburgh Pirates,1,4,0,0,0,0,3,4,.256,.176,.433,-0.022,0.21,-0.02,0.26,-1.1,0,0,0,0,0,0,517
15,N.Madrigal,Chicago Cubs,Pittsburgh Pirates,1,4,0,0,0,0,2,4,.282,.264,.546,-0.032,0.31,-0.02,0.38,-0.9,0,0,0,0,0,0,517
16,P.Crow-Armstrong,Chicago Cubs,Pittsburgh Pirates,1,4,0,0,0,0,1,4,.295,.364,.659,-0.023,0.22,-0.02,0.27,-0.7,0,0,0,0,0,0,517
17,M.Amaya,Chicago Cubs,Pittsburgh Pirates,1,3,1,1,1,0,0,3,.248,.297,.544,-0.014,0.18,-0.01,0.22,0.7,3,-1,0,0,2,4,517
18,C.Abrams,Washington Nationals,Philadelphia Phillies,0,4,1,1,0,0,1,4,.322,.491,.813,-0.053,0.80,-0.03,0.67,-0.4,2,-7,8,0,0,2,517
19,E.Rosario,Washington Nationals,Philadelphia Phillies,0,4,0,1,1,0,0,4,.248,.368,.616,-0.003,0.83,-0.00,0.70,0.2,2,-4,5,0,0,2,517
20,J.Meneses,Washington Nationals,Philadelphia Phillies,0,4,0,0,0,0,1,4,.290,.267,.557,-0.093,0.90,-0.05,0.76,-0.7,0,0,0,0,0,0,517
21,J.Gallo,Washington Nationals,Philadelphia Phillies,0,4,0,1,0,0,3,4,.284,.321,.605,-0.009,0.93,-0.00,0.78,-0.2,1,-5,6,0,0,2,517
22,I.Vargas,Washington Nationals,Philadelphia Phillies,0,3,1,0,0,1,0,4,.402,.414,.817,-0.060,0.97,-0.03,0.82,-0.4,1,0,0,0,0,0,517
23,J.Winker,Washington Nationals,Philadelphia Phillies,0,3,0,0,0,1,0,4,.343,.367,.710,-0.092,1.07,-0.05,0.91,-0.7,0,0,0,0,0,0,517
