,Unnamed: 0,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Date
0,0,C.Abrams,Washington Nationals,Chicago Cubs,0,3,0,0,0,1,1,4,0.314,0.433,0.747,-0.039,1.75,0.0,0.0,-0.5,0,0,0,0,0,0,920
1,1,D.Crews,Washington Nationals,Chicago Cubs,0,3,0,0,0,1,1,4,0.265,0.356,0.621,-0.129,2.05,0.0,0.0,-0.6,0,0,0,0,0,0,920
2,2,J.Wood,Washington Nationals,Chicago Cubs,0,3,1,1,1,1,0,4,0.362,0.427,0.79,-0.013,1.27,0.0,0.0,0.4,3,-7,0,0,8,4,920
3,3,A.Chaparro,Washington Nationals,Chicago Cubs,0,3,0,0,0,0,1,4,0.279,0.407,0.686,-0.048,1.3,0.0,0.0,-0.3,0,0,0,0,0,0,920
4,4,J.Tena,Washington Nationals,Chicago Cubs,0,4,0,0,0,0,0,4,0.314,0.388,0.702,-0.152,1.5,0.0,0.0,-1.3,0,0,0,0,0,0,920
5,5,K.Ruiz,Washington Nationals,Chicago Cubs,0,4,0,1,0,0,1,4,0.261,0.366,0.626,0.011,1.01,0.0,0.0,-0.1,1,1,0,0,0,1,920
6,6,J.Gallo,Washington Nationals,Chicago Cubs,0,4,0,1,0,0,2,4,0.276,0.319,0.595,-0.11,1.39,0.0,0.0,-0.6,1,1,0,0,0,1,920
7,7,D.Millas,Washington Nationals,Chicago Cubs,0,4,0,1,0,0,1,4,0.296,0.32,0.616,0.008,1.16,0.0,0.0,-0.1,1,1,0,0,0,1,920
8,8,D.Baker,Washington Nationals,Chicago Cubs,0,4,0,1,0,0,0,4,0.462,0.615,1.077,-0.075,1.63,0.0,0.0,-0.4,1,1,0,0,0,1,920
9,9,I.Happ,Chicago Cubs,Washington Nationals,1,4,0,0,0,0,2,4,0.343,0.455,0.799,-0.079,0.8,0.0,0.0,-1.2,0,0,0,0,0,0,920
10,10,D.Swanson,Chicago Cubs,Washington Nationals,1,4,1,1,1,0,0,4,0.31,0.387,0.698,0.06,0.56,0.0,0.0,0.4,3,-15,0,0,16,4,920
11,11,C.Bellinger,Chicago Cubs,Washington Nationals,1,4,0,0,0,0,1,4,0.328,0.432,0.76,-0.05,0.49,0.0,0.0,-0.7,0,0,0,0,0,0,920
12,12,S.Suzuki,Chicago Cubs,Washington Nationals,1,3,0,0,0,1,0,4,0.36,0.481,0.841,-0.036,0.41,0.0,0.0,-0.3,0,0,0,0,0,0,920
