,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Date
0,0,0,0,V.Robles,Seattle Mariners,Houston Astros,0,4,3,1,2,1,1,5,0.382,0.429,0.811,0.111,0.89,0.03,0.38,2.0,6,-17,18,0,0,2,925
1,1,1,1,J.Rodriguez,Seattle Mariners,Houston Astros,0,5,1,1,2,0,2,5,0.326,0.413,0.739,-0.123,1.08,-0.03,0.46,0.7,4,-19,0,0,20,4,925
2,2,2,2,C.Raleigh,Seattle Mariners,Houston Astros,0,5,0,1,0,0,2,5,0.312,0.422,0.734,0.053,1.04,0.01,0.44,-0.3,1,1,0,0,0,1,925
3,3,3,3,R.Arozarena,Seattle Mariners,Houston Astros,0,5,0,0,0,0,4,5,0.333,0.389,0.722,-0.112,1.28,-0.03,0.55,-0.3,0,0,0,0,0,0,925
4,4,4,4,J.Turner,Seattle Mariners,Houston Astros,0,5,0,1,2,0,1,5,0.353,0.381,0.734,0.238,1.42,0.06,0.61,0.8,3,1,0,0,0,1,925
5,5,5,5,J.Polanco,Seattle Mariners,Houston Astros,0,4,0,1,0,0,1,4,0.295,0.358,0.653,-0.066,0.86,-0.02,0.36,-0.7,1,1,0,0,0,1,925
6,6,6,6,M.Garver,Seattle Mariners,Houston Astros,0,4,1,2,1,0,1,4,0.286,0.333,0.62,0.116,0.61,0.03,0.26,0.7,4,-12,0,0,14,5,925
7,7,7,7,J.Crawford,Seattle Mariners,Houston Astros,0,4,1,1,0,0,0,4,0.307,0.325,0.632,0.007,0.69,0.0,0.29,0.4,2,-15,16,0,0,0,925
8,8,8,8,D.Moore,Seattle Mariners,Houston Astros,0,4,2,0,0,0,1,4,0.32,0.373,0.693,0.018,0.71,0.01,0.3,0.4,2,0,0,0,0,0,925
9,9,9,9,A.Bregman,Houston Astros,Seattle Mariners,1,2,0,0,0,0,1,2,0.313,0.447,0.76,-0.066,1.31,-0.0,0.02,-0.7,0,0,0,0,0,0,925
10,10,10,10,G.Kessinger,Houston Astros,Seattle Mariners,1,1,0,0,0,1,0,2,0.059,0.0,0.059,0.007,0.69,0.0,0.01,0.2,0,0,0,0,0,0,925
11,11,11,11,J.Pena,Houston Astros,Seattle Mariners,1,3,0,0,0,0,1,4,0.31,0.397,0.707,-0.027,0.88,0.0,0.01,-0.3,0,0,0,0,0,0,925
12,12,12,12,Y.Diaz,Houston Astros,Seattle Mariners,1,4,0,0,0,0,2,4,0.324,0.442,0.766,-0.073,0.75,-0.0,0.01,-0.8,0,0,0,0,0,0,925
13,13,13,13,J.Singleton,Houston Astros,Seattle Mariners,1,3,1,1,0,1,0,4,0.32,0.389,0.709,-0.012,0.93,0.0,0.01,-0.1,2,-12,13,0,0,2,925
14,14,14,14,V.Caratini,Houston Astros,Seattle Mariners,1,3,0,1,1,0,1,3,0.337,0.403,0.74,0.047,1.41,0.0,0.02,0.4,2,1,0,0,0,1,925
15,15,15,15,C.Salazar,Houston Astros,Seattle Mariners,1,1,0,0,0,0,1,1,0.387,0.4,0.787,-0.001,0.03,0.0,0.0,-0.2,0,0,0,0,0,0,925
16,16,16,16,J.Heyward,Houston Astros,Seattle Mariners,1,4,0,0,0,0,1,4,0.286,0.411,0.696,-0.073,0.69,-0.0,0.01,-0.8,0,0,0,0,0,0,925
17,17,17,17,S.Whitcomb,Houston Astros,Seattle Mariners,1,4,0,0,0,0,0,4,0.304,0.293,0.597,-0.053,0.54,0.0,0.01,-0.7,0,0,0,0,0,0,925
18,18,18,18,M.Dubon,Houston Astros,Seattle Mariners,1,3,0,1,0,0,1,3,0.293,0.355,0.649,-0.012,0.47,0.0,0.01,-0.2,1,1,0,0,0,1,925
19,19,19,19,J.Meyers,Houston Astros,Seattle Mariners,1,3,0,1,0,0,0,3,0.287,0.364,0.652,0.005,0.48,0.0,0.01,0.0,1,1,0,0,0,1,925
20,20,20,20,I.Happ,Chicago Cubs,Philadelphia Phillies,0,4,0,0,0,1,0,5,0.343,0.447,0.79,-0.025,0.71,0.0,0.0,-0.5,0,0,0,0,0,0,925
