,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Date
0,0,0,0,0,0,0,0,0,0,0,J.Altuve,Houston Astros,Cincinnati Reds,0,3,0,1,0,1,0,4,0.349,0.435,0.784,0.063,1.08,0.04,1.14,0.1,1,1,0,0,0,1,905
1,1,1,1,1,1,1,1,1,1,1,Y.Alvarez,Houston Astros,Cincinnati Reds,0,4,0,0,0,0,1,4,0.395,0.562,0.958,-0.14,1.41,-0.09,1.48,-0.9,0,0,0,0,0,0,905
2,2,2,2,2,2,2,2,2,2,2,Y.Diaz,Houston Astros,Cincinnati Reds,0,3,0,0,0,1,1,4,0.323,0.449,0.772,-0.12,1.43,-0.08,1.5,-0.7,0,0,0,0,0,0,905
3,3,3,3,3,3,3,3,3,3,3,A.Bregman,Houston Astros,Cincinnati Reds,0,4,0,0,0,0,1,4,0.315,0.444,0.759,-0.127,1.15,-0.08,1.21,-0.8,0,0,0,0,0,0,905
4,4,4,4,4,4,4,4,4,4,4,J.Singleton,Houston Astros,Cincinnati Reds,0,3,0,0,0,1,0,4,0.318,0.379,0.696,-0.101,1.25,-0.06,1.31,-0.5,0,0,0,0,0,0,905
5,5,5,5,5,5,5,5,5,5,5,J.Pena,Houston Astros,Cincinnati Reds,0,4,0,2,0,0,0,4,0.312,0.402,0.713,-0.029,1.32,-0.02,1.39,0.2,2,2,0,0,0,2,905
6,6,6,6,6,6,6,6,6,6,6,B.Gamel,Houston Astros,Cincinnati Reds,0,2,0,0,0,2,1,4,0.402,0.358,0.761,-0.027,1.47,-0.02,1.54,-0.1,0,0,0,0,0,0,905
7,7,7,7,7,7,7,7,7,7,7,C.McCormick,Houston Astros,Cincinnati Reds,0,3,0,1,0,0,0,3,0.265,0.301,0.566,-0.009,1.75,-0.01,1.84,-0.5,1,1,0,0,0,1,905
8,8,8,8,8,8,8,8,8,8,8,J.Heyward,Houston Astros,Cincinnati Reds,0,2,0,0,0,0,1,2,0.284,0.382,0.666,-0.048,0.93,-0.03,0.97,-0.4,0,0,0,0,0,0,905
9,9,9,9,9,9,9,9,9,9,9,V.Caratini,Houston Astros,Cincinnati Reds,0,1,0,0,0,0,0,1,0.338,0.423,0.761,-0.205,3.19,-0.13,3.35,-1.2,0,0,0,0,0,0,905
10,10,10,10,10,10,10,10,10,10,10,J.India,Cincinnati Reds,Houston Astros,1,4,0,0,0,0,1,4,0.351,0.398,0.749,-0.095,0.9,0.0,0.0,-0.9,0,0,0,0,0,0,905
11,11,11,11,11,11,11,11,11,11,11,E.De,Cincinnati Reds,Houston Astros,1,4,0,0,0,0,2,4,0.344,0.478,0.822,-0.058,0.56,0.0,0.0,-0.6,0,0,0,0,0,0,905
12,12,12,12,12,12,12,12,12,12,12,T.Stephenson,Cincinnati Reds,Houston Astros,1,4,0,1,0,0,1,4,0.342,0.468,0.81,-0.06,0.8,0.0,0.0,-0.5,1,1,0,0,0,1,905
13,13,13,13,13,13,13,13,13,13,13,T.Friedl,Cincinnati Reds,Houston Astros,1,3,0,0,0,1,0,4,0.302,0.377,0.679,-0.052,0.68,0.0,0.0,-0.4,0,0,0,0,0,0,905
14,14,14,14,14,14,14,14,14,14,14,S.Steer,Cincinnati Reds,Houston Astros,1,4,0,1,0,0,2,4,0.325,0.415,0.74,-0.05,0.74,0.0,0.0,-0.6,1,1,0,0,0,1,905
15,15,15,15,15,15,15,15,15,15,15,T.France,Cincinnati Reds,Houston Astros,1,3,1,2,1,0,0,3,0.326,0.388,0.714,0.204,1.06,0.0,0.0,1.0,4,-10,0,0,12,5,905
16,16,16,16,16,16,16,16,16,16,16,J.Fraley,Cincinnati Reds,Houston Astros,1,2,0,2,0,1,0,3,0.329,0.383,0.712,0.111,1.01,0.0,0.0,1.2,2,-13,15,0,0,3,905
17,17,17,17,17,17,17,17,17,17,17,S.Espinal,Cincinnati Reds,Houston Astros,1,3,0,0,0,0,0,3,0.313,0.397,0.71,-0.158,1.83,0.0,0.0,-1.6,0,0,0,0,0,0,905
18,18,18,18,18,18,18,18,18,18,18,A.Rosario,Cincinnati Reds,Houston Astros,1,3,0,0,0,0,2,3,0.324,0.406,0.731,-0.086,1.08,0.0,0.0,-0.9,0,0,0,0,0,0,905
19,19,19,19,19,19,19,19,19,19,19,T.Larnach,Minnesota Twins,Tampa Bay Rays,0,3,0,0,0,0,3,3,0.324,0.449,0.773,-0.067,0.75,-0.05,0.91,-0.9,0,0,0,0,0,0,905
20,20,20,20,20,20,20,20,20,20,20,B.Lee,Minnesota Twins,Tampa Bay Rays,0,1,0,0,0,0,0,1,0.299,0.353,0.653,-0.022,0.87,-0.02,1.06,-0.2,0,0,0,0,0,0,905
21,21,21,21,21,21,21,21,21,21,21,R.Lewis,Minnesota Twins,Tampa Bay Rays,0,4,0,0,0,0,1,4,0.318,0.542,0.86,-0.066,0.68,-0.05,0.83,-0.8,0,0,0,0,0,0,905
22,22,22,22,22,22,22,22,22,22,22,M.Wallner,Minnesota Twins,Tampa Bay Rays,0,3,1,1,1,1,1,4,0.378,0.561,0.939,0.039,0.58,0.03,0.71,0.7,3,-10,0,0,11,4,905
23,23,23,23,23,23,23,23,23,23,23,J.Miranda,Minnesota Twins,Tampa Bay Rays,0,4,1,1,0,0,2,4,0.34,0.467,0.807,-0.008,0.67,-0.01,0.82,-0.2,2,1,0,0,0,1,905
24,24,24,24,24,24,24,24,24,24,24,C.Santana,Minnesota Twins,Tampa Bay Rays,0,4,1,1,0,0,1,4,0.328,0.425,0.754,0.027,0.7,0.02,0.86,0.1,2,1,0,0,0,1,905
25,25,25,25,25,25,25,25,25,25,25,E.Julien,Minnesota Twins,Tampa Bay Rays,0,4,1,1,3,0,1,4,0.319,0.361,0.68,0.155,0.87,0.11,1.06,1.5,5,-7,0,0,8,4,905
26,26,26,26,26,26,26,26,26,26,26,R.Jeffers,Minnesota Twins,Tampa Bay Rays,0,4,0,2,0,0,0,4,0.315,0.464,0.779,0.015,0.48,0.01,0.58,0.2,2,-19,21,0,0,3,905
27,27,27,27,27,27,27,27,27,27,27,W.Castro,Minnesota Twins,Tampa Bay Rays,0,4,0,0,0,0,1,4,0.331,0.392,0.723,-0.091,0.64,-0.07,0.78,-1.3,0,0,0,0,0,0,905
28,28,28,28,28,28,28,28,28,28,28,A.Martin,Minnesota Twins,Tampa Bay Rays,0,2,0,1,0,1,1,3,0.321,0.34,0.66,0.047,0.57,0.03,0.7,0.6,1,1,0,0,0,1,905
29,29,29,29,29,29,29,29,29,29,29,Y.Diaz,Tampa Bay Rays,Minnesota Twins,1,4,0,2,1,0,2,4,0.335,0.411,0.747,0.112,1.36,0.02,0.46,0.5,3,-25,27,0,0,3,905
