,Unnamed: 0,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Date
0,0,B.Blalock,Colorado Rockies,Detroit Tigers,0,4.0,5,5,4,5,4,1,5.87,82,48,30,6,12,7,5,33,-0.289,0.81,0.0,0.0,-3.0,12,910
1,1,K.Montero,Detroit Tigers,Colorado Rockies,1,9.0,3,0,0,0,5,0,4.88,96,65,36,16,13,10,12,86,0.194,0.35,0.07,0.22,4.5,27,910
2,2,T.Bradley,Tampa Bay Rays,Philadelphia Phillies,0,6.0,6,4,3,2,6,2,4.4,90,63,38,12,13,8,10,50,-0.14,0.85,-0.01,0.13,-1.0,18,910
3,3,R.Suarez,Philadelphia Phillies,Tampa Bay Rays,1,5.1,12,4,4,2,2,0,3.05,88,62,43,5,14,9,16,28,-0.316,1.42,-0.15,1.1,-2.2,16,910
4,4,A.Oller,Miami Marlins,Pittsburgh Pirates,0,5.0,7,6,6,3,2,1,5.4,83,51,29,7,15,10,9,28,-0.288,0.93,0.0,0.0,-3.4,15,910
5,5,C.Mlodzinski,Pittsburgh Pirates,Miami Marlins,1,2.0,0,0,0,0,1,0,3.56,27,18,11,3,4,2,3,57,0.098,0.64,0.0,0.0,1.0,6,910
6,6,R.Lopez,Atlanta Braves,Washington Nationals,0,1.0,1,0,0,0,1,0,2.03,25,16,10,2,4,2,1,52,0.047,1.3,0.04,1.85,0.5,3,910
7,7,M.Gore,Washington Nationals,Atlanta Braves,1,3.2,6,7,2,3,3,1,4.34,79,49,31,8,9,6,9,31,-0.339,0.85,0.0,0.0,-5.6,11,910
8,8,S.Lugo,Kansas City Royals,New York Yankees,0,7.0,3,0,0,0,10,0,2.94,105,77,40,11,26,5,9,81,0.36,0.77,0.29,1.05,3.5,21,910
9,9,M.Stroman,New York Yankees,Kansas City Royals,1,5.1,7,3,3,2,4,0,4.07,89,56,30,9,16,11,6,44,-0.096,1.01,-0.08,1.4,-0.5,16,910
10,10,D.Peterson,New York Mets,Toronto Blue Jays,0,4.1,8,5,4,2,2,0,2.98,76,51,31,5,15,6,13,29,-0.327,1.17,-0.29,1.73,-3.1,13,910
