,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Date
0,0,0,0,0,0,0,D.Herz,Washington Nationals,Pittsburgh Pirates,0,5.0,0,0,0,3,5,0,3.82,87,53,29,12,12,5,5,69,0.293,0.79,0.0,0.0,2.6,15,907
1,1,1,1,1,1,1,L.Ortiz,Pittsburgh Pirates,Washington Nationals,1,5.2,6,4,3,2,2,1,3.26,100,58,33,11,14,7,13,43,-0.12,0.88,0.0,0.0,-1.2,17,907
2,2,2,2,2,2,2,C.Schmidt,New York Yankees,Chicago Cubs,0,4.2,4,0,0,1,2,0,2.34,75,44,22,6,16,8,6,57,0.249,1.03,0.2,1.39,2.2,14,907
3,3,3,3,3,3,3,J.Assad,Chicago Cubs,New York Yankees,1,5.2,3,2,1,3,5,0,3.14,90,51,24,7,20,6,10,59,0.152,1.07,0.01,0.14,1.6,17,907
4,4,4,4,4,4,4,R.Pepiot,Tampa Bay Rays,Baltimore Orioles,0,5.1,6,1,1,2,4,1,3.66,98,68,39,9,19,7,11,54,0.218,1.31,0.01,0.12,1.5,16,907
5,5,5,5,5,5,5,Z.Eflin,Baltimore Orioles,Tampa Bay Rays,1,5.2,8,3,3,1,4,2,3.65,91,60,37,8,15,8,13,44,-0.095,0.83,-0.08,1.13,-0.6,17,907
6,6,6,6,6,6,6,B.Hanifee,Detroit Tigers,Oakland Athletics,0,0.2,1,0,0,0,1,0,1.42,10,7,5,1,1,0,2,51,0.025,0.88,0.0,0.24,0.3,2,907
7,7,7,7,7,7,7,B.Basso,Oakland Athletics,Detroit Tigers,1,6.0,3,0,0,1,6,0,1.93,85,56,29,12,15,4,11,71,0.351,1.22,0.0,0.0,2.8,18,907
8,8,8,8,8,8,8,E.Rodriguez,Arizona Diamondbacks,Houston Astros,0,4.0,7,5,4,3,1,0,5.83,88,49,29,8,12,7,11,28,-0.415,1.66,-0.33,2.22,-3.1,12,907
9,9,9,9,9,9,9,Y.Kikuchi,Houston Astros,Arizona Diamondbacks,1,6.0,7,4,4,0,6,2,4.31,99,67,40,13,14,9,11,48,-0.138,1.1,-0.09,1.23,-1.1,18,907
10,10,10,10,10,10,10,A.Nola,Philadelphia Phillies,Miami Marlins,0,4.2,9,5,4,2,5,2,3.41,101,64,30,14,20,8,10,31,-0.315,1.06,-0.13,0.74,-2.6,14,907
11,11,11,11,11,11,11,D.McCaughan,Miami Marlins,Philadelphia Phillies,1,4.2,6,3,2,0,4,0,7.4,73,52,35,4,13,5,10,46,-0.058,0.99,0.0,0.0,-0.6,14,907
12,12,12,12,12,12,12,J.Junis,Cincinnati Reds,New York Mets,0,5.0,1,0,0,1,5,0,2.82,73,50,27,6,17,2,9,69,0.276,0.8,0.0,0.0,2.4,15,907
13,13,13,13,13,13,13,J.Quintana,New York Mets,Cincinnati Reds,1,6.2,5,0,0,2,6,0,4.09,100,60,31,13,16,11,6,68,0.363,1.0,0.31,1.41,3.1,20,907
14,14,14,14,14,14,14,M.Parker,Washington Nationals,Pittsburgh Pirates,0,3.1,6,4,4,4,5,0,4.43,78,46,27,11,8,1,9,33,-0.179,1.0,0.0,0.0,-1.6,10,907
15,15,15,15,15,15,15,M.Keller,Pittsburgh Pirates,Washington Nationals,1,6.0,7,2,2,0,8,0,3.85,91,61,35,8,18,8,9,58,0.153,1.28,0.0,0.0,1.1,18,907
16,16,16,16,16,16,16,T.Anderson,Los Angeles Angels,Texas Rangers,0,5.0,1,2,1,2,7,0,3.5,92,58,34,16,8,1,9,64,-0.01,1.2,0.0,0.0,0.4,15,907
17,17,17,17,17,17,17,J.Leiter,Texas Rangers,Los Angeles Angels,1,5.0,2,3,3,2,6,1,10.41,86,51,25,17,9,3,8,55,-0.063,0.75,-0.0,0.03,0.0,15,907
18,18,18,18,18,18,18,T.Blach,Colorado Rockies,Milwaukee Brewers,0,3.2,6,5,5,0,1,3,6.94,57,43,29,4,10,6,9,30,-0.211,0.55,0.0,0.0,-2.2,11,907
19,19,19,19,19,19,19,T.Myers,Milwaukee Brewers,Colorado Rockies,1,6.0,4,1,1,1,11,1,2.93,98,64,29,19,16,4,7,70,0.205,0.84,0.12,0.81,2.1,18,907
20,20,20,20,20,20,20,G.Crochet,Chicago White Sox,Boston Red Sox,0,2.0,5,4,4,1,3,1,3.83,51,31,20,6,5,3,5,32,-0.309,0.92,0.0,0.0,-3.0,6,907
21,21,21,21,21,21,21,C.Criswell,Boston Red Sox,Chicago White Sox,1,5.0,6,2,2,2,0,1,4.11,79,50,33,1,16,13,7,45,0.026,0.83,0.01,0.4,0.6,15,907
22,22,22,22,22,22,22,B.Ober,Minnesota Twins,Kansas City Royals,0,7.0,1,0,0,0,7,0,3.77,83,59,31,11,17,7,8,82,0.444,0.92,0.31,1.06,3.6,21,907
23,23,23,23,23,23,23,A.Marsh,Kansas City Royals,Minnesota Twins,1,5.0,4,2,2,0,5,0,4.66,84,60,33,11,16,6,8,56,0.007,0.89,0.01,1.17,0.6,15,907
24,24,24,24,24,24,24,L.Gilbert,Seattle Mariners,St. Louis Cardinals,0,8.0,2,2,2,1,10,1,3.15,101,65,30,16,19,9,6,79,0.133,1.0,0.07,0.83,2.1,24,907
25,25,25,25,25,25,25,K.Gibson,St Louis Cardinals,St. Louis Cardinals,0,6.2,3,0,0,3,9,0,4.2,112,63,29,17,17,4,10,74,0.373,1.19,0.02,0.1,3.2,20,907
26,26,26,26,26,26,26,J.Berrios,Toronto Blue Jays,Atlanta Braves,0,6.0,5,1,1,1,5,0,3.52,90,60,35,10,15,6,11,62,0.228,0.78,0.0,0.0,2.1,18,907
27,27,27,27,27,27,27,S.Schwellenbach,Atlanta Braves,Toronto Blue Jays,1,5.0,10,6,3,0,3,2,3.78,72,56,37,5,14,6,15,32,-0.249,0.74,-0.19,0.96,-3.4,15,907
