,Play,Expert,Odds,Units,Payout,Team,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,C.Ragans o5.5 strikeouts,Chris Landers,-185,1.0,1.5405405405405406,Kansas City Royals,C.Ragans,Chicago White Sox,1.0,0.5405405405405406,Y,0.8571428571428571,1,1.0,1,0.8571428571428571,1
1,T.Turner o1.5 Total Bases,Dan Servodidio,-110,1.0,1.9090909090909087,Philadelphia Phillies,T.Turner,San Diego Padres,0.0,0.9090909090909092,Y,0.4485294117647059,0,1.0,1,0.9,1
3,K.Tucker o0.5 RBI,NicholaskMartin,170,0.5,1.35,Houston Astros,K.Tucker,Texas Rangers,0.0,0.8500000000000001,N,0.4444444444444444,0,0.4,0,0.3,0
4,N.Lowe o0.5 RBI,NicholaskMartin,200,0.5,1.5,Texas Rangers,N.Lowe,Houston Astros,1.0,1.0,N,0.35036496350364965,0,0.0,0,0.2,0
5,A.Civale u5.5 Ks,SBK5065,-144,0.72,1.22,Tampa Bay Rays,A.Civale,Boston Red Sox,1.0,0.5,N,0.6,1,0.6,1,0.6,1
6,J.Soto o0.5 RBI,NicholaskMartin,160,0.5,1.3,San Diego Padres,J.Soto,Philadelphia Phillies,1.0,0.8,N,0.35714285714285715,0,0.6,1,0.5,0
7,A.Bohm o0.5 HR,charliedisturco,630,0.25,1.825,Philadelphia Phillies,A.Bohm,San Diego Padres,0.0,1.575,N,0.10483870967741936,0,0.2,0,0.3,0
8,M.Kepler o0.5 HR,charliedisturco,470,0.25,1.425,Minnesota Twins,M.Kepler,Cleveland Guardians,0.0,1.175,N,0.13636363636363635,0,0.0,0,0.1,0
9,E.Jimenez o0.5 RBI,Thespinzone,155,0.1,0.255,Chicago White Sox,E.Jimenez,Kansas City Royals,0.0,0.155,N,0.37,0,0.2,0,0.3,0
10,N.Velazquez o0.5 Runs Scored,Thespinzone,102,0.15,0.303,Kansas City Royals,N.Velazquez,Chicago White Sox,1.0,0.153,Y,0.6521739130434783,1,0.4,0,0.5,0
11,N.Velazquez o0.5 RBI,Thespinzone,155,0.1,0.255,Kansas City Royals,N.Velazquez,Chicago White Sox,1.0,0.155,Y,0.30434782608695654,0,0.6,1,0.5,0
12,C.Ragans o5.5 Ks,cowhitchurch,-116,1.16,2.16,Kansas City Royals,C.Ragans,Chicago White Sox,1.0,0.9999999999999998,Y,0.8571428571428571,1,1.0,1,0.8571428571428571,1
13,M.Tauchman o0.5 Runs Scored,Thespinzone,105,0.15,0.3074999999999999,Chicago Cubs,M.Tauchman,San Francisco Giants,1.0,0.1574999999999999,Y,0.5393258426966292,1,0.6,1,0.5,0
14,J.Steele o5.5 Ks,cowhitchurch,-118,0.59,1.09,Chicago Cubs,J.Steele,San Francisco Giants,1.0,0.4999999999999999,Y,0.56,1,1.0,1,0.8,1
