,Unnamed: 0,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,4,A.Heaney u4.5 Ks,jimsannes,126,0.9,2.034,1.134,A.Heaney,Texas Rangers,Houston Astros,0.0,0.3684210526315789,0,0.6,1,0.4,0,Y
1,7,J.Turner o0.5 RBI,Thespinzone,190,0.1,0.29,0.1899999999999999,J.Turner,Boston Red Sox,Atlanta Braves,1.0,0.4270833333333333,0,0.4,0,0.5,0,Y
2,12,G.Stanton o0.5 Runs Scored,Thespinzone,100,0.1,0.2,0.1,G.Stanton,New York Yankees,New York Mets,1.0,0.3725490196078431,0,0.6,1,0.5,0,N
3,16,C.Carroll o0.5 RBI,Thespinzone,150,0.1,0.25,0.15,C.Carroll,Arizona Diamondbacks,St. Louis Cardinals,1.0,0.3917525773195876,0,0.8,1,0.6,1,N
4,17,E.Rivera o0.5 Runs Scored,Thespinzone,145,0.1,0.245,0.145,E.Rivera,Arizona Diamondbacks,St. Louis Cardinals,1.0,0.4363636363636363,0,0.4,0,0.4,0,Y
5,19,P.Goldschmidt o0.5 Runs Scored,Thespinzone,100,0.13,0.26,0.13,P.Goldschmidt,St. Louis Cardinals,Arizona Diamondbacks,0.0,0.4845360824742268,0,0.8,1,0.8,1,Y
6,21,Z.Gallen o2.5 Earned Runs,NicholaskMartin,105,0.5,1.025,0.5249999999999999,Z.Gallen,Arizona Diamondbacks,St. Louis Cardinals,1.0,0.4285714285714285,0,0.8,1,0.5,0,Y
7,23,J.Irvin u5.5 Ks,Thespinzone,120,0.1,0.22,0.12,J.Irvin,Washington Nationals,Colorado Rockies,1.0,0.7857142857142857,1,0.8,1,0.8,1,N
8,25,L.Thomas o0.5 Runs Scored,Thespinzone,-105,0.1,0.1952380952380952,0.0952380952380952,L.Thomas,Washington Nationals,Colorado Rockies,1.0,0.5612244897959183,1,0.8,1,0.7,1,Y
9,35,Z.Eflin o5.5 Ks,Thespinzone,-105,0.1,0.1952380952380952,0.0952380952380952,Z.Eflin,Tampa Bay Rays,Miami Marlins,1.0,0.5263157894736842,1,0.6,1,0.6,1,N
10,40,M.McLain o0.5 Runs Scored,Thespinzone,128,0.1,0.228,0.128,M.McLain,Cincinnati Reds,Milwaukee Brewers,0.0,0.5409836065573771,1,0.8,1,0.7,1,N
11,41,S.Frelick o0.5 Runs Scored,Thespinzone,127,0.13,0.2951,0.1651,S.Frelick,Milwaukee Brewers,Cincinnati Reds,1.0,1.0,1,1.0,1,1.0,1,Y
12,43,F.Fermin o0.5 RBI,Thespinzone,190,0.1,0.29,0.1899999999999999,F.Fermin,Kansas City Royals,Cleveland Guardians,0.0,0.4,0,0.6,1,0.5,0,N
