,Unnamed: 0,Unnamed: 0.1,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,1,3,Z.Wheeler o6.5 Ks,cowhitchurch,-150,0.75,1.25,0.5,Z.Wheeler,Philadelphia Phillies,Pittsburgh Pirates,0,0.6,1,0.8,1,0.7,1,Y
1,5,9,Z.Wheeler o6.5 Ks,JoeDellera,-145,0.4,0.675862069,0.275862069,Z.Wheeler,Philadelphia Phillies,Pittsburgh Pirates,0,0.6,1,0.8,1,0.7,1,Y
2,7,16,S.Ohtani o0.5 RBI,Thespinzone,175,0.1,0.275,0.175,S.Ohtani,Los Angeles Angels,Toronto Blue Jays,0,0.48,0,0.4,0,0.6,1,Y
3,10,21,J.Candelario o0.5 RBI,Thespinzone,200,0.1,0.3,0.2,J.Candelario,Washington Nationals,New York Mets,0,0.3263157894736842,0,0.6,1,0.6,1,N
4,11,22,L.Thomas o0.5 Runs Scored,Thespinzone,150,0.1,0.25,0.15,L.Thomas,Washington Nationals,New York Mets,0,0.56,1,0.6,1,0.6,1,N
5,12,23,C.Abrams o0.5 Runs Scored,Thespinzone,125,0.1,0.225,0.125,C.Abrams,Washington Nationals,New York Mets,0,0.4301075268817204,0,0.8,1,0.7,1,N
6,14,26,L.Webb o5.5 Ks,cowhitchurch,-105,0.53,1.034761905,0.504761905,L.Webb,San Francisco Giants,Boston Red Sox,1,0.6190476190476191,1,0.6,1,0.5,0,N
7,15,28,B.Miller u6.5 Ks,cowhitchurch,-125,0.63,1.134,0.504,B.Miller,Los Angeles Dodgers,Cincinnati Reds,1,0.7,1,0.8,1,0.7,1,Y
8,16,29,B.Miller u6.5 Ks,PropBetGuy,-116,1.16,2.16,1.0,B.Miller,Los Angeles Dodgers,Cincinnati Reds,1,0.7,1,0.8,1,0.7,1,Y
9,17,30,A.Houser o3.5 Ks,JoeDellera,-108,0.4,0.77037037,0.37037037,A.Houser,Milwaukee Brewers,Atlanta Braves,0,0.5384615384615384,1,0.8,1,0.5,0,N
10,21,34,A.Duvall o0.5 hits,DKNetworkStaff,-210,1.0,1.476190476,0.476190476,A.Duvall,Boston Red Sox,San Francisco Giants,0,0.625,1,0.8,1,0.8,1,Y
11,22,35,G.Cole u2.5 Earned Runs Allowed,Dan Servodidio,-110,1.0,1.909090909,0.909090909,G.Cole,New York Yankees,Baltimore Orioles,0,0.7619047619047619,1,0.6,1,0.7,1,Y
