,Unnamed: 0,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,TB,HRs
0,0,Bobby Witt,Kansas City Royals,Minnesota Twins,0,5,2,1,1,0,0,5,2,0
1,1,Vinnie Pasquantino,Kansas City Royals,Minnesota Twins,0,5,0,0,0,0,2,5,0,0
2,2,Salvador Perez,Kansas City Royals,Minnesota Twins,0,4,1,3,3,0,0,5,6,1
3,3,MJ Melendez,Kansas City Royals,Minnesota Twins,0,5,0,1,0,0,3,5,1,0
4,4,Edward Olivares,Kansas City Royals,Minnesota Twins,0,4,2,3,0,0,1,5,7,0
5,5,Nick Pratto,Kansas City Royals,Minnesota Twins,0,5,0,3,2,0,2,5,3,0
6,6,Kyle Isbel,Kansas City Royals,Minnesota Twins,0,4,0,0,0,0,1,4,0,0
7,7,Hunter Dozier,Kansas City Royals,Minnesota Twins,0,2,1,0,0,2,0,4,0,0
8,8,Michael Massey,Kansas City Royals,Minnesota Twins,0,4,0,1,0,0,3,4,0,0
9,9,Max Kepler,Minnesota Twins,Kansas City Royals,1,2,2,1,2,1,1,4,4,1
10,10,Carlos Correa,Minnesota Twins,Kansas City Royals,1,4,0,0,0,0,1,4,0,0
11,11,Jorge Polanco,Minnesota Twins,Kansas City Royals,1,4,1,1,3,0,2,4,4,1
12,12,Byron Buxton,Minnesota Twins,Kansas City Royals,1,3,0,1,0,1,1,4,2,0
13,13,Trevor Larnach,Minnesota Twins,Kansas City Royals,1,2,1,1,0,1,1,3,1,0
14,14,Donovan Solano,Minnesota Twins,Kansas City Royals,1,1,0,0,0,0,0,1,0,0
15,15,Willi Castro,Minnesota Twins,Kansas City Royals,1,0,0,0,0,0,0,0,0,0
16,16,Jose Miranda,Minnesota Twins,Kansas City Royals,1,4,2,2,1,0,0,4,6,1
17,17,Joey Gallo,Minnesota Twins,Kansas City Royals,1,3,1,1,0,1,2,4,3,0
18,18,Christian Vázquez,Minnesota Twins,Kansas City Royals,1,4,0,0,0,0,1,4,0,0
19,19,Michael A. Taylor,Minnesota Twins,Kansas City Royals,1,3,1,1,2,1,1,4,0,0
20,0,Nico Hoerner,Chicago Cubs,Miami Marlins,0,4,0,1,0,0,1,4,1,0
21,1,Dansby Swanson,Chicago Cubs,Miami Marlins,0,2,0,1,0,2,0,4,1,0
22,2,Ian Happ,Chicago Cubs,Miami Marlins,0,4,0,2,0,0,0,4,2,0
23,3,Seiya Suzuki,Chicago Cubs,Miami Marlins,0,4,0,0,0,0,1,4,0,0
24,4,Trey Mancini,Chicago Cubs,Miami Marlins,0,4,0,1,0,0,2,4,1,0
25,5,Cody Bellinger,Chicago Cubs,Miami Marlins,0,4,1,1,0,0,1,4,3,0
26,6,Patrick Wisdom,Chicago Cubs,Miami Marlins,0,2,0,0,0,0,2,2,0,0
27,7,Eric Hosmer,Chicago Cubs,Miami Marlins,0,1,0,1,1,0,0,1,1,0
28,8,Nick Madrigal,Chicago Cubs,Miami Marlins,0,1,0,1,0,0,0,1,1,0
29,9,Yan Gomes,Chicago Cubs,Miami Marlins,0,4,0,1,0,0,0,4,1,0
30,10,Nelson Velázquez,Chicago Cubs,Miami Marlins,0,4,1,1,1,0,2,4,0,0
31,11,Jazz Chisholm Jr.,Miami Marlins,Chicago Cubs,1,4,0,2,0,0,2,4,0,0
32,12,Garrett Cooper,Miami Marlins,Chicago Cubs,1,4,0,0,0,0,0,4,0,0
33,13,Jorge Soler,Miami Marlins,Chicago Cubs,1,4,0,1,0,0,1,4,1,0
34,14,Garrett Hampson,Miami Marlins,Chicago Cubs,1,0,1,0,0,0,0,0,0,0
35,15,Luis Arraez,Miami Marlins,Chicago Cubs,1,2,1,1,0,1,0,4,1,0
36,16,Avisaíl García,Miami Marlins,Chicago Cubs,1,3,0,1,0,0,1,4,0,0
37,17,Jean Segura,Miami Marlins,Chicago Cubs,1,4,0,2,2,0,0,4,2,0
38,18,Jesús Sánchez,Miami Marlins,Chicago Cubs,1,2,1,0,0,1,1,3,0,0
39,19,Nick Fortes,Miami Marlins,Chicago Cubs,1,3,0,1,0,0,0,3,1,0
40,20,Jon Berti,Miami Marlins,Chicago Cubs,1,3,0,0,0,0,1,3,0,0
41,0,Julio Rodríguez,Seattle Mariners,Toronto Blue Jays,0,3,0,2,0,0,1,4,0,0
42,1,Ty France,Seattle Mariners,Toronto Blue Jays,0,4,0,0,0,0,1,4,0,0
43,2,Jarred Kelenic,Seattle Mariners,Toronto Blue Jays,0,4,1,2,0,0,2,4,2,0
44,3,Eugenio Suárez,Seattle Mariners,Toronto Blue Jays,0,2,0,0,0,2,1,4,0,0
45,4,Teoscar Hernández,Seattle Mariners,Toronto Blue Jays,0,4,0,0,0,0,3,4,0,0
46,5,Cal Raleigh,Seattle Mariners,Toronto Blue Jays,0,4,1,2,2,0,1,4,5,1
