,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,TB,HRs
0,DJ LeMahieu,New York Yankees,Detroit Tigers,0,4,0,0,0,1,2,5,0,0
1,Aaron Judge,New York Yankees,Detroit Tigers,0,3,2,1,1,2,2,5,4,1
2,Gleyber Torres,New York Yankees,Detroit Tigers,0,4,1,2,2,1,1,5,6,1
3,Giancarlo Stanton,New York Yankees,Detroit Tigers,0,5,0,1,0,0,3,5,0,0
4,Isiah Kiner-Falefa,New York Yankees,Detroit Tigers,0,4,1,1,0,0,0,4,0,0
5,Harrison Bader,New York Yankees,Detroit Tigers,0,1,0,0,0,0,1,1,0,0
6,Anthony Volpe,New York Yankees,Detroit Tigers,0,4,0,0,0,0,1,4,0,0
7,Everson Pereira,New York Yankees,Detroit Tigers,0,4,0,0,0,0,3,4,0,0
8,Oswaldo Cabrera,New York Yankees,Detroit Tigers,0,3,0,2,1,1,0,4,2,0
9,Kyle Higashioka,New York Yankees,Detroit Tigers,0,3,0,0,0,1,3,4,0,0
10,Zach McKinstry,Detroit Tigers,New York Yankees,1,4,0,2,0,0,2,4,6,0
11,Riley Greene,Detroit Tigers,New York Yankees,1,4,0,0,0,0,0,4,0,0
12,Matt Vierling,Detroit Tigers,New York Yankees,1,3,0,1,0,0,1,3,1,0
13,Akil Baddoo,Detroit Tigers,New York Yankees,1,1,1,1,1,0,0,1,4,1
14,Spencer Torkelson,Detroit Tigers,New York Yankees,1,4,0,1,0,0,1,4,1,0
15,Kerry Carpenter,Detroit Tigers,New York Yankees,1,4,0,1,0,0,0,4,1,0
16,Miguel Cabrera,Detroit Tigers,New York Yankees,1,4,0,1,0,0,2,4,1,0
17,Parker Meadows,Detroit Tigers,New York Yankees,1,3,0,0,0,0,1,3,0,0
18,Javier Báez,Detroit Tigers,New York Yankees,1,3,0,0,0,0,1,3,0,0
19,Carson Kelly,Detroit Tigers,New York Yankees,1,3,0,0,0,0,2,3,0,0
0,Nolan Schanuel,Los Angeles Angels,Philadelphia Phillies,0,4,2,1,0,0,0,5,2,0
1,Shohei Ohtani,Los Angeles Angels,Philadelphia Phillies,0,4,0,1,0,1,1,5,1,0
2,Brandon Drury,Los Angeles Angels,Philadelphia Phillies,0,5,1,3,2,0,1,5,3,0
3,Mike Moustakas,Los Angeles Angels,Philadelphia Phillies,0,5,0,0,0,0,0,5,0,0
4,Luis Rengifo,Los Angeles Angels,Philadelphia Phillies,0,5,0,3,1,0,0,5,3,0
5,Mickey Moniak,Los Angeles Angels,Philadelphia Phillies,0,4,0,3,1,0,1,4,5,0
6,Logan O'Hoppe,Los Angeles Angels,Philadelphia Phillies,0,4,0,0,0,0,0,4,0,0
7,Trey Cabbage,Los Angeles Angels,Philadelphia Phillies,0,3,0,0,0,0,3,3,0,0
8,Hunter Renfroe,Los Angeles Angels,Philadelphia Phillies,0,1,0,0,0,0,0,1,0,0
9,Randal Grichuk,Los Angeles Angels,Philadelphia Phillies,0,3,1,0,0,1,2,4,0,0
10,Kyle Schwarber,Philadelphia Phillies,Los Angeles Angels,1,5,0,0,0,0,3,5,0,0
11,Trea Turner,Philadelphia Phillies,Los Angeles Angels,1,3,3,2,3,1,0,4,8,2
12,Bryce Harper,Philadelphia Phillies,Los Angeles Angels,1,3,1,1,2,1,0,4,4,1
13,Nick Castellanos,Philadelphia Phillies,Los Angeles Angels,1,2,0,0,0,2,0,4,0,0
14,Bryson Stott,Philadelphia Phillies,Los Angeles Angels,1,4,0,0,0,0,1,4,0,0
15,Alec Bohm,Philadelphia Phillies,Los Angeles Angels,1,3,1,1,0,1,0,4,2,0
16,J.T. Realmuto,Philadelphia Phillies,Los Angeles Angels,1,3,0,0,0,1,1,4,0,0
17,Brandon Marsh,Philadelphia Phillies,Los Angeles Angels,1,4,0,2,1,0,0,4,2,0
18,Jake Cave,Philadelphia Phillies,Los Angeles Angels,1,2,1,1,0,0,1,2,1,0
19,Johan Rojas,Philadelphia Phillies,Los Angeles Angels,1,2,0,0,0,0,0,2,0,0
0,Tim Anderson,Chicago White Sox,Baltimore Orioles,0,4,0,0,0,0,1,4,0,0
1,Andrew Benintendi,Chicago White Sox,Baltimore Orioles,0,4,0,0,0,0,1,4,0,0
2,Luis Robert Jr.,Chicago White Sox,Baltimore Orioles,0,3,0,2,0,0,1,3,0,0
3,Trayce Thompson,Chicago White Sox,Baltimore Orioles,0,1,0,0,0,0,1,1,0,0
4,Eloy Jiménez,Chicago White Sox,Baltimore Orioles,0,3,0,0,0,0,0,3,0,0
5,Yoán Moncada,Chicago White Sox,Baltimore Orioles,0,2,0,0,0,1,0,3,0,0
6,Gavin Sheets,Chicago White Sox,Baltimore Orioles,0,2,0,0,0,0,0,2,0,0
7,Andrew Vaughn,Chicago White Sox,Baltimore Orioles,0,1,0,0,0,0,0,1,0,0
8,Lenyn Sosa,Chicago White Sox,Baltimore Orioles,0,3,0,0,0,0,1,3,0,0
9,Oscar Colás,Chicago White Sox,Baltimore Orioles,0,3,0,0,0,0,1,3,0,0
10,Korey Lee,Chicago White Sox,Baltimore Orioles,0,2,0,0,0,1,2,3,0,0
11,Adley Rutschman,Baltimore Orioles,Chicago White Sox,1,5,1,1,0,0,1,5,1,0
12,Gunnar Henderson,Baltimore Orioles,Chicago White Sox,1,4,2,2,0,1,0,5,2,0
13,Anthony Santander,Baltimore Orioles,Chicago White Sox,1,4,2,2,3,1,1,5,5,1
14,Ryan Mountcastle,Baltimore Orioles,Chicago White Sox,1,4,0,1,1,1,0,5,1,0
15,Ryan O'Hearn,Baltimore Orioles,Chicago White Sox,1,5,0,2,2,0,0,5,0,0
16,Cedric Mullins,Baltimore Orioles,Chicago White Sox,1,4,0,1,0,0,1,4,2,0
17,Ramón Urías,Baltimore Orioles,Chicago White Sox,1,2,1,0,0,1,0,4,0,0
18,Adam Frazier,Baltimore Orioles,Chicago White Sox,1,4,1,1,0,0,3,4,1,0
19,Ryan McKenna,Baltimore Orioles,Chicago White Sox,1,3,2,1,2,1,1,4,1,0
0,CJ Abrams,Washington Nationals,Toronto Blue Jays,0,5,2,3,0,0,0,5,3,0
1,Lane Thomas,Washington Nationals,Toronto Blue Jays,0,3,1,0,0,0,0,4,0,0
2,Joey Meneses,Washington Nationals,Toronto Blue Jays,0,4,0,2,3,0,2,4,3,0
3,Keibert Ruiz,Washington Nationals,Toronto Blue Jays,0,4,0,0,0,0,3,4,0,0
4,Dominic Smith,Washington Nationals,Toronto Blue Jays,0,3,0,0,0,1,2,4,0,0
5,Ildemaro Vargas,Washington Nationals,Toronto Blue Jays,0,4,0,1,0,0,0,4,0,0
6,Jake Alu,Washington Nationals,Toronto Blue Jays,0,4,0,1,0,0,0,4,1,0
7,Alex Call,Washington Nationals,Toronto Blue Jays,0,2,0,0,0,1,0,3,0,0
8,Drew Millas,Washington Nationals,Toronto Blue Jays,0,1,0,0,0,0,0,1,0,0
9,Jacob Young,Washington Nationals,Toronto Blue Jays,0,3,0,0,0,1,1,4,0,0
10,George Springer,Toronto Blue Jays,Washington Nationals,1,3,1,1,1,2,0,5,1,0
11,Brandon Belt,Toronto Blue Jays,Washington Nationals,1,5,0,1,0,0,3,5,1,0
12,Vladimir Guerrero Jr.,Toronto Blue Jays,Washington Nationals,1,5,1,1,2,0,0,5,0,0
13,Davis Schneider,Toronto Blue Jays,Washington Nationals,1,3,0,1,1,1,1,4,1,0
14,Whit Merrifield,Toronto Blue Jays,Washington Nationals,1,4,0,1,0,0,0,4,1,0
15,Daulton Varsho,Toronto Blue Jays,Washington Nationals,1,4,0,0,0,0,1,4,0,0
16,Danny Jansen,Toronto Blue Jays,Washington Nationals,1,2,3,1,1,2,0,4,4,1
17,Ernie Clement,Toronto Blue Jays,Washington Nationals,1,4,0,2,0,0,1,4,2,0
18,Kevin Kiermaier,Toronto Blue Jays,Washington Nationals,1,3,1,1,1,1,0,4,1,0
0,Jose Altuve,Houston Astros,Boston Red Sox,0,6,4,4,4,0,1,6,10,1
1,Mauricio Dubón,Houston Astros,Boston Red Sox,0,0,0,0,0,0,0,0,0,0
2,Alex Bregman,Houston Astros,Boston Red Sox,0,4,2,1,0,0,3,6,1,0
3,Yordan Alvarez,Houston Astros,Boston Red Sox,0,4,2,4,4,2,0,6,7,1
4,Jake Meyers,Houston Astros,Boston Red Sox,0,0,0,0,0,0,0,0,0,0
5,Kyle Tucker,Houston Astros,Boston Red Sox,0,5,1,2,0,1,1,6,2,0
6,Corey Julks,Houston Astros,Boston Red Sox,0,0,0,0,0,0,0,0,0,0
7,José Abreu,Houston Astros,Boston Red Sox,0,4,1,2,2,2,0,6,0,0
8,Chas McCormick,Houston Astros,Boston Red Sox,0,4,0,1,1,0,0,6,1,0
9,Yainer Diaz,Houston Astros,Boston Red Sox,0,5,1,1,1,1,0,6,1,0
10,Jeremy Peña,Houston Astros,Boston Red Sox,0,5,1,2,0,1,0,6,0,0
11,Martín Maldonado,Houston Astros,Boston Red Sox,0,6,1,1,0,0,2,6,0,0
12,Alex Verdugo,Boston Red Sox,Houston Astros,1,4,0,0,0,1,0,5,0,0
13,Rafael Devers,Boston Red Sox,Houston Astros,1,4,0,0,0,0,2,4,0,0
14,Ceddanne Rafaela,Boston Red Sox,Houston Astros,1,1,0,1,0,0,0,1,1,0
15,Justin Turner,Boston Red Sox,Houston Astros,1,4,1,1,0,0,0,4,1,0
16,Rob Refsnyder,Boston Red Sox,Houston Astros,1,1,0,0,0,0,0,1,0,0
17,Masataka Yoshida,Boston Red Sox,Houston Astros,1,3,3,3,0,2,0,5,4,0
18,Adam Duvall,Boston Red Sox,Houston Astros,1,3,1,1,2,1,1,4,4,1
19,David Hamilton,Boston Red Sox,Houston Astros,1,1,0,0,0,0,0,1,0,0
20,Triston Casas,Boston Red Sox,Houston Astros,1,3,0,1,2,2,0,5,2,0
21,Trevor Story,Boston Red Sox,Houston Astros,1,5,0,1,0,0,2,5,1,0
22,Connor Wong,Boston Red Sox,Houston Astros,1,4,0,1,1,1,1,5,1,0
23,Luis Urías,Boston Red Sox,Houston Astros,1,3,0,1,0,2,0,5,0,0
0,Marcus Semien,Texas Rangers,New York Mets,0,5,1,1,0,0,1,5,2,0
1,Corey Seager,Texas Rangers,New York Mets,0,4,1,3,0,1,1,5,4,0
2,Nathaniel Lowe,Texas Rangers,New York Mets,0,4,0,2,2,1,1,5,2,0
3,Adolis García,Texas Rangers,New York Mets,0,4,0,1,1,1,2,5,0,0
4,Robbie Grossman,Texas Rangers,New York Mets,0,4,0,0,1,0,2,4,0,0
5,Travis Jankowski,Texas Rangers,New York Mets,0,0,0,0,0,0,0,0,0,0
6,J.P. Martínez,Texas Rangers,New York Mets,0,4,0,0,0,0,2,4,0,0
7,Jonah Heim,Texas Rangers,New York Mets,0,3,0,2,0,1,1,4,2,0
8,Josh H. Smith,Texas Rangers,New York Mets,0,0,1,0,0,0,0,0,0,0
9,Austin Hedges,Texas Rangers,New York Mets,0,0,0,0,0,0,0,0,0,0
10,Ezequiel Duran,Texas Rangers,New York Mets,0,4,1,1,0,0,0,4,2,0
11,Leody Taveras,Texas Rangers,New York Mets,0,4,0,0,0,0,2,4,0,0
12,Brandon Nimmo,New York Mets,Texas Rangers,1,3,1,1,2,1,1,4,4,1
13,Francisco Lindor,New York Mets,Texas Rangers,1,4,0,0,0,0,2,4,0,0
14,Jeff McNeil,New York Mets,Texas Rangers,1,4,0,0,0,0,1,4,0,0
15,Pete Alonso,New York Mets,Texas Rangers,1,4,0,0,0,0,3,4,0,0
16,Daniel Vogelbach,New York Mets,Texas Rangers,1,4,0,0,0,0,3,4,0,0
17,DJ Stewart,New York Mets,Texas Rangers,1,2,1,1,1,0,1,3,4,1
18,Tim Locastro,New York Mets,Texas Rangers,1,0,0,0,0,0,0,0,0,0
19,Francisco Alvarez,New York Mets,Texas Rangers,1,0,0,0,0,1,0,1,0,0
20,Danny Mendick,New York Mets,Texas Rangers,1,0,0,0,0,0,0,0,0,0
21,Omar Narváez,New York Mets,Texas Rangers,1,3,1,1,0,0,0,4,0,0
22,Mark Vientos,New York Mets,Texas Rangers,1,3,0,0,0,0,1,3,0,0
23,Jonathan Araúz,New York Mets,Texas Rangers,1,0,0,0,0,0,0,0,0,0
24,Rafael Ortega,New York Mets,Texas Rangers,1,3,0,1,0,0,1,3,1,0
