,Unnamed: 0,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR
0,0,Yusei Kikuchi,Toronto Blue Jays,Baltimore Orioles,0,4.2,6,2,2,2,7,1
1,1,Yimi García,Toronto Blue Jays,Baltimore Orioles,0,1.0,4,1,1,0,2,0
2,2,Tim Mayza,Toronto Blue Jays,Baltimore Orioles,0,0.1,0,0,0,0,0,0
3,3,Nate Pearson,Toronto Blue Jays,Baltimore Orioles,0,1.0,0,0,0,0,1,0
4,4,Erik Swanson,Toronto Blue Jays,Baltimore Orioles,0,1.0,1,1,1,0,0,1
5,5,Tyler Wells,Baltimore Orioles,Toronto Blue Jays,1,6.2,5,2,2,1,8,2
6,6,Yennier Cano,Baltimore Orioles,Toronto Blue Jays,1,1.0,3,0,0,1,1,0
7,7,Félix Bautista,Baltimore Orioles,Toronto Blue Jays,1,1.1,0,0,0,0,2,0
8,0,Taj Bradley,Tampa Bay Rays,Oakland Athletics,0,4.1,4,3,2,3,11,0
9,1,Kevin Kelly,Tampa Bay Rays,Oakland Athletics,0,1.2,0,0,0,1,2,0
10,2,Jake Diekman,Tampa Bay Rays,Oakland Athletics,0,0.2,1,0,0,2,0,0
11,3,Robert Stephenson,Tampa Bay Rays,Oakland Athletics,0,0.1,0,0,0,0,1,0
12,4,Jason Adam,Tampa Bay Rays,Oakland Athletics,0,1.0,0,0,0,0,2,0
13,5,Pete Fairbanks,Tampa Bay Rays,Oakland Athletics,0,1.0,0,0,0,0,1,0
14,6,Paul Blackburn,Oakland Athletics,Tampa Bay Rays,1,5.2,7,3,2,1,9,1
15,7,Richard Lovelady,Oakland Athletics,Tampa Bay Rays,1,1.0,0,0,0,0,0,0
16,8,Austin Pruitt,Oakland Athletics,Tampa Bay Rays,1,2.1,3,1,1,0,0,1
17,0,Aaron Nola,Philadelphia Phillies,Arizona Diamondbacks,0,6.2,6,4,4,1,9,1
18,1,Gregory Soto,Philadelphia Phillies,Arizona Diamondbacks,0,0.2,1,0,0,0,1,0
19,2,Seranthony Domínguez,Philadelphia Phillies,Arizona Diamondbacks,0,0.2,0,0,0,0,2,0
20,3,Craig Kimbrel,Philadelphia Phillies,Arizona Diamondbacks,0,1.0,0,0,0,0,1,0
21,4,Ryne Nelson,Arizona Diamondbacks,Philadelphia Phillies,1,4.0,10,5,5,2,5,1
22,5,Drey Jameson,Arizona Diamondbacks,Philadelphia Phillies,1,2.1,2,0,0,0,3,0
23,6,Kyle Nelson,Arizona Diamondbacks,Philadelphia Phillies,1,0.2,1,0,0,1,0,0
24,7,Miguel Castro,Arizona Diamondbacks,Philadelphia Phillies,1,1.1,0,0,0,1,1,0
25,8,Andrew Chafin,Arizona Diamondbacks,Philadelphia Phillies,1,0.2,0,0,0,0,1,0
26,0,Matthew Boyd,Detroit Tigers,Minnesota Twins,0,6.0,7,4,4,1,8,1
27,1,Will Vest,Detroit Tigers,Minnesota Twins,0,1.0,0,0,0,0,1,0
28,2,Jason Foley,Detroit Tigers,Minnesota Twins,0,1.0,0,0,0,0,1,0
29,3,Alex Lange,Detroit Tigers,Minnesota Twins,0,1.0,0,0,0,0,1,0
30,4,Sonny Gray,Minnesota Twins,Detroit Tigers,1,4.0,3,2,2,4,3,0
31,5,Jovani Moran,Minnesota Twins,Detroit Tigers,1,1.0,3,3,3,0,1,0
32,6,Emilio Pagán,Minnesota Twins,Detroit Tigers,1,2.0,1,0,0,0,3,0
33,7,Jorge López,Minnesota Twins,Detroit Tigers,1,2.0,5,3,3,0,0,0
34,0,Kyle Freeland,Colorado Rockies,Atlanta Braves,0,4.1,9,7,7,3,1,0
35,1,Matt Carasiti,Colorado Rockies,Atlanta Braves,0,1.2,1,0,0,0,0,0
36,2,Pierce Johnson,Colorado Rockies,Atlanta Braves,0,1.0,1,1,1,0,2,1
37,3,Brad Hand,Colorado Rockies,Atlanta Braves,0,1.0,0,0,0,0,1,0
38,4,AJ Smith-Shawver,Atlanta Braves,Colorado Rockies,1,5.2,6,3,3,1,6,2
39,5,Michael Tonkin,Atlanta Braves,Colorado Rockies,1,3.1,1,0,0,1,6,0
40,0,Johan Oviedo,Pittsburgh Pirates,Chicago Cubs,0,4.1,8,4,4,1,8,0
41,1,Jose Hernandez,Pittsburgh Pirates,Chicago Cubs,0,0.1,2,2,1,2,0,0
42,2,Yerry De Los Santos,Pittsburgh Pirates,Chicago Cubs,0,1.1,1,1,1,1,2,0
43,3,Rob Zastryzny,Pittsburgh Pirates,Chicago Cubs,0,1.0,1,0,0,0,1,0
44,4,Angel Perdomo,Pittsburgh Pirates,Chicago Cubs,0,1.0,0,0,0,1,0,0
45,5,Marcus Stroman,Chicago Cubs,Pittsburgh Pirates,1,6.0,4,2,2,2,5,0
46,6,Anthony Kay,Chicago Cubs,Pittsburgh Pirates,1,1.0,1,0,0,0,1,0
47,7,Julian Merryweather,Chicago Cubs,Pittsburgh Pirates,1,1.0,1,0,0,0,3,0
48,8,Michael Rucker,Chicago Cubs,Pittsburgh Pirates,1,1.0,0,0,0,0,1,0
49,0,Shohei Ohtani,Los Angeles Angels,Texas Rangers,0,6.0,6,2,2,1,3,0
50,1,Chris Devenski,Los Angeles Angels,Texas Rangers,0,1.0,0,0,0,2,1,0
51,2,José Soriano,Los Angeles Angels,Texas Rangers,0,1.0,0,0,0,0,2,0
52,3,Carlos Estévez,Los Angeles Angels,Texas Rangers,0,0.0,0,1,1,3,0,0
53,4,Jacob Webb,Los Angeles Angels,Texas Rangers,0,1.0,0,0,0,1,1,0
54,5,Nathan Eovaldi,Texas Rangers,Los Angeles Angels,1,7.0,5,3,3,2,9,2
55,6,Brock Burke,Texas Rangers,Los Angeles Angels,1,1.0,2,2,2,0,2,1
56,7,Joe Barlow,Texas Rangers,Los Angeles Angels,1,1.0,1,0,0,0,0,0
57,0,MacKenzie Gore,Washington Nationals,Houston Astros,0,5.2,4,0,0,3,4,0
58,1,Mason Thompson,Washington Nationals,Houston Astros,0,1.1,0,0,0,0,1,0
59,2,Kyle Finnegan,Washington Nationals,Houston Astros,0,1.0,1,0,0,0,3,0
60,3,Hunter Harvey,Washington Nationals,Houston Astros,0,1.0,2,1,1,0,1,0
61,4,Carl Edwards Jr.,Washington Nationals,Houston Astros,0,1.0,0,0,0,0,1,0
62,5,Cristian Javier,Houston Astros,Washington Nationals,1,6.0,5,0,0,0,2,0
63,6,Bryan Abreu,Houston Astros,Washington Nationals,1,1.0,1,0,0,0,0,0
64,7,Hector Neris,Houston Astros,Washington Nationals,1,1.0,1,0,0,1,0,0
65,8,Ryan Pressly,Houston Astros,Washington Nationals,1,1.0,1,1,1,0,2,1
66,9,Phil Maton,Houston Astros,Washington Nationals,1,0.1,3,3,2,1,0,0
67,10,Matt Gage,Houston Astros,Washington Nationals,1,0.2,0,0,0,0,2,0
68,0,Logan Allen,Cleveland Guardians,San Diego Padres,0,3.0,4,5,5,4,2,1
69,1,Nick Sandlin,Cleveland Guardians,San Diego Padres,0,1.0,1,0,0,2,1,0
70,2,Eli Morgan,Cleveland Guardians,San Diego Padres,0,1.0,2,1,1,0,0,0
71,3,Cody Morris,Cleveland Guardians,San Diego Padres,0,1.0,2,0,0,0,2,0
72,4,Trevor Stephan,Cleveland Guardians,San Diego Padres,0,1.2,0,0,0,1,1,0
73,5,Emmanuel Clase,Cleveland Guardians,San Diego Padres,0,1.1,0,0,0,1,1,0
74,6,Ryan Weathers,San Diego Padres,Cleveland Guardians,1,1.2,7,6,6,0,2,1
75,7,Drew Carlton,San Diego Padres,Cleveland Guardians,1,2.0,2,1,1,0,3,0
76,8,Tom Cosgrove,San Diego Padres,Cleveland Guardians,1,1.1,1,0,0,0,0,0
77,9,Brent Honeywell Jr.,San Diego Padres,Cleveland Guardians,1,1.0,1,0,0,1,1,0
78,10,Nick Martinez,San Diego Padres,Cleveland Guardians,1,2.0,2,1,1,0,2,0
79,11,Luis García,San Diego Padres,Cleveland Guardians,1,1.0,1,0,0,0,0,0
80,0,Dylan Cease,Chicago White Sox,Los Angeles Dodgers,0,5.1,4,2,2,3,10,0
81,1,Reynaldo López,Chicago White Sox,Los Angeles Dodgers,0,0.2,3,2,2,0,0,1
82,2,Joe Kelly,Chicago White Sox,Los Angeles Dodgers,0,1.0,0,0,0,1,1,0
83,3,Gregory Santos,Chicago White Sox,Los Angeles Dodgers,0,1.0,0,0,0,0,2,0
84,4,Kendall Graveman,Chicago White Sox,Los Angeles Dodgers,0,1.0,1,0,0,1,2,0
85,5,Aaron Bummer,Chicago White Sox,Los Angeles Dodgers,0,1.0,0,0,0,1,1,0
86,6,Garrett Crochet,Chicago White Sox,Los Angeles Dodgers,0,0.0,1,1,0,2,0,0
87,7,Michael Grove,Los Angeles Dodgers,Chicago White Sox,1,5.0,7,4,4,1,7,4
88,8,Shelby Miller,Los Angeles Dodgers,Chicago White Sox,1,2.0,1,0,0,1,2,0
89,9,Yency Almonte,Los Angeles Dodgers,Chicago White Sox,1,1.0,0,0,0,0,2,0
90,10,Evan Phillips,Los Angeles Dodgers,Chicago White Sox,1,2.0,0,0,0,1,4,0
91,11,Caleb Ferguson,Los Angeles Dodgers,Chicago White Sox,1,1.0,0,0,0,0,1,0
