,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR
0,Zac Gallen,Arizona Diamondbacks,Atlanta Braves,0,7.0,5,3,3,0,5,2
1,Miguel Castro,Arizona Diamondbacks,Atlanta Braves,0,0.2,2,3,3,1,0,1
2,Kyle Nelson,Arizona Diamondbacks,Atlanta Braves,0,0.1,1,1,1,0,0,1
3,Spencer Strider,Atlanta Braves,Arizona Diamondbacks,1,6.0,4,4,4,1,13,2
4,Ben Heller,Atlanta Braves,Arizona Diamondbacks,1,1.0,0,0,0,0,0,0
5,Kirby Yates,Atlanta Braves,Arizona Diamondbacks,1,1.0,1,1,1,0,2,1
6,Raisel Iglesias,Atlanta Braves,Arizona Diamondbacks,1,1.0,1,0,0,1,0,0
0,Alex Cobb,San Francisco Giants,Cincinnati Reds,0,4.1,9,5,5,4,0,1
1,Jakob Junis,San Francisco Giants,Cincinnati Reds,0,2.2,2,0,0,0,4,0
2,Mauricio Llovera,San Francisco Giants,Cincinnati Reds,0,1.0,1,0,0,0,2,0
3,Andrew Abbott,Cincinnati Reds,San Francisco Giants,1,8.0,1,0,0,2,6,0
4,Derek Law,Cincinnati Reds,San Francisco Giants,1,1.0,1,1,1,0,2,1
0,Corbin Burnes,Milwaukee Brewers,Philadelphia Phillies,0,8.0,2,0,0,1,10,0
1,Abner Uribe,Milwaukee Brewers,Philadelphia Phillies,0,1.0,0,0,0,1,3,0
2,Taijuan Walker,Philadelphia Phillies,Milwaukee Brewers,1,6.0,6,4,4,2,6,1
3,Andrew Vasquez,Philadelphia Phillies,Milwaukee Brewers,1,1.0,1,0,0,1,2,0
4,Dylan Covey,Philadelphia Phillies,Milwaukee Brewers,1,2.0,1,0,0,0,1,0
0,Blake Snell,San Diego Padres,Toronto Blue Jays,0,5.0,5,1,1,7,4,0
1,Steven Wilson,San Diego Padres,Toronto Blue Jays,0,1.0,0,0,0,1,1,0
2,Luis García,San Diego Padres,Toronto Blue Jays,0,1.0,1,1,1,0,1,1
3,Tom Cosgrove,San Diego Padres,Toronto Blue Jays,0,0.1,3,2,2,0,0,1
4,Alek Jacob,San Diego Padres,Toronto Blue Jays,0,0.2,0,0,0,0,1,0
5,Chris Bassitt,Toronto Blue Jays,San Diego Padres,1,6.0,4,0,0,1,5,0
6,Tim Mayza,Toronto Blue Jays,San Diego Padres,1,1.0,0,0,0,1,0,0
7,Erik Swanson,Toronto Blue Jays,San Diego Padres,1,1.0,1,0,0,1,1,0
8,Jordan Romano,Toronto Blue Jays,San Diego Padres,1,1.0,1,0,0,0,0,0
0,Michael Kopech,Chicago White Sox,New York Mets,0,5.2,2,1,1,4,5,1
1,Aaron Bummer,Chicago White Sox,New York Mets,0,1.2,1,1,1,1,1,0
2,Gregory Santos,Chicago White Sox,New York Mets,0,0.2,1,0,0,0,1,0
3,Kendall Graveman,Chicago White Sox,New York Mets,0,1.0,0,0,0,0,1,0
4,José Quintana,New York Mets,Chicago White Sox,1,5.0,6,2,2,0,3,0
5,Drew Smith,New York Mets,Chicago White Sox,1,0.2,3,4,1,1,1,0
6,David Peterson,New York Mets,Chicago White Sox,1,1.1,0,0,0,1,2,0
7,Dominic Leone,New York Mets,Chicago White Sox,1,1.0,0,0,0,0,2,0
8,Trevor Gott,New York Mets,Chicago White Sox,1,1.0,0,0,0,0,1,0
0,Michael Lorenzen,Detroit Tigers,Kansas City Royals,0,7.0,3,0,0,1,3,0
1,Tyler Holton,Detroit Tigers,Kansas City Royals,0,1.0,0,0,0,0,0,0
2,Jason Foley,Detroit Tigers,Kansas City Royals,0,1.0,1,0,0,0,0,0
3,Zack Greinke,Kansas City Royals,Detroit Tigers,1,4.0,4,2,2,2,1,0
4,Austin Cox,Kansas City Royals,Detroit Tigers,1,1.0,1,1,1,1,0,0
5,Jonathan Heasley,Kansas City Royals,Detroit Tigers,1,1.0,0,0,0,0,0,0
6,Jose Cuas,Kansas City Royals,Detroit Tigers,1,1.0,1,0,0,1,2,0
7,Nick Wittgren,Kansas City Royals,Detroit Tigers,1,2.0,0,0,0,0,2,0
0,Pablo López,Minnesota Twins,Seattle Mariners,0,5.0,6,2,2,2,7,1
1,Oliver Ortega,Minnesota Twins,Seattle Mariners,0,1.2,0,0,0,0,2,0
2,Jorge López,Minnesota Twins,Seattle Mariners,0,1.0,2,3,3,0,2,1
3,Cole Sands,Minnesota Twins,Seattle Mariners,0,0.1,0,0,0,0,0,0
4,George Kirby,Seattle Mariners,Minnesota Twins,1,7.0,4,0,0,0,10,0
5,Matt Brash,Seattle Mariners,Minnesota Twins,1,1.0,0,0,0,0,1,0
6,Paul Sewald,Seattle Mariners,Minnesota Twins,1,1.0,1,0,0,0,2,0
0,Kyle Gibson,Baltimore Orioles,Tampa Bay Rays,0,6.0,7,3,3,2,8,0
1,Yennier Cano,Baltimore Orioles,Tampa Bay Rays,0,1.1,1,0,0,0,1,0
2,Bryan Baker,Baltimore Orioles,Tampa Bay Rays,0,0.2,1,0,0,1,1,0
3,Félix Bautista,Baltimore Orioles,Tampa Bay Rays,0,2.0,0,0,0,0,3,0
4,Tyler Glasnow,Tampa Bay Rays,Baltimore Orioles,1,7.0,6,3,2,0,9,0
5,Jason Adam,Tampa Bay Rays,Baltimore Orioles,1,1.0,0,0,0,0,2,0
6,Pete Fairbanks,Tampa Bay Rays,Baltimore Orioles,1,1.0,0,0,0,0,2,0
7,Robert Stephenson,Tampa Bay Rays,Baltimore Orioles,1,1.0,0,1,0,0,1,0
0,Steven Matz,St. Louis Cardinals,Chicago Cubs,0,5.0,3,1,1,1,6,0
1,Andre Pallante,St. Louis Cardinals,Chicago Cubs,0,1.0,0,0,0,0,0,0
2,Kyle Leahy,St. Louis Cardinals,Chicago Cubs,0,0.2,1,1,1,2,0,0
3,JoJo Romero,St. Louis Cardinals,Chicago Cubs,0,1.1,1,0,0,0,1,0
4,Giovanny Gallegos,St. Louis Cardinals,Chicago Cubs,0,1.0,1,0,0,1,1,0
5,Marcus Stroman,Chicago Cubs,St. Louis Cardinals,1,3.2,7,5,4,4,4,1
6,Michael Rucker,Chicago Cubs,St. Louis Cardinals,1,1.1,2,2,2,0,0,1
7,Javier Assad,Chicago Cubs,St. Louis Cardinals,1,4.0,1,0,0,3,4,0
0,J.P. France,Houston Astros,Oakland Athletics,0,7.0,6,1,1,1,5,0
1,Bryan Abreu,Houston Astros,Oakland Athletics,0,1.0,0,0,0,1,2,0
2,Ryan Pressly,Houston Astros,Oakland Athletics,0,1.0,0,0,0,0,1,0
